data_source,params,prediction_rmse,default_scenario_net_cost
portugal_global,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}",0.5161728270135323,10.39547825403024
ch_best_set,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}",0.5155274576484721,10.397574393755264
portugal_global,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",0.5212677055918185,10.399909884497223
ch_best_set,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",0.5157496000862694,10.418818549229657
portugal_global,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",0.5303153965813798,10.423700606538567
ch_best_set,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",0.5224510324960439,10.42804892953984
portugal_global,"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 200}",0.5190191226164727,10.392425585641126
ch_best_set,"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 200}",0.5252788427311663,10.386038108061515
portugal_global,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 200}",0.5134794080126188,10.41084965249902
ch_best_set,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 200}",0.5190680140731747,10.395906545191787
portugal_global,"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200}",0.5148533555341703,10.4152343201252
ch_best_set,"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200}",0.5197564933300707,10.404688579419727
portugal_global,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}",0.5257778131982045,10.42611942032593
ch_best_set,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}",0.5231286932327421,10.408429655002676
portugal_global,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",0.537608027361776,10.42616893578548
ch_best_set,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",0.5263996656541942,10.422463586052132
portugal_global,"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 300}",0.5222599891605149,10.38259215653657
ch_best_set,"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 300}",0.5222974667370854,10.39411320770385
portugal_global,"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 300}",0.5143964881878705,10.39161583910076
ch_best_set,"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 300}",0.5128695194396584,10.395600035103184
portugal_global,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300}",0.5133723903716771,10.393996499808877
ch_best_set,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300}",0.5119437325779826,10.398319436513697
portugal_global,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}",0.5126018969675077,10.404405234231582
ch_best_set,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}",0.5131400169609727,10.417686676319928
portugal_global,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300}",0.5248445081177612,10.41233694952948
ch_best_set,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300}",0.5146935231369527,10.42919271220041
portugal_global,"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 300}",0.5172144392074225,10.38952508190078
ch_best_set,"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 300}",0.5162779960290879,10.391433570869427
portugal_global,"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 300}",0.5152569009486386,10.396084148252035
ch_best_set,"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 300}",0.5153500916162161,10.397172076036364
portugal_global,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.5203405348375729,10.396369699709812
ch_best_set,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.5165149887216889,10.416131491635122
portugal_global,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",0.5251620133235281,10.414755454014099
ch_best_set,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",0.5185417866703952,10.420344302795955
portugal_global,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",0.5372342416493849,10.421605666520032
ch_best_set,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",0.5252199785543895,10.428747453728686
portugal_global,"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 300}",0.5143594323140865,10.40556133255279
ch_best_set,"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 300}",0.519388047309705,10.39136106694038
portugal_global,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 300}",0.5163765796242107,10.416587446503636
ch_best_set,"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 300}",0.5196844503691002,10.404513749040955
portugal_global,"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300}",0.5226788934805897,10.422475331495969
ch_best_set,"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300}",0.5218714997821572,10.415552722409874
portugal_global,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300}",0.5335687378480419,10.42291894159617
ch_best_set,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300}",0.5245175122131868,10.408916515353305
portugal_global,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300}",0.5434661198471076,10.424140916402749
ch_best_set,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300}",0.533397767319743,10.424564813810042
