feature,gain,total_gain,split_count,target,fold_id
pv_ma_4,0.07273534685373306,25.893783569335938,356.0,pv_gen,D
pv_ma_8,0.13116174936294556,57.58000946044922,439.0,pv_gen,D
pv_ma_16,0.10732316225767136,49.58330154418945,462.0,pv_gen,D
pv_std_4,0.11140045523643494,114.29686737060547,1026.0,pv_gen,D
pv_std_8,0.17691561579704285,144.00930786132812,814.0,pv_gen,D
pv_delta_1,0.19460731744766235,266.6120300292969,1370.0,pv_gen,D
pv_delta_2,0.11530087143182755,124.64024353027344,1081.0,pv_gen,D
pv_accel,0.11263947188854218,128.40899658203125,1140.0,pv_gen,D
steps_to_daylight_start,0.0,0.0,0.0,pv_gen,D
steps_to_daylight_end,0.0,0.0,0.0,pv_gen,D
