target,feature,xgb_mean_gain,xgb_mean_total_gain,xgb_rel_total_gain,xgb_rank,xgb_nonzero_fold_count,rf_mean_importance,rf_rel_importance,rf_rank,rf_nonzero_fold_count,ridge_mean_abs_coef,ridge_rel_abs_coef,ridge_rank,ridge_nonzero_fold_count,mean_relative_relevance,all_models_zero,low_relevance_all_models
ev2_status,status,1486.2850341796875,294501.8125,1.0,1,5,0.2303041351079772,1.0,1,5,0.2963908850187885,0.05334456294714317,12,5,0.6844481876490477,False,False
ev2_status,timestep,11.021382141113282,8503.2470703125,0.028873326782369122,3,5,0.0256929086084901,0.11156077851769391,13,5,5.556159215559972,1.0,1,5,0.3801447017666877,False,False
ev2_status,steps_to_start1_earliest,0.0,0.0,0.0,15,0,0.0264686776996985,0.11492923341254278,12,5,5.080911863523862,0.914464770788932,2,5,0.3431313347338249,False,False
ev2_status,steps_to_start2_earliest,0.0,0.0,0.0,15,0,0.0268865050299585,0.1167434749591138,11,5,2.699450505468109,0.4858482992906904,4,5,0.20086392474993472,False,False
ev2_status,steps_to_end2_latest,0.0,0.0,0.0,15,0,0.023496499645428,0.10202378534980172,14,5,2.6999951708022456,0.4859463283991097,3,5,0.1959900379163038,False,False
ev2_status,status_lag_2,13.234889113903046,123.70324010849,0.00042004237277313867,13,5,0.1245121905561878,0.5406424443825585,2,5,0.0757481550112814,0.013633186536330602,23,5,0.18489855776388742,False,False
ev2_status,status_lag_1,30.26643295288086,7383.7353515625,0.02507195215161027,4,5,0.1056184689854199,0.4586043100611333,3,5,0.0907950984787164,0.016341342095533472,20,5,0.16667253476942567,False,False
ev2_status,steps_to_end1_latest,0.0,0.0,0.0,15,0,0.0295035678398168,0.12810698264702963,10,5,1.2444019591292323,0.2239680165471674,5,5,0.11735833306473235,False,False
ev2_status,phase_id,12.350000762939452,2527.078955078125,0.00858086044912924,7,5,0.0655658654442811,0.28469252370801246,4,5,0.1841782655602617,0.03314848592611821,16,5,0.1088072900277533,False,False
ev2_status,start2_observed,0.0,0.0,0.0,15,0,0.0400384636639269,0.17385038981238884,7,5,0.7655197623507944,0.13777858636717313,6,5,0.10387632539318732,False,False
ev2_status,status_lag_4,10.768491554260256,686.2054809570312,0.0023300552045228285,8,5,0.0607186085397268,0.2636453249580565,5,5,0.0552115827999116,0.00993700516091981,24,5,0.09197079510783306,False,False
ev2_status,start1_observed,0.0,0.0,0.0,15,0,0.0404892628439255,0.17580779791445023,6,5,0.4802171919518664,0.08642970320343281,9,5,0.08741250037262767,False,False
ev2_status,start2,12.376406478881837,2673.667578125,0.009078611623570229,6,5,0.0342020190310491,0.1485080544255691,8,5,0.5522049988085149,0.09938610061102461,7,5,0.08565758888672131,False,False
ev2_status,steps_in_current_state,32.08413124084473,26328.75234375,0.08940098575369548,2,5,0.0186377432703235,0.08092665492777742,15,5,0.0216067235573692,0.0038887876893195887,27,5,0.05807214279026416,False,False
ev2_status,start1,0.7129943609237671,327.37542114257815,0.0011116244696883764,9,5,0.0315814595683106,0.13712936397561318,9,5,0.090597841768885,0.01630583974540661,21,5,0.05151560939690272,False,False
ev2_status,end2,0.0,0.0,0.0,15,0,0.0136148248258425,0.059116718939758686,18,5,0.5144321007869873,0.09258771767128722,8,5,0.0505681455370153,False,False
ev2_status,observed_window_length_2,0.0,0.0,0.0,15,0,0.0150781380224467,0.0654705483919226,17,5,0.385317324944077,0.0693495830474043,10,5,0.04494004381310896,False,False
ev2_status,end2_observed,0.0,0.0,0.0,15,0,0.0130519522129605,0.05667267852937657,21,5,0.3426227534541543,0.06166539513386199,11,5,0.03944602455441285,False,False
ev2_status,time_cos,13.401537704467774,6731.9701171875,0.022858841037480884,5,5,0.0153274718475886,0.06655317691279132,16,5,0.0767655534222114,0.013816298353587527,22,5,0.03440943876795324,False,False
ev2_status,window_length_slack_2,0.0,0.0,0.0,15,0,0.0134935516709444,0.058590140661686343,19,5,0.2361722933641803,0.04250639411174216,13,5,0.03369884492447617,False,False
ev2_status,end1_observed,0.0,0.0,0.0,15,0,0.0121165060512447,0.05261089231230661,22,5,0.2311544742837047,0.04160328480803047,14,5,0.031404725706779026,False,False
ev2_status,observed_window_length_1,0.6036832928657532,87.70954895019531,0.0002978234605948149,14,5,0.0085056316567961,0.03693217081320866,23,5,0.2182305587261723,0.03927723275370146,15,5,0.02550240900916831,False,False
ev2_status,end1,0.7460823655128479,299.2640441894531,0.0010161704664872074,10,5,0.013298169805436,0.05774177610489366,20,5,0.0972530301509973,0.017503643502267015,19,5,0.025420530024549293,False,False
ev2_status,window_length_slack_1,1.1507173776626587,133.48131408691407,0.00045324445698246446,12,5,0.0057832856561717,0.025111514621568687,24,5,0.1531859267681586,0.02757047104394756,17,5,0.017711743374166238,False,False
ev2_status,time_sin,0.7463481903076172,233.7486328125,0.0007937086391021787,11,5,0.0029812514453368,0.012944845492848193,26,5,0.1183192812468888,0.021295156718248238,18,5,0.01167790361673287,False,False
ev2_status,status_lag_8,0.0,0.0,0.0,15,0,0.0030118419003394,0.013077671831325606,25,5,0.0290970724038899,0.005236903996991991,25,5,0.006104858609439199,False,True
ev2_status,status_lag_8_is_pad,0.0,0.0,0.0,15,0,1.962917860104124e-05,8.52315508440097e-05,27,5,0.0224495627727867,0.004040482265144042,26,5,0.001375237938662684,False,True
ev2_status,status_lag_4_is_pad,0.0,0.0,0.0,15,0,4.075326799240061e-07,1.7695413055998147e-06,29,5,0.0181128163761717,0.0032599527251571422,28,5,0.0010872407554875806,False,True
ev2_status,status_lag_2_is_pad,0.0,0.0,0.0,15,0,6.329275839161795e-07,2.7482250095919204e-06,28,5,0.0087983695978449,0.0015835344626563524,29,5,0.0005287608958886482,False,True
ev2_status,status_lag_1_is_pad,0.0,0.0,0.0,15,0,3.294315063067273e-07,1.4304194154059572e-06,30,5,0.0085733596831815,0.0015430370784141475,30,5,0.0005148224992765179,False,True
ev2_status,end1_latest,0.0,0.0,0.0,15,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,True,True
ev2_status,end2_latest,0.0,0.0,0.0,15,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,True,True
ev2_status,max_commute_steps_1,0.0,0.0,0.0,15,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,True,True
ev2_status,max_commute_steps_2,0.0,0.0,0.0,15,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,True,True
ev2_status,start1_earliest,0.0,0.0,0.0,15,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,True,True
ev2_status,start2_earliest,0.0,0.0,0.0,15,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,True,True
