policy,run_id,scenario,pairs,avg_total_cost,avg_net_cost,avg_net_load,bess_target_rate,ev1_target_rate,ev2_target_rate,run_tag,preset,household_count,scenario_count,short_window_size,long_window_size,short_weight,conf_interval_frct,persistence_mode,persistence_range,persistence_constant_alpha,trend_weight,trend_window,trend_range,source_average_beta
mpc_hybrid_ma_sw5_lw48_w0.50_pmexponential_stage4_persistence_exponential_r4_s5_l48_w05,44,default_scenario,48,7.882696305293119,7.133548388626451,48.11682998035331,1.0,1.0,0.9791666666666666,stage4_persistence_exponential_r4_s5_l48_w05,manual,48,6,5,48,0.5,0.0,exponential,4,0.5,0.0,2,1,0.0
mpc_hybrid_ma_sw5_lw48_w0.50_pmexponential_stage4_persistence_exponential_r4_s5_l48_w05,44,relaxed_high_start,48,3.7367302947091168,2.9875823780424504,16.66261905183788,1.0,1.0,1.0,stage4_persistence_exponential_r4_s5_l48_w05,manual,48,6,5,48,0.5,0.0,exponential,4,0.5,0.0,2,1,0.0
mpc_hybrid_ma_sw5_lw48_w0.50_pmexponential_stage4_persistence_exponential_r4_s5_l48_w05,44,relaxed_low_start,48,12.09910940537086,11.349961488704194,82.45793179100531,1.0,1.0,0.9791666666666666,stage4_persistence_exponential_r4_s5_l48_w05,manual,48,6,5,48,0.5,0.0,exponential,4,0.5,0.0,2,1,0.0
mpc_hybrid_ma_sw5_lw48_w0.50_pmexponential_stage4_persistence_exponential_r4_s5_l48_w05,44,stressed_high_start,48,5.059238387726948,4.310090471060281,26.41298914865148,1.0,1.0,1.0,stage4_persistence_exponential_r4_s5_l48_w05,manual,48,6,5,48,0.5,0.0,exponential,4,0.5,0.0,2,1,0.0
mpc_hybrid_ma_sw5_lw48_w0.50_pmexponential_stage4_persistence_exponential_r4_s5_l48_w05,44,stressed_low_start,48,13.500683773623384,12.75153585695672,96.36937269916659,1.0,1.0,1.0,stage4_persistence_exponential_r4_s5_l48_w05,manual,48,6,5,48,0.5,0.0,exponential,4,0.5,0.0,2,1,0.0
mpc_hybrid_ma_sw5_lw48_w0.50_pmexponential_stage4_persistence_exponential_r4_s5_l48_w05,44,stressed_mid_start,48,9.363441445962804,8.614293529296138,59.88764653097704,1.0,1.0,1.0,stage4_persistence_exponential_r4_s5_l48_w05,manual,48,6,5,48,0.5,0.0,exponential,4,0.5,0.0,2,1,0.0
