policy,run_id,scenario,pairs,avg_total_cost,avg_net_cost,avg_net_load,bess_target_rate,ev1_target_rate,ev2_target_rate,run_tag,preset,household_count,scenario_count,short_window_size,long_window_size,short_weight,conf_interval_frct,persistence_mode,persistence_range,persistence_constant_alpha,trend_weight,trend_window,trend_range,source_average_beta
mpc_hybrid_ma_sw5_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,30,stressed_mid_start,48,9.372613598785918,8.623465682119251,59.85529270819364,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,5,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw24_w0.50_pmnone_short_long_isolated_grid_sw0.5,31,default_scenario,48,7.907271209537964,7.158123292871296,48.1015616461944,1.0,1.0,0.9791666666666666,short_long_isolated_grid_sw0.5,manual,48,6,7,24,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw24_w0.50_pmnone_short_long_isolated_grid_sw0.5,31,relaxed_high_start,48,3.757225531787738,3.008077615121071,16.60500335764988,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,7,24,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw24_w0.50_pmnone_short_long_isolated_grid_sw0.5,31,relaxed_low_start,48,12.123698881212496,11.374550964545827,82.46162584787923,1.0,1.0,0.9791666666666666,short_long_isolated_grid_sw0.5,manual,48,6,7,24,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw24_w0.50_pmnone_short_long_isolated_grid_sw0.5,31,stressed_high_start,48,5.078694270767804,4.329546354101137,26.356300409930764,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,7,24,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw24_w0.50_pmnone_short_long_isolated_grid_sw0.5,31,stressed_low_start,48,13.52295040268824,12.773802486021575,96.38471289921056,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,7,24,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw24_w0.50_pmnone_short_long_isolated_grid_sw0.5,31,stressed_mid_start,48,9.383023706321874,8.633875789655207,59.84473314555931,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,7,24,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw36_w0.50_pmnone_short_long_isolated_grid_sw0.5,32,default_scenario,48,7.906049350385891,7.1569014337192245,48.10461508701696,1.0,1.0,0.9791666666666666,short_long_isolated_grid_sw0.5,manual,48,6,7,36,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw36_w0.50_pmnone_short_long_isolated_grid_sw0.5,32,relaxed_high_start,48,3.7575190820413167,3.00837116537465,16.63089728331568,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,7,36,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw36_w0.50_pmnone_short_long_isolated_grid_sw0.5,32,relaxed_low_start,48,12.121694500783526,11.37254658411686,82.43087476219056,1.0,1.0,0.9791666666666666,short_long_isolated_grid_sw0.5,manual,48,6,7,36,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw36_w0.50_pmnone_short_long_isolated_grid_sw0.5,32,stressed_high_start,48,5.080653718384326,4.331505801717659,26.37891964490323,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,7,36,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw36_w0.50_pmnone_short_long_isolated_grid_sw0.5,32,stressed_low_start,48,13.521493807824797,12.77234589115813,96.32414908941102,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,7,36,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw36_w0.50_pmnone_short_long_isolated_grid_sw0.5,32,stressed_mid_start,48,9.383585523957759,8.634437607291092,59.84989448692128,1.0,1.0,1.0,short_long_isolated_grid_sw0.5,manual,48,6,7,36,0.5,0.0,none,8,0.5,0.0,4,4,0.0
mpc_hybrid_ma_sw7_lw48_w0.50_pmnone_short_long_isolated_grid_sw0.5,33,default_scenario,48,7.899843407571318,7.15069549090465,48.10338889167978,1.0,1.0,0.9791666666666666,short_long_isolated_grid_sw0.5,manual,48,6,7,48,0.5,0.0,none,8,0.5,0.0,4,4,0.0
