policy,run_id,scenario,pairs,avg_total_cost,avg_net_cost,avg_net_load,bess_target_rate,ev1_target_rate,ev2_target_rate,run_tag,preset,household_count,scenario_count,short_window_size,long_window_size,short_weight,conf_interval_frct,persistence_mode,persistence_range,persistence_constant_alpha,trend_weight,trend_window,trend_range,source_average_beta,source_average_beta_base_load,source_average_beta_pv_gen
"mpc_hybrid_ma_sw5_lw96_w0.40_pmlinear_stage8_weighted_long_window_grid_sw5_lw96_w0,4",68,default_scenario,48,7.86775564908075,7.118607732414084,48.129683638561595,1.0,1.0,0.9791666666666666,"stage8_weighted_long_window_grid_sw5_lw96_w0,4",manual,48,6,5,96,0.4,0.0,linear,1,0.5,0.0,2,1,0.0,0.0,0.0
"mpc_hybrid_ma_sw5_lw96_w0.40_pmlinear_stage8_weighted_long_window_grid_sw5_lw96_w0,4",68,relaxed_high_start,48,3.723697246404987,2.9745493297383203,16.70115986432171,1.0,1.0,1.0,"stage8_weighted_long_window_grid_sw5_lw96_w0,4",manual,48,6,5,96,0.4,0.0,linear,1,0.5,0.0,2,1,0.0,0.0,0.0
"mpc_hybrid_ma_sw5_lw96_w0.40_pmlinear_stage8_weighted_long_window_grid_sw5_lw96_w0,4",68,relaxed_low_start,48,12.087595084974998,11.33844716830833,82.4646078513203,1.0,1.0,0.9791666666666666,"stage8_weighted_long_window_grid_sw5_lw96_w0,4",manual,48,6,5,96,0.4,0.0,linear,1,0.5,0.0,2,1,0.0,0.0,0.0
"mpc_hybrid_ma_sw5_lw96_w0.40_pmlinear_stage8_weighted_long_window_grid_sw5_lw96_w0,4",68,stressed_high_start,48,5.0422714319047035,4.293123515238037,26.44080058725531,1.0,1.0,1.0,"stage8_weighted_long_window_grid_sw5_lw96_w0,4",manual,48,6,5,96,0.4,0.0,linear,1,0.5,0.0,2,1,0.0,0.0,0.0
"mpc_hybrid_ma_sw5_lw96_w0.40_pmlinear_stage8_weighted_long_window_grid_sw5_lw96_w0,4",68,stressed_low_start,48,13.484813430756104,12.735665514089439,96.39170226775315,1.0,1.0,1.0,"stage8_weighted_long_window_grid_sw5_lw96_w0,4",manual,48,6,5,96,0.4,0.0,linear,1,0.5,0.0,2,1,0.0,0.0,0.0
"mpc_hybrid_ma_sw5_lw96_w0.40_pmlinear_stage8_weighted_long_window_grid_sw5_lw96_w0,4",68,stressed_mid_start,48,9.345554044336517,8.59640612766985,59.91566030612453,1.0,1.0,1.0,"stage8_weighted_long_window_grid_sw5_lw96_w0,4",manual,48,6,5,96,0.4,0.0,linear,1,0.5,0.0,2,1,0.0,0.0,0.0
