policy,run_id,scenario,pairs,avg_total_cost,avg_net_cost,avg_net_load,bess_target_rate,ev1_target_rate,ev2_target_rate,run_tag,preset,household_count,scenario_count,short_window_size,long_window_size,short_weight,conf_interval_frct,persistence_mode,persistence_range,persistence_constant_alpha,trend_weight,trend_window,trend_range,source_average_beta,source_average_beta_base_load,source_average_beta_pv_gen
mpc_hybrid_ma_sw5_lw48_w0.50_pmlinear_stage6_base_load_beta05_s5_l48_w05_pr1,58,default_scenario,48,7.8851800847216715,7.136032168055006,48.09132917365667,1.0,1.0,0.9791666666666666,stage6_base_load_beta05_s5_l48_w05_pr1,manual,48,6,5,48,0.5,0.0,linear,1,0.5,0.0,2,1,0.0,0.5,0.0
mpc_hybrid_ma_sw5_lw48_w0.50_pmlinear_stage6_base_load_beta05_s5_l48_w05_pr1,58,relaxed_high_start,48,3.7416178669938263,2.9924699503271595,16.62587909832493,1.0,1.0,1.0,stage6_base_load_beta05_s5_l48_w05_pr1,manual,48,6,5,48,0.5,0.0,linear,1,0.5,0.0,2,1,0.0,0.5,0.0
mpc_hybrid_ma_sw5_lw48_w0.50_pmlinear_stage6_base_load_beta05_s5_l48_w05_pr1,58,relaxed_low_start,48,12.106031230745801,11.356883314079134,82.38208092175627,1.0,1.0,0.9791666666666666,stage6_base_load_beta05_s5_l48_w05_pr1,manual,48,6,5,48,0.5,0.0,linear,1,0.5,0.0,2,1,0.0,0.5,0.0
mpc_hybrid_ma_sw5_lw48_w0.50_pmlinear_stage6_base_load_beta05_s5_l48_w05_pr1,58,stressed_high_start,48,5.062178244726731,4.313030328060064,26.362630356395425,1.0,1.0,1.0,stage6_base_load_beta05_s5_l48_w05_pr1,manual,48,6,5,48,0.5,0.0,linear,1,0.5,0.0,2,1,0.0,0.5,0.0
mpc_hybrid_ma_sw5_lw48_w0.50_pmlinear_stage6_base_load_beta05_s5_l48_w05_pr1,58,stressed_low_start,48,13.513407788782802,12.764259872116135,96.19652509323198,1.0,1.0,1.0,stage6_base_load_beta05_s5_l48_w05_pr1,manual,48,6,5,48,0.5,0.0,linear,1,0.5,0.0,2,1,0.0,0.5,0.0
mpc_hybrid_ma_sw5_lw48_w0.50_pmlinear_stage6_base_load_beta05_s5_l48_w05_pr1,58,stressed_mid_start,48,9.365671848417696,8.616523931751027,59.83758778573701,1.0,1.0,1.0,stage6_base_load_beta05_s5_l48_w05_pr1,manual,48,6,5,48,0.5,0.0,linear,1,0.5,0.0,2,1,0.0,0.5,0.0
