policy,run_id,scenario,pairs,avg_total_cost,avg_net_cost,avg_net_load,bess_target_rate,ev1_target_rate,ev2_target_rate,run_tag,preset,household_count,scenario_count,short_window_size,long_window_size,short_weight,conf_interval_frct,persistence_mode,persistence_range,persistence_constant_alpha,trend_weight,trend_window,trend_range,source_average_beta,source_average_beta_base_load,source_average_beta_pv_gen
mpc_hybrid_ma_sw8_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,16,stressed_low_start,48,13.510747832965015,12.761599916298346,96.29072988255103,1.0,1.0,1.0,stage11_short_grid_lw96_w05,manual,48,6,8,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw8_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,16,stressed_mid_start,48,9.369181174021,8.620033257354335,59.867565344366426,1.0,1.0,1.0,stage11_short_grid_lw96_w05,manual,48,6,8,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw12_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,17,default_scenario,48,8.01651803334471,7.267370116678042,48.638086801283684,1.0,1.0,0.9791666666666666,stage11_short_grid_lw96_w05,manual,48,6,12,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw12_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,17,relaxed_high_start,48,3.7709815234645436,3.021833606797877,16.641526166599824,1.0,1.0,1.0,stage11_short_grid_lw96_w05,manual,48,6,12,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw12_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,17,relaxed_low_start,48,12.237018745392282,11.487870828725613,82.94277264459897,1.0,1.0,0.9791666666666666,stage11_short_grid_lw96_w05,manual,48,6,12,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw12_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,17,stressed_high_start,48,5.089284607550513,4.340136690883846,26.3800641729411,1.0,1.0,1.0,stage11_short_grid_lw96_w05,manual,48,6,12,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw12_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,17,stressed_low_start,48,13.535193469685675,12.78604555301901,96.27727942585555,1.0,1.0,1.0,stage11_short_grid_lw96_w05,manual,48,6,12,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw12_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,17,stressed_mid_start,48,9.392393098457198,8.643245181790531,59.85508406502793,1.0,1.0,1.0,stage11_short_grid_lw96_w05,manual,48,6,12,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw16_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,18,default_scenario,48,8.029839335843276,7.280691419176608,48.627624332286906,1.0,1.0,0.9791666666666666,stage11_short_grid_lw96_w05,manual,48,6,16,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw16_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,18,relaxed_high_start,48,3.78464513872551,3.035497222058843,16.628025649777577,1.0,1.0,1.0,stage11_short_grid_lw96_w05,manual,48,6,16,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw16_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,18,relaxed_low_start,48,12.2503560533333,11.501208136666635,82.93191712549095,1.0,1.0,0.9791666666666666,stage11_short_grid_lw96_w05,manual,48,6,16,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw16_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,18,stressed_high_start,48,5.103391455901659,4.354243539234992,26.364896603204343,1.0,1.0,1.0,stage11_short_grid_lw96_w05,manual,48,6,16,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw16_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,18,stressed_low_start,48,13.549943491305084,12.800795574638416,96.26044602073806,1.0,1.0,1.0,stage11_short_grid_lw96_w05,manual,48,6,16,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
mpc_hybrid_ma_sw16_lw96_w0.50_pmnone_stage11_short_grid_lw96_w05,18,stressed_mid_start,48,9.406441649646217,8.65729373297955,59.83964622472261,1.0,1.0,1.0,stage11_short_grid_lw96_w05,manual,48,6,16,96,0.5,0.0,none,8,0.5,0.0,4,4,0.0,0.0,0.0
