scenario,count,changed_combos,avg_delta_total_cost,avg_delta_total_consumption,avg_delta_net_cost,avg_delta_net_load,max_abs_delta_total_cost,max_abs_delta_total_consumption,max_abs_delta_net_cost,max_abs_delta_net_load
default_scenario,20,20,-0.5836925383899885,-70.00249547747391,-0.5836925383899887,-70.00249547747391,4.3809967791074715,94.49091736084632,4.3809967791074715,94.49091736084632
early_urgency,20,20,2.4116734051001405,-22.080309127117065,2.4116734051001405,-22.080309127117065,5.853958861876009,26.47889203334175,5.853958861876009,26.47889203334175
high_start_narrow,20,20,0.7299159127022323,-2.184639481447687,0.7299159127022325,-2.184639481447687,2.3613547833948596,5.395751586868354,2.3613547833948596,5.395751586868354
late_relaxed,20,20,2.072606002554992,-17.182262894685785,2.072606002554992,-17.182262894685785,5.23934413800708,22.101940927408883,5.23934413800708,22.101940927408883
low_start_wide,20,20,3.2822740387646796,-43.52303824639891,3.2822740387646787,-43.52303824639891,9.257397579560088,64.60381429015581,9.257397579560088,64.60381429015581
mid_start_normal,20,20,2.2521668279559095,-21.844693647065974,2.2521668279559095,-21.844693647065974,5.645267020150133,27.01789735596325,5.6452670201501345,27.01789735596325
stressed_ev_buffered_bess,20,20,2.8397324958810546,-41.11166177293222,2.839732495881054,-41.11166177293222,8.233946743436318,53.929685373854745,8.233946743436318,53.929685373854745
