policy,run_id,short_window,long_window,pairs,avg_total_cost,avg_total_delta_vs_waterfall,avg_total_delta_vs_oracle,avg_total_delta_vs_ma1,avg_total_delta_vs_ma2_base,wins_vs_waterfall,wins_vs_oracle,wins_vs_ma1,wins_vs_ma2_base,bess_target_rate,ev1_target_rate,ev2_target_rate
mpc_ma2_s7_l52_ma2_longscan,39,7,52,140,11.43744443656186,-0.2831970392715178,1.5406506528190078,-2.153933281246099,-0.3171602249765666,56,18,129,64,0.9714285714285714,0.8071428571428572,0.8071428571428572
mpc_ma2_s7_l50_ma2_longscan,38,7,50,140,11.50590773282492,-0.21473374300845807,1.6091139490820674,-2.0854699849830394,-0.2486969287135068,55,17,130,59,0.9714285714285714,0.8142857142857143,0.8142857142857143
mpc_ma2_s7_l48_ma2_longscan,37,7,48,140,11.543949626266553,-0.1766918495668259,1.6471558425236996,-2.0474280915414074,-0.21065503527187462,53,16,129,60,0.9714285714285714,0.8142857142857143,0.8142857142857143
mpc_ma2_s7_l44_ma2_longscan,35,7,44,140,11.60407656115785,-0.1165649146755278,1.707282777414998,-1.9873011566501093,-0.1505281003805765,52,16,129,50,0.9642857142857143,0.8214285714285714,0.8214285714285714
mpc_ma2_s7_l46_ma2_longscan,36,7,46,140,11.611633260566766,-0.10900821526661242,1.714839476823913,-1.9797444572411937,-0.14297140097166117,52,16,129,53,0.9642857142857143,0.8214285714285714,0.8214285714285714
