window_size,run_id,scenario,player_id,total_cost_ma,total_cost_waterfall,total_cost_oracle,delta_total_vs_waterfall,delta_total_vs_oracle
2,3,default_scenario,1,17.984126860619423,13.673265821200669,13.551090220812139,4.310861039418754,4.433036639807284
2,3,default_scenario,2,17.847096670384097,14.0806759009769,13.740618176008823,3.7664207694071976,4.106478494375274
2,3,default_scenario,3,17.40338084694405,13.869976876740067,13.642562454792332,3.533403970203983,3.7608183921517178
2,3,default_scenario,4,20.612616510094785,15.701753404856369,15.276548526449268,4.910863105238416,5.336067983645517
2,3,default_scenario,5,23.02081747575308,19.02452132118156,18.7781465034268,3.996296154571521,4.24267097232628
2,3,default_scenario,6,17.44279766333035,14.492406700598188,14.113781300934852,2.950390962732161,3.329016362395498
2,3,default_scenario,7,22.69999672198302,18.932402884689207,19.053688531833224,3.7675938372938127,3.646308190149796
2,3,default_scenario,8,14.290326499634002,16.72510953951982,16.445841155623423,-2.4347830398858186,-2.155514655989421
2,3,default_scenario,9,22.60734889479387,18.636619229691245,17.801251621357327,3.970729665102624,4.806097273436542
2,3,default_scenario,10,11.54544016532643,13.528689809320127,13.087622724668512,-1.9832496439936982,-1.5421825593420824
2,3,default_scenario,11,20.718221390491568,17.460216302300342,17.50695417989401,3.2580050881912257,3.2112672105975584
2,3,default_scenario,12,26.432392148505084,19.29081408608675,17.201527841213185,7.141578062418333,9.230864307291899
2,3,default_scenario,13,19.91795480240363,15.365236642407883,14.892285905014361,4.552718159995749,5.02566889738927
2,3,default_scenario,14,23.555131171826552,16.40684460310975,15.232637926017217,7.148286568716802,8.322493245809335
2,3,default_scenario,15,17.02061904843626,14.353478720288564,14.819554087261132,2.6671403281476955,2.2010649611751276
2,3,default_scenario,16,11.896471290728392,15.001273522886795,14.705994162592718,-3.104802232158402,-2.809522871864326
2,3,default_scenario,17,18.97950031628743,13.895459201507622,13.456960117907096,5.08404111477981,5.5225401983803355
2,3,default_scenario,18,15.956536999477166,12.363020665917233,11.950424865467188,3.5935163335599327,4.006112134009978
2,3,default_scenario,19,17.964191343316315,13.734704299730097,13.27146553453957,4.229487043586218,4.692725808776746
2,3,default_scenario,20,20.600322995817223,13.324813021836404,12.940179645645447,7.275509973980819,7.660143350171776
2,3,early_urgency,1,12.095484356244837,10.972808788034847,9.945098169862245,1.1226755682099903,2.150386186382592
2,3,early_urgency,2,12.887662487765702,11.7617235551433,10.62794173509999,1.125938932622402,2.2597207526657126
2,3,early_urgency,3,11.616939552374793,11.118778927483726,10.111305035970123,0.49816062489106727,1.5056345164046707
2,3,early_urgency,4,14.089539831918552,12.282437157158807,11.30740463708804,1.8071026747597454,2.782135194830513
2,3,early_urgency,5,16.889203259952563,16.143911647166238,14.851112911579039,0.7452916127863247,2.038090348373524
2,3,early_urgency,6,12.074577131310116,11.328350037294902,10.019306111319445,0.7462270940152145,2.0552710199906716
2,3,early_urgency,7,16.905687632728014,16.329650127439315,15.354059222285592,0.5760375052886992,1.5516284104424223
2,3,early_urgency,8,13.841556673237053,12.892070873416055,10.94976199303854,0.949485799820998,2.8917946801985117
2,3,early_urgency,9,20.116058922289458,17.364710740836795,14.123400902722533,2.751348181452663,5.992658019566925
2,3,early_urgency,10,11.751906844905847,10.845566345538439,9.593873778536485,0.906340499367408,2.158033066369361
2,3,early_urgency,11,15.924108884324689,15.003554868613238,14.127805182977168,0.9205540157114509,1.7963037013475205
2,3,early_urgency,12,16.619338446859278,15.673058957386775,11.947166232350684,0.9462794894725022,4.672172214508594
2,3,early_urgency,13,13.575703631271368,12.334570714626615,11.114676736932793,1.2411329166447533,2.461026894338575
2,3,early_urgency,14,14.74661255817276,13.761541652710328,10.414995029458899,0.9850709054624325,4.331617528713862
2,3,early_urgency,15,12.707959939976684,11.638756545629033,11.22425919672419,1.0692033943476513,1.4837007432524931
2,3,early_urgency,16,12.800360519597852,11.67542054751759,10.443771715519087,1.1249399720802629,2.356588804078765
2,3,early_urgency,17,12.659268574820356,11.653232954336936,9.955885298767907,1.00603562048342,2.703383276052449
2,3,early_urgency,18,11.078319583372366,9.98119471300602,8.87944915174229,1.0971248703663452,2.198870431630075
2,3,early_urgency,19,12.437794800521317,11.114472614856709,9.85449660887987,1.3233221856646082,2.583298191641447
2,3,early_urgency,20,13.743808168958072,12.726594982819831,9.919451384694046,1.0172131861382407,3.824356784264026
2,3,high_start_narrow,1,3.485014848344075,3.292426819129192,2.6751338341454365,0.19258802921488316,0.8098810141986386
2,3,high_start_narrow,2,4.133188800607204,4.151012216769364,3.7800535651796103,-0.017823416162159766,0.35313523542759384
2,3,high_start_narrow,3,2.5738294067220906,2.6009476432641674,2.342538714656649,-0.02711823654207679,0.2312906920654414
2,3,high_start_narrow,4,3.126642985677447,3.105806956603801,2.538745673446256,0.020836029073646234,0.587897312231191
2,3,high_start_narrow,5,6.450353860063337,6.465804673042368,6.211639011016022,-0.01545081297903117,0.238714849047315
2,3,high_start_narrow,6,3.1614556166378787,2.9184382505414534,2.2812823172455623,0.2430173660964252,0.8801732993923164
2,3,high_start_narrow,7,7.503660469190318,7.460610782594082,7.214874741800844,0.04304968659623576,0.28878572738947383
2,3,high_start_narrow,8,2.083868969315593,1.9725538199417334,1.4990012186052546,0.11131514937385956,0.5848677507103384
2,3,high_start_narrow,9,8.955601194667935,7.786054064895789,6.4975457318386445,1.1695471297721456,2.4580554628292903
2,3,high_start_narrow,10,3.5644773970550716,3.377263806275354,2.572945076519537,0.18721359077971744,0.9915323205355344
2,3,high_start_narrow,11,7.676655013916793,7.685699676525404,7.27351228506208,-0.00904466260861092,0.40314272885471336
2,3,high_start_narrow,12,4.028418814649045,3.9564084563548754,3.6136968504259137,0.07201035829417002,0.4147219642231317
2,3,high_start_narrow,13,3.8665045910563167,3.3985478933914504,2.8593964761484347,0.46795669766486636,1.007108114907882
2,3,high_start_narrow,14,3.0680938087468315,2.920303562818506,2.6062868268435464,0.14779024592832535,0.46180698190328506
2,3,high_start_narrow,15,5.16981145325853,5.167510180408686,4.963952011165736,0.0023012728498441604,0.2058594420927946
2,3,high_start_narrow,16,3.5541935542773126,3.172677881018754,2.4196798570230387,0.3815156732585585,1.134513697254274
2,3,high_start_narrow,17,3.183689200573685,2.7903979710524576,2.3046788246611767,0.3932912295212274,0.8790103759125083
2,3,high_start_narrow,18,2.7712080818340543,2.6684785650635847,2.1118216009395137,0.1027295167704696,0.6593864808945407
2,3,high_start_narrow,19,3.211551284824977,2.895414332229823,2.3875692856163733,0.31613695259515406,0.8239819992086037
2,3,high_start_narrow,20,3.7170636560014185,3.6508768069620543,3.2738492108461257,0.06618684903936423,0.44321444515529285
2,3,late_relaxed,1,7.908502966424034,7.576628078401287,5.971860589425351,0.3318748880227469,1.936642376998683
