policy,run_id,short_window,long_window,pairs,avg_total_cost,avg_total_delta_vs_waterfall,avg_total_delta_vs_oracle,avg_total_delta_vs_ma1,avg_total_delta_vs_ma2_base,wins_vs_waterfall,wins_vs_oracle,wins_vs_ma1,wins_vs_ma2_base,bess_target_rate,ev1_target_rate,ev2_target_rate
mpc_ma2_s8_l48_ma2_grid,30,8,48,140,11.549791458248013,-0.17085001758536653,1.652997674505159,-2.0415862595599474,-0.2048132032904153,53,18,128,51,0.9785714285714285,0.8071428571428572,0.8071428571428572
mpc_ma2_s2_l24_ma2_grid,23,2,24,140,11.653983246163554,-0.06665822966982449,1.7571894624207012,-1.9373944716444056,-0.10062141537487325,51,17,127,46,0.9071428571428571,0.8142857142857143,0.8142857142857143
mpc_ma2_s4_l48_ma2_grid,27,4,48,140,11.658408025676357,-0.06223345015702332,1.7616142419335021,-1.9329696921316046,-0.09619663586207206,52,15,127,79,0.9214285714285714,0.8428571428571429,0.8428571428571429
mpc_ma2_s4_l24_ma2_grid,26,4,24,140,11.754604661538425,0.03396318570504875,1.857810877795574,-1.8367730562695328,0.0,52,14,122,0,0.9214285714285714,0.8714285714285714,0.8714285714285714
mpc_ma2_s2_l48_ma2_grid,24,2,48,140,11.87879426426091,0.15815278842753278,1.9820004805180589,-1.7125834535470486,0.12418960272248405,46,14,124,61,0.8928571428571429,0.7428571428571429,0.7428571428571429
mpc_ma2_s2_l12_ma2_grid,22,2,12,140,12.43468073224176,0.714039256408382,2.5378869484989073,-1.1566969855661995,0.6800760707033332,28,9,120,29,0.9428571428571428,0.9142857142857143,0.9142857142857143
mpc_ma2_s8_l24_ma2_grid,29,8,24,140,13.040331127090955,1.3196896512575766,3.1435373433481026,-0.5510465907170046,1.285726465552528,18,3,117,26,1.0,0.9571428571428572,0.9571428571428572
mpc_ma2_s8_l12_ma2_grid,28,8,12,140,13.138697566242994,1.4180560904096167,3.241903782500142,-0.4526801515649648,1.3840929047045678,20,3,112,21,1.0,0.9571428571428572,0.9571428571428572
mpc_ma2_s4_l12_ma2_grid,25,4,12,140,13.166280970667984,1.4456394948346054,3.2694871869251307,-0.42509674713997603,1.4116763091295566,20,4,105,23,1.0,0.9642857142857143,0.9642857142857143
