params,scenario,score
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.20505
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.80752
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.18638
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.78881
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.20499
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.8091
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.21793
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.81818
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100}",default_scenario,12.17926
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100}",00_baseline,3.78409
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 200}",default_scenario,12.1865
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.78899
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 200}",default_scenario,12.21943
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.82058
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200}",default_scenario,12.20458
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.8075
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}",default_scenario,12.18541
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.78987
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",default_scenario,12.17449
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.78066
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 300}",default_scenario,12.20702
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 300}",00_baseline,3.81206
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 300}",default_scenario,12.20562
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 300}",00_baseline,3.80638
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300}",default_scenario,12.18263
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300}",00_baseline,3.78958
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300}",default_scenario,12.17344
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300}",00_baseline,3.78187
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300}",default_scenario,12.17719
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300}",00_baseline,3.78264
