target,feature,mean_importance,std_importance,min_importance,max_importance,nonzero_fold_count
ev1_status,status,0.23442258524275733,0.003352502064573025,0.23052139230036073,0.23847456582692692,5
ev1_status,status_lag_2,0.12553726447919678,0.0013999449148037763,0.12318788552241322,0.1266756497554293,5
ev1_status,status_lag_1,0.10244178391445528,0.004672230478925041,0.09570133968366824,0.10733409050585127,5
ev1_status,phase_id,0.06538449126299513,0.004522918754257581,0.05836666868807802,0.07065197305547871,5
ev1_status,status_lag_4,0.0602229223548051,0.00048494081155479223,0.059721114384041644,0.060889728175700694,5
ev1_status,start1_observed,0.04036504131728498,0.00038738939817589755,0.04013976772368236,0.041045198413771224,5
ev1_status,start2,0.035609539557727915,0.007186426742106458,0.028603698192937677,0.047514208411194005,5
ev1_status,start1,0.031772509057320056,0.0003422080527468023,0.031167325751651372,0.03201270952205238,5
ev1_status,start2_observed,0.030577953171944162,0.003243242220454066,0.027464781348069914,0.03604758512163467,5
ev1_status,steps_to_start1_earliest,0.030026951991548523,0.002684216061316112,0.025975309394506874,0.032227356799769645,5
ev1_status,steps_to_end1_latest,0.027758094792412768,0.0014568789169665491,0.025602328306104063,0.029307304307021546,5
ev1_status,timestep,0.0275400496952243,0.001019552085776461,0.025994940490189748,0.028589645179936164,5
ev1_status,steps_to_start2_earliest,0.02688238268201872,0.002491495911090806,0.02327421154326116,0.029601773767769735,5
ev1_status,steps_to_end2_latest,0.022440914572472315,0.001609098469122764,0.020233842820948266,0.023815720152552008,5
ev1_status,steps_in_current_state,0.0183259999430097,0.0004510077758610093,0.017781063611584092,0.018807567860779233,5
ev1_status,window_length_slack_2,0.017984044707361774,0.003140127099503749,0.0134882013248552,0.022086321506842227,5
ev1_status,time_cos,0.015535592621295261,0.0020554243060419675,0.0131239947605304,0.017907501511964116,5
ev1_status,end2_observed,0.015069321822121628,0.0035176872917838486,0.010366355970039983,0.02023695980267723,5
ev1_status,observed_window_length_2,0.013892935037583345,0.0038797141505468955,0.009578817178306156,0.019035460216354685,5
ev1_status,end1,0.013649057401548897,0.000654973418344378,0.012866156013322918,0.014484677915080454,5
ev1_status,end2,0.012678195646161405,0.003376104650617908,0.008936024914216927,0.017072457507847878,5
ev1_status,end1_observed,0.011474390930343862,0.0005335782489458862,0.010902495824902611,0.01235447217644814,5
ev1_status,observed_window_length_1,0.008973698062746827,0.0008311383978457508,0.008167550516761761,0.010379900635682424,5
ev1_status,window_length_slack_1,0.00580905546726027,0.00045376008388959627,0.00515578539427603,0.006416699372074459,5
ev1_status,status_lag_8,0.002905816309187846,0.0007833817141845183,0.002338987943499413,0.004282362002738363,5
ev1_status,time_sin,0.0026943965191294317,0.0003586199445607319,0.002190802279668865,0.003181510590069072,5
ev1_status,status_lag_8_is_pad,2.3675767732269582e-05,1.2026546273934168e-05,1.7712966199401878e-05,4.5152322721882825e-05,5
ev1_status,status_lag_2_is_pad,5.779949276178736e-07,2.8867535523862844e-08,5.59014589931084e-07,6.289517811229396e-07,5
ev1_status,status_lag_4_is_pad,4.728696311330221e-07,4.776750672665427e-07,6.871272328454427e-08,1.256218596871891e-06,5
ev1_status,status_lag_1_is_pad,2.8480779544426716e-07,1.9903711540411244e-08,2.6147107153997487e-07,3.1332359385919635e-07,5
ev1_status,end1_latest,0.0,0.0,0.0,0.0,0
ev1_status,start1_earliest,0.0,0.0,0.0,0.0,0
ev1_status,max_commute_steps_2,0.0,0.0,0.0,0.0,0
ev1_status,start2_earliest,0.0,0.0,0.0,0.0,0
ev1_status,end2_latest,0.0,0.0,0.0,0.0,0
ev1_status,max_commute_steps_1,0.0,0.0,0.0,0.0,0
