target,feature,mean_gain,std_gain,min_gain,max_gain,mean_total_gain,std_total_gain,min_total_gain,max_total_gain,mean_split_count,nonzero_fold_count
ev1_status,status,1489.5144287109374,50.16121537873036,1431.7032470703125,1545.9609375,310730.6125,47.583590100735506,310679.59375,310780.75,208.8,5
ev1_status,steps_in_current_state,33.992278289794925,1.2303227519936717,32.18111038208008,35.10496520996094,28080.769140625,42.341747265289285,28013.763671875,28126.2890625,827.0,5
ev1_status,timestep,11.775157165527343,0.2113419869133655,11.514363288879395,12.082143783569336,8875.1169921875,86.73588624303214,8789.7333984375,9004.232421875,754.0,5
ev1_status,status_lag_1,32.188707733154295,0.8941833545465726,31.160186767578125,33.2584228515625,7535.63486328125,80.20677462905418,7416.12451171875,7616.17919921875,234.2,5
ev1_status,time_cos,14.565130996704102,0.5797060213455296,13.797175407409668,15.121875762939453,7092.52900390625,118.188737783905,6995.16796875,7270.98779296875,487.4,5
ev1_status,phase_id,13.029852294921875,0.5310981819852776,12.354456901550293,13.64799976348877,2795.521240234375,119.02477604332766,2664.683837890625,2950.552734375,214.6,5
ev1_status,start2,13.968885612487792,1.3064408402462069,11.769377708435059,15.153972625732422,2763.290673828125,89.22415704570136,2648.221435546875,2868.447021484375,199.4,5
ev1_status,status_lag_4,12.288706398010254,2.0403801715042116,10.491327285766602,15.48930549621582,715.8581298828125,111.0750202438689,558.09130859375,851.9118041992188,58.4,5
ev1_status,start1,0.6949290990829468,0.06315203471373858,0.6078680753707886,0.7522677779197693,343.6402954101562,30.256716309615257,310.75897216796875,373.9328918457031,494.8,5
ev1_status,end1,0.8032100915908813,0.03602431180052654,0.7582796812057495,0.8476429581642151,341.53753662109375,22.807902533625175,304.0701599121094,360.2482604980469,425.0,5
ev1_status,status_lag_2,22.80529651641846,10.659430933413281,11.076125144958496,39.69160842895508,259.58111267089845,18.124349978813182,232.5986328125,277.84124755859375,13.2,5
ev1_status,time_sin,0.720176887512207,0.057572710537815805,0.6268982291221619,0.7813823223114014,239.526025390625,32.572933100806964,187.44256591796875,268.0141296386719,331.6,5
ev1_status,window_length_slack_1,1.2375468015670776,0.06628067458927578,1.1600396633148193,1.299826741218567,147.31067810058593,9.476613710801463,131.28250122070312,156.19378662109375,119.4,5
ev1_status,observed_window_length_1,0.6627822279930115,0.02402700275601723,0.6319141983985901,0.686998724937439,78.34259643554688,3.2185731016568737,74.47095489501953,81.85774993896484,118.4,5
ev1_status,end1_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,end1_observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,end2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,observed_window_length_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,max_commute_steps_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,end2_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,status_lag_1_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,start2_observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,start1_observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,start2_earliest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,start1_earliest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,max_commute_steps_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,end2_observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,status_lag_2_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,steps_to_end1_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,status_lag_8_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,status_lag_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,status_lag_4_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,steps_to_start2_earliest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,steps_to_start1_earliest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,steps_to_end2_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev1_status,window_length_slack_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
