household_id,count
100354,344
102016,125
100707,122
130253,92
127524,89
106298,72
106793,70
121500,67
108795,62
132967,60
120517,59
133996,59
128843,57
160431,54
152601,54
115937,53
132256,53
118984,52
147049,51
136407,49
164897,47
107448,45
163329,44
105366,41
142975,41
146624,40
110260,40
166084,40
140211,39
155209,38
121555,38
151683,35
160216,34
104481,33
129071,32
127225,31
108517,30
163595,30
125463,30
163817,29
138414,29
165786,26
169310,25
140649,25
166206,25
167494,25
161573,25
139410,24
116320,23
123129,23
133165,20
144492,19
172510,19
188093,19
147147,19
179723,18
168165,18
142999,18
113377,16
151740,15
171530,14
170013,14
189416,14
180146,13
157904,13
112377,11
191628,11
174968,10
191701,10
188131,8
188208,8
187422,8
185196,8
192815,7
184973,7
180931,7
172262,5
176350,5
183144,5
198650,5
199888,5
