target,feature,mean_gain,std_gain,min_gain,max_gain,mean_total_gain,std_total_gain,min_total_gain,max_total_gain,mean_split_count,nonzero_fold_count
base_load,base_load,51.34100570678711,11.717697451068268,30.771015167236328,59.28264236450195,10072.39248046875,2026.1312196203658,6615.76806640625,11560.115234375,198.2,5
base_load,base_load_ma_2,9.684219932556152,6.808380074884734,2.391578197479248,18.520885467529297,276.3063659667969,212.02096017948472,50.22314453125,537.1056518554688,27.0,5
base_load,timestep,3.216318941116333,0.7181568969097962,2.348798990249634,3.887516736984253,246.0250701904297,70.50010120804615,152.67193603515625,318.7763671875,75.8,5
base_load,base_load_ma_8,10.44371485710144,9.973301360193656,3.7070343494415283,27.926898956298828,208.6772689819336,166.98403204170603,37.070343017578125,474.7572937011719,20.8,5
base_load,base_load_accel,3.164026951789856,0.9384945837196436,1.7001100778579712,3.9979360103607178,155.49016723632812,60.57558550124847,57.803741455078125,223.88441467285156,48.0,5
base_load,time_sin,3.5958816528320314,0.5293558848868313,2.867906093597412,4.324429512023926,113.99500122070313,44.16699974865614,43.018592834472656,160.00389099121094,30.8,5
base_load,base_load_lag_12,4.835919046401978,1.9761461827111426,1.469921350479126,6.346226215362549,113.66428871154785,66.32391651735357,11.759370803833008,175.4412384033203,21.6,5
base_load,base_load_lag_4,2.9035906314849855,0.7131297278201678,2.163785934448242,3.8280067443847656,110.98942413330079,31.741151669304173,79.43858337402344,153.12026977539062,38.6,5
base_load,base_load_lag_8,3.6324763774871824,1.2844718136805615,1.461829423904419,4.611647605895996,109.73019714355469,57.2350360515702,16.080123901367188,155.5938262939453,27.8,5
base_load,base_load_delta_1,2.9452256202697753,1.0478821455478,1.7474946975708008,4.4119157791137695,102.59385223388672,24.228771672748888,69.65264129638672,136.76939392089844,36.8,5
base_load,base_load_ma_4,4.0622255325317385,1.522530973037781,2.6752359867095947,6.220125198364258,97.1268699645996,36.07622557247489,42.803775787353516,143.34902954101562,24.6,5
