target,feature,mean_gain,std_gain,min_gain,max_gain,mean_total_gain,std_total_gain,min_total_gain,max_total_gain,mean_split_count,nonzero_fold_count
ev2_status,status,1486.28505859375,27.49536890886475,1458.588134765625,1526.0809326171875,294501.81875,106.03846221418905,294342.3125,294634.8125,198.2,5
ev2_status,steps_in_current_state,32.08412055969238,0.5208752095811523,31.397136688232422,32.811065673828125,26328.74375,49.84878783210993,26281.662109375,26407.06640625,820.8,5
ev2_status,timestep,11.021377182006836,0.3071587408993759,10.614557266235352,11.336140632629395,8503.2431640625,30.637538561880458,8480.275390625,8547.4501953125,772.0,5
ev2_status,status_lag_1,30.266432571411134,0.6251000424488645,29.644086837768555,31.03857421875,7383.73525390625,93.54826873638173,7269.13671875,7511.3349609375,244.0,5
ev2_status,time_cos,13.401538467407226,0.4511026952758597,12.928940773010254,13.90911865234375,6731.97041015625,31.826877561308812,6693.78466796875,6767.91064453125,502.8,5
ev2_status,start2,12.37640838623047,1.4419383679036986,10.743758201599121,14.171731948852539,2673.668017578125,118.7004587899636,2533.7353515625,2806.0029296875,218.4,5
ev2_status,phase_id,12.350002670288086,0.7352176473316807,11.13984489440918,13.118160247802734,2527.07939453125,163.4236970983186,2283.668212890625,2741.695556640625,204.6,5
ev2_status,status_lag_4,10.768498039245605,2.387086070758621,7.918112754821777,13.599756240844727,686.2058837890625,109.69520246912872,530.5135498046875,802.3856201171875,64.8,5
ev2_status,start1,0.7129937410354614,0.03406696532350277,0.666198194026947,0.7589907646179199,327.3751220703125,16.73541861646065,312.9574279785156,352.9306945800781,459.4,5
ev2_status,end1,0.7460826635360718,0.0519415099900233,0.6868937015533447,0.8165537118911743,299.2641662597656,17.124986316763984,274.82177734375,314.3731689453125,401.6,5
ev2_status,time_sin,0.746346652507782,0.061029184612852276,0.6724540591239929,0.833456814289093,233.74813232421874,10.089147719392033,217.87510681152344,245.0363006591797,314.0,5
ev2_status,window_length_slack_1,1.1507166862487792,0.1282236161193042,1.021085262298584,1.334195852279663,133.48122863769532,18.223467189263513,112.31938171386719,154.7667236328125,115.8,5
ev2_status,status_lag_2,13.234889054298401,8.744756185474639,0.30273640155792236,24.197195053100586,123.70323810577392,68.4509741198588,2.421891212463379,169.38037109375,9.6,5
ev2_status,observed_window_length_1,0.6036840915679932,0.055763249901355776,0.5552171468734741,0.6858460903167725,87.70965728759765,5.940650005458985,80.50648498535156,94.40223693847656,146.0,5
ev2_status,end1_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,end1_observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,end2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,observed_window_length_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,max_commute_steps_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,end2_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,status_lag_1_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,start2_observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,start1_observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,start2_earliest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,start1_earliest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,max_commute_steps_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,end2_observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,status_lag_2_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,steps_to_end1_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,status_lag_8_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,status_lag_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,status_lag_4_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,steps_to_start2_earliest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,steps_to_start1_earliest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,steps_to_end2_latest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ev2_status,window_length_slack_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
