target,feature,mean_gain,std_gain,min_gain,max_gain,mean_total_gain,std_total_gain,min_total_gain,max_total_gain,mean_split_count,nonzero_fold_count
pv_gen,pv_gen,28.56284236907959,1.3457134841944933,26.637306213378906,29.733118057250977,44603.76171875,3059.073871671247,40222.33203125,47269.71484375,1561.0,4
pv_gen,timestep,0.2802691273391247,0.026960568243534398,0.24316932260990143,0.3074195086956024,541.0871200561523,53.29920152554945,464.6965637207031,587.1712646484375,1930.25,4
pv_gen,pv_delta_1,0.1898135095834732,0.008290329491038795,0.1792673021554947,0.1979547142982483,264.16796875,3.464695723574534,260.1168518066406,267.4550476074219,1393.5,4
pv_gen,pv_ma_2,0.7431106939911842,0.3499813794904243,0.3011431396007538,1.1262613534927368,188.2834300994873,95.46383096985339,66.2514877319336,298.4592590332031,250.5,4
pv_gen,pv_lag_12,0.20773566514253616,0.02365767530613438,0.17704081535339355,0.22658249735832214,182.81106185913086,22.38280207355843,153.6714324951172,203.191650390625,883.0,4
pv_gen,pv_lag_8,0.158372163772583,0.024131587075413127,0.127415269613266,0.18627016246318817,161.5282211303711,23.63806370157564,129.19908142089844,184.77999877929688,1021.0,4
pv_gen,pv_delta_2,0.13308277167379856,0.01784167331304772,0.11530087143182755,0.15429657697677612,152.7764778137207,20.351392363693073,124.64024353027344,171.57778930664062,1149.25,4
pv_gen,pv_lag_1,0.21885278075933456,0.035354952807735554,0.17621904611587524,0.26229220628738403,152.21104049682617,36.607437238579465,112.60397338867188,198.55520629882812,689.25,4
pv_gen,time_cos,0.19198021665215492,0.016056878627417785,0.1777387112379074,0.21026717126369476,144.30022621154785,17.03908647095185,126.92963409423828,159.10421752929688,750.25,4
pv_gen,pv_accel,0.1177633460611105,0.004227564841598707,0.11263947188854218,0.12145116180181503,129.25684356689453,4.068117120480196,124.00163269042969,133.4678955078125,1098.75,4
pv_gen,pv_std_8,0.15400421991944313,0.018091118274045914,0.13430596888065338,0.17691561579704285,127.86166191101074,11.303662516792624,117.65203094482422,144.00930786132812,832.75,4
pv_gen,pv_std_4,0.11444893479347229,0.006101345538263029,0.10837526619434357,0.12246614694595337,118.4260139465332,6.226833714735288,114.29686737060547,127.60972595214844,1035.25,4
pv_gen,pv_lag_4,0.12793055549263954,0.009570693581942558,0.11574441194534302,0.13882401585578918,114.45099067687988,9.21337098124405,101.04486846923828,122.07254028320312,895.0,4
pv_gen,pv_lag_2,0.11041239835321903,0.02015473073670423,0.09465796500444412,0.13777042925357819,71.82786273956299,18.214337736859775,57.10694885253906,97.40369415283203,645.0,4
pv_gen,pv_ma_8,0.11433910019695759,0.025347795872266606,0.08240728080272675,0.1378740817308426,50.09489154815674,9.97540569325334,37.49531173706055,58.59648513793945,440.0,4
pv_gen,pv_ma_16,0.1030357126146555,0.006902527524484618,0.09401088953018188,0.10939712077379227,47.71011161804199,4.646859628615798,43.404197692871094,53.38579559326172,462.75,4
pv_gen,pv_ma_4,0.10118398815393448,0.026809224267314528,0.07273534685373306,0.13516353070735931,29.889292240142822,6.748158268142635,25.662416458129883,39.87324142456055,301.25,4
pv_gen,time_sin,0.004884716647211462,0.0014529867658719033,0.002842687303200364,0.006128008011728525,0.23563034646213055,0.14840363238635024,0.09305291622877121,0.3983205258846283,46.5,4
pv_gen,pv_lag_12_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pv_gen,pv_lag_1_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pv_gen,pv_lag_2_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pv_gen,pv_lag_8_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pv_gen,pv_lag_4_is_pad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pv_gen,steps_to_daylight_end,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pv_gen,steps_to_daylight_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
