target,feature,mean_importance,std_importance,min_importance,max_importance,nonzero_fold_count
pv_gen,pv_gen,0.23293089908651948,0.0035439256164109386,0.22771088485215082,0.23561299166200048,4
pv_gen,pv_ma_2,0.1971568044025745,0.005055913797142858,0.1910519998082645,0.20137532711359554,4
pv_gen,pv_lag_1,0.15568114212139217,0.0028322199258594156,0.15250237411738707,0.158315420979918,4
pv_gen,pv_ma_4,0.11556580928913848,0.004817865543407414,0.10852138285493053,0.11943077368766708,4
pv_gen,pv_lag_2,0.0830099502995157,0.0011999673594334144,0.08123682966549366,0.08388451107496668,4
pv_gen,pv_std_8,0.03713732889182138,0.0012448722731994725,0.036416474379014956,0.03899291783338224,4
pv_gen,pv_ma_8,0.03147366403559217,0.0012876388221152878,0.029967785938140014,0.03259630221860676,4
pv_gen,time_cos,0.024657136265212688,0.001973611502162089,0.02245337905099587,0.02668621061630458,4
pv_gen,pv_delta_1,0.022743294747080756,0.0009762098072005348,0.02192122549533106,0.023859694765615412,4
pv_gen,pv_std_4,0.021865117239433688,0.0010558431821903647,0.020439357916102876,0.022785306697943705,4
pv_gen,pv_lag_4,0.01538525781428959,0.00030032410385328706,0.014993781887857023,0.015626205265728606,4
pv_gen,pv_delta_2,0.013201140126588564,0.0005770196503093111,0.012745987124734707,0.014018139196605071,4
pv_gen,steps_to_daylight_start,0.007273757684833376,0.00025679887995592234,0.006910825310749123,0.0075143221205658944,4
pv_gen,steps_to_daylight_end,0.007239508359164934,0.0008680490020466843,0.006214802192908528,0.008315453267894993,4
pv_gen,timestep,0.007111661570307126,0.0007790510896771815,0.006450178460234765,0.008161741868876684,4
pv_gen,time_sin,0.0070453050489828655,0.00040215070971008686,0.006604171044401359,0.007525278920657167,4
pv_gen,pv_accel,0.005771002721057982,0.00033388617842687157,0.005543206300273067,0.0062539473426607,4
pv_gen,pv_lag_8,0.0050621246316327004,0.0001680646474835027,0.004861311369307142,0.005272707287330346,4
pv_gen,pv_lag_12,0.004910738573764566,0.00032857791272848094,0.004435201481299598,0.005190242391586304,4
pv_gen,pv_ma_16,0.004778340861020366,0.00045368611199506976,0.004409984921155571,0.0054045107928970436,4
pv_gen,pv_lag_12_is_pad,1.2746336471602145e-08,5.565706643853802e-09,9.484262349398384e-09,2.107764753066866e-08,4
pv_gen,pv_lag_8_is_pad,3.184027190867969e-09,2.5867966996194568e-09,3.428705566148121e-12,6.333942706952455e-09,4
pv_gen,pv_lag_4_is_pad,2.5869201878325766e-10,3.019072350913914e-10,9.860604434961856e-15,5.786979586788033e-10,4
pv_gen,pv_lag_1_is_pad,4.0917898458336526e-11,8.183579691667304e-11,0.0,1.636715938333461e-10,1
pv_gen,pv_lag_2_is_pad,1.0345262271263854e-13,1.99851437240412e-13,0.0,4.032003903486638e-13,3
