target,feature,mean_importance,std_importance,min_importance,max_importance,nonzero_fold_count
ev2_status,status,0.23030413510797726,0.004362574620371428,0.22370671390485883,0.23575445464445494,5
ev2_status,status_lag_2,0.12451219055618787,0.0018503289145054224,0.12221568493173744,0.12736389624660202,5
ev2_status,status_lag_1,0.10561846898541996,0.005683178004044074,0.09699205554795977,0.11234998446862708,5
ev2_status,phase_id,0.06556586544428114,0.0051807423570184715,0.05828533639690464,0.07103344147473632,5
ev2_status,status_lag_4,0.06071860853972685,0.0009248877401902419,0.059502189881720374,0.06174822027305379,5
ev2_status,start1_observed,0.040489262843925594,0.00040601156086979366,0.03999601513160737,0.04084434479354236,5
ev2_status,start2_observed,0.04003846366392695,0.008132277692707485,0.026305916685688012,0.04605160971520015,5
ev2_status,start2,0.034202019031049136,0.006414138059490566,0.027465485779598543,0.04348126262335806,5
ev2_status,start1,0.03158145956831067,0.0003643289550251873,0.031177239709861797,0.031973139810164114,5
ev2_status,steps_to_end1_latest,0.029503567839816836,0.0013989279848345014,0.027421880929782694,0.031123160366839223,5
ev2_status,steps_to_start2_earliest,0.02688650502995852,0.0018381322734335097,0.024685609219211518,0.02938597822169831,5
ev2_status,steps_to_start1_earliest,0.026468677699698538,0.0012528969521984523,0.024639771589217842,0.027993066535093515,5
ev2_status,timestep,0.025692908608490113,0.002214885695341004,0.023005058070561996,0.02843886157575011,5
ev2_status,steps_to_end2_latest,0.02349649964542808,0.0027044385065497865,0.020029037838805358,0.025866685686961936,5
ev2_status,steps_in_current_state,0.018637743270323505,0.000671706587668452,0.01780684240466415,0.019281862163497632,5
ev2_status,time_cos,0.015327471847588616,0.0014510062366833144,0.01327418107553042,0.01727277830416257,5
ev2_status,observed_window_length_2,0.015078138022446726,0.0036741398454866905,0.009748278647611165,0.02007578818780266,5
ev2_status,end2,0.013614824825842553,0.0031796577780499294,0.008626347715588097,0.01738455559326119,5
ev2_status,window_length_slack_2,0.013493551670944492,0.0024266369202161886,0.010425260408195375,0.016870967545803268,5
ev2_status,end1,0.013298169805436017,0.0013179576968771723,0.011893831768971255,0.015024735585150252,5
ev2_status,end2_observed,0.013051952212960585,0.0006257124510802423,0.01203299200006609,0.013621869078690806,5
ev2_status,end1_observed,0.012116506051244733,0.0009892438317419044,0.01107235482348114,0.013262779829353406,5
ev2_status,observed_window_length_1,0.008505631656796114,0.00047936936822649866,0.007994321893111953,0.009139086575821433,5
ev2_status,window_length_slack_1,0.005783285656171756,0.0011567734199032752,0.004601381659988927,0.007250788233983843,5
ev2_status,status_lag_8,0.0030118419003394192,0.0008261111138391817,0.0023233061257070748,0.003973492730216359,5
ev2_status,time_sin,0.002981251445336845,0.0002787966812286719,0.0026471899827777163,0.0032892823464890164,5
ev2_status,status_lag_8_is_pad,1.962917860104124e-05,2.055116429926042e-06,1.766376123869244e-05,2.286265580577367e-05,5
ev2_status,status_lag_2_is_pad,6.329275839161795e-07,2.995527342327888e-08,5.94368902174402e-07,6.663902495521508e-07,5
ev2_status,status_lag_4_is_pad,4.075326799240061e-07,2.5173787888805516e-07,3.706086303636735e-08,6.523730664887242e-07,5
ev2_status,status_lag_1_is_pad,3.294315063067273e-07,6.691866750095753e-09,3.184917632176222e-07,3.3514274562579686e-07,5
ev2_status,end1_latest,0.0,0.0,0.0,0.0,0
ev2_status,start1_earliest,0.0,0.0,0.0,0.0,0
ev2_status,max_commute_steps_2,0.0,0.0,0.0,0.0,0
ev2_status,start2_earliest,0.0,0.0,0.0,0.0,0
ev2_status,end2_latest,0.0,0.0,0.0,0.0,0
ev2_status,max_commute_steps_1,0.0,0.0,0.0,0.0,0
