feature,importance,target,fold_id
start1,0.031901307482970945,ev1_status,D
end1,0.014484677915080454,ev1_status,D
start2,0.028603698192937677,ev1_status,D
end2,0.010897464232817308,ev1_status,D
start1_observed,0.04013981103320119,ev1_status,D
end1_observed,0.011324419165308389,ev1_status,D
start2_observed,0.03604758512163467,ev1_status,D
end2_observed,0.02023695980267723,ev1_status,D
observed_window_length_1,0.008167550516761761,ev1_status,D
observed_window_length_2,0.011259930813143687,ev1_status,D
window_length_slack_1,0.00570928249978112,ev1_status,D
window_length_slack_2,0.0134882013248552,ev1_status,D
timestep,0.02758444257613095,ev1_status,E
status,0.23303999248959428,ev1_status,E
time_sin,0.0026557535459609404,ev1_status,E
time_cos,0.016089951689851476,ev1_status,E
steps_in_current_state,0.01860280052659441,ev1_status,E
phase_id,0.06706865984196538,ev1_status,E
status_lag_1,0.10468591757836622,ev1_status,E
status_lag_1_is_pad,2.835279093931219e-07,ev1_status,E
status_lag_2,0.12318788552241322,ev1_status,E
status_lag_2_is_pad,5.59014589931084e-07,ev1_status,E
status_lag_4,0.059721114384041644,ev1_status,E
status_lag_4_is_pad,5.726599346606275e-07,ev1_status,E
status_lag_8,0.0026841660276644623,ev1_status,E
status_lag_8_is_pad,1.947123369858002e-05,ev1_status,E
start1_earliest,0.0,ev1_status,E
end1_latest,0.0,ev1_status,E
start2_earliest,0.0,ev1_status,E
end2_latest,0.0,ev1_status,E
max_commute_steps_1,0.0,ev1_status,E
max_commute_steps_2,0.0,ev1_status,E
steps_to_start1_earliest,0.03139083039117724,ev1_status,E
steps_to_end1_latest,0.025602328306104063,ev1_status,E
steps_to_start2_earliest,0.02698534672332238,ev1_status,E
steps_to_end2_latest,0.021265581502149872,ev1_status,E
start1,0.031167325751651372,ev1_status,E
end1,0.014149502000692808,ev1_status,E
start2,0.034511616500448095,ev1_status,E
end2,0.015300552782314857,ev1_status,E
start1_observed,0.040320290859606145,ev1_status,E
end1_observed,0.011428514413491193,ev1_status,E
start2_observed,0.027464781348069914,ev1_status,E
end2_observed,0.015248076468436685,ev1_status,E
observed_window_length_1,0.008869532388942825,ev1_status,E
observed_window_length_2,0.016610523164074707,ev1_status,E
window_length_slack_1,0.00582227876986948,ev1_status,E
window_length_slack_2,0.018521348010932734,ev1_status,E
