params,score
"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.61467
"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.62818
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.60791
"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.61356
"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.6257
"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.60799
"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.61301
"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.6269
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.60548
"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.60717
"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.61986
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.60511
"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.6073
"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.61892
"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.60743
"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.60986
"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.62313
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.60762
"{""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.61356
"{""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.62739
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.60795
"{""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.61171
"{""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.62567
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.60942
"{""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.61296
"{""max_depth"": 20, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 500}",0.62874
