target,learning_rate,n_estimators,max_depth,mean_score,fold_A,fold_B,fold_C,fold_D,fold_E
base_load,0.05,100,3,0.4603579228434122,0.44447981352622334,0.409058888058017,0.44545323141041715,0.7396297052918684,0.26316797593053515
base_load,0.05,100,5,0.4753459087009951,0.46561831094997375,0.41888657250612676,0.4434299607884419,0.7780332737547696,0.2707614255056632
base_load,0.05,100,7,0.49456796648586654,0.4750687538622783,0.428548974317315,0.47369116686807683,0.8134513651665555,0.2820795722151068
base_load,0.05,300,3,0.4722019809084328,0.4543359809342897,0.40943259389740844,0.4560323831449109,0.7759322795190469,0.265276667046508
base_load,0.05,300,5,0.4845495906827938,0.46539801363955313,0.42137612513801165,0.4529906903839784,0.7932897349407303,0.2896933893116955
base_load,0.05,300,7,0.4986754051625709,0.47802623156213314,0.43539901722643926,0.4786190684362306,0.8164671775523215,0.28486553103573053
base_load,0.05,600,3,0.4827120132396955,0.46111069625665946,0.41017193501663785,0.4626193472458258,0.7965538509050001,0.2831042367743542
base_load,0.05,600,5,0.4901451396605325,0.469646610393877,0.4259164927696705,0.45760348997539757,0.798885183150465,0.29867392201325277
base_load,0.05,600,7,0.5009494803136968,0.48008370755873536,0.43686642294871175,0.48030243503311276,0.8171929718187502,0.29030186420917375
base_load,0.1,100,3,0.4664877995345581,0.4470302235874576,0.40929021293529605,0.4502831397940705,0.7636831589753507,0.26215226238061545
base_load,0.1,100,5,0.4796552157646614,0.4633300179935829,0.4254132787829916,0.45204320969716183,0.7850779966460597,0.2724115757035111
base_load,0.1,100,7,0.4917474501140915,0.4797484773642479,0.436521427789068,0.46168254899418537,0.7933120083676397,0.2874727880553166
base_load,0.1,300,3,0.4847092886636,0.4564893521411096,0.4155902508039307,0.46453021246775167,0.802283583338739,0.28465304456646906
base_load,0.1,300,5,0.4897423549540564,0.47001918595519016,0.4318404123707827,0.4624448192326809,0.794716206224125,0.2896911509875034
base_load,0.1,300,7,0.49478416320380597,0.4817942864371706,0.43905650033059546,0.46425276733037935,0.7942012351860418,0.2946160267348427
base_load,0.1,600,3,0.4952779184635375,0.46842559161021363,0.4192460431634529,0.4721737078583538,0.8223813364185478,0.2941629132671195
base_load,0.1,600,5,0.49239162614567417,0.47186791115443816,0.43339262160188546,0.4647002556325194,0.7967526074691602,0.29524473487036806
base_load,0.1,600,7,0.4949559263277342,0.48211982975115514,0.43931597838132247,0.4643491143934056,0.7943217683606728,0.2946729407521149
base_load,0.2,100,3,0.4869696744363818,0.46939943473269896,0.4177580239278591,0.47435501058745266,0.7969255382563655,0.2764103646775331
base_load,0.2,100,5,0.49709027568936975,0.4769047217497923,0.42321065696350046,0.46602411589736437,0.8182426716517415,0.30106921218445004
base_load,0.2,100,7,0.5018012853840155,0.4940516567135244,0.4394575421246531,0.4848738436000802,0.7995132833497283,0.2911101011320911
base_load,0.2,300,3,0.5005058850371694,0.479580462120887,0.4270998644150843,0.483071162478429,0.8114310922282962,0.30134684394315076
base_load,0.2,300,5,0.5018650796896453,0.47861565429456726,0.42608152890550444,0.470332275586765,0.8202725684513343,0.31402337121005613
base_load,0.2,300,7,0.5023467683297075,0.49520124796931375,0.4397571841182265,0.48586791627122555,0.7997300674179755,0.29117742587179646
base_load,0.2,600,3,0.508236779291636,0.48219537676757346,0.42948852670458426,0.4909588974617986,0.8211393654169156,0.31740173010730777
base_load,0.2,600,5,0.5023617620307866,0.47981646760137153,0.42628085523375187,0.47064256178960423,0.8206068223004621,0.31446210322874313
base_load,0.2,600,7,0.5023467683922703,0.4952012481811242,0.4397571840692075,0.4858679162895824,0.7997300674179755,0.29117742600346225
pv_gen,0.05,100,3,0.14958143285073242,0.15489253476860035,0.06584784900082868,0.09641220128507504,0.33307351685766573,0.09768106234149228
pv_gen,0.05,100,5,0.14219013807622802,0.1399912472258484,0.05615552448312984,0.07644880587418837,0.3838231504289966,0.054531962368976825
pv_gen,0.05,100,7,0.14529810272702642,0.1357808863052395,0.05602862036798167,0.06344656787531804,0.3776790508875391,0.09355538819905387
pv_gen,0.05,300,3,0.13835385027405706,0.13314274724499592,0.05686335433321493,0.07241101419462466,0.34187742109745756,0.08747471449999222
pv_gen,0.05,300,5,0.1322117865714973,0.1267476529591651,0.05694881917017355,0.055820872203869776,0.3741228466366449,0.04741874188763306
pv_gen,0.05,300,7,0.13939985538345812,0.1284813597260006,0.05521412625717159,0.05565246504175804,0.369634034966353,0.08801729092600735
pv_gen,0.05,600,3,0.13107433962623574,0.120165222725621,0.0565273254289372,0.060919632148526325,0.3418541820685118,0.07590533575958239
pv_gen,0.05,600,5,0.13073143613554902,0.12062048163183067,0.06010177741183911,0.05184597843808575,0.3726882284473807,0.04840071474860894
pv_gen,0.05,600,7,0.1388800238755043,0.12712613539635578,0.05443373790099669,0.05543354342708328,0.3696583079035084,0.0877483947495774
pv_gen,0.1,100,3,0.1436694162632109,0.14090636647450383,0.06434727318226116,0.08407203616454272,0.34085582951219745,0.08816557598254923
pv_gen,0.1,100,5,0.13731952608381093,0.1421514894000335,0.05621520800125105,0.0653107749573569,0.3778513194328009,0.04506883862761229
pv_gen,0.1,100,7,0.1425763371126426,0.1355347735131487,0.05960495726018614,0.059693460464382474,0.36242803511654553,0.09562045920895011
pv_gen,0.1,300,3,0.12619772426645787,0.12350744367145221,0.06207388408264972,0.06255678055862657,0.3319297848091331,0.05092072821042769
pv_gen,0.1,300,5,0.13307256332105274,0.13146177939748288,0.05686120949413377,0.058812776949825445,0.37395491403300596,0.04427213673081581
