target,feature,xgb_mean_gain,xgb_mean_total_gain,xgb_rel_total_gain,xgb_rank,xgb_nonzero_fold_count,rf_mean_importance,rf_rel_importance,rf_rank,rf_nonzero_fold_count,ridge_mean_abs_coef,ridge_rel_abs_coef,ridge_rank,ridge_nonzero_fold_count,mean_relative_relevance,all_models_zero,low_relevance_all_models
ev1_status,status,1489.5144287109374,310730.6125,1.0,1,5,0.2344225852427573,1.0,1,5,0.300262946470867,0.05411748138109977,12,5,0.6847058271270332,False,False
ev1_status,timestep,11.775157165527345,8875.1169921875,0.028562094094245385,3,5,0.0275400496952243,0.11748035995211419,12,5,5.548354040284885,1.0,1,5,0.3820141513487865,False,False
ev1_status,steps_to_start1_earliest,0.0,0.0,0.0,15,0,0.0300269519915485,0.12808898920918377,10,5,5.103717057829231,0.9198614617547325,2,5,0.34931681698797207,False,False
ev1_status,steps_to_start2_earliest,0.0,0.0,0.0,15,0,0.0268823826820187,0.1146748836259976,13,5,2.6827192201371,0.4835162285352925,4,5,0.19939703738709671,False,False
ev1_status,steps_to_end2_latest,0.0,0.0,0.0,15,0,0.0224409145724723,0.09572846639001749,14,5,2.7233718137048823,0.4908431931220179,3,5,0.19552388650401178,False,False
ev1_status,status_lag_2,22.80529651641846,259.58111267089845,0.000835389569706134,11,5,0.1255372644791967,0.5355169355768176,2,5,0.0787470255725502,0.014192862423845407,22,5,0.18351506252345637,False,False
ev1_status,status_lag_1,32.188707733154295,7535.63486328125,0.02425134364024481,4,5,0.1024417839144552,0.4369962211975914,3,5,0.0889012694027259,0.016022998669018098,21,5,0.1590901878356181,False,False
ev1_status,steps_to_end1_latest,0.0,0.0,0.0,15,0,0.0277580947924127,0.1184104968540795,11,5,1.2348606328815048,0.2225634168107448,5,5,0.1136579712216081,False,False
ev1_status,phase_id,13.029852294921875,2795.521240234375,0.008996607118117063,6,5,0.0653844912629951,0.27891720072656784,4,5,0.1830871233744504,0.03299845720822993,16,5,0.10697075501763827,False,False
ev1_status,status_lag_4,12.288706398010254,715.8581298828125,0.002303790167706159,8,5,0.0602229223548051,0.25689897708636306,5,5,0.055431547084339,0.00999062905536807,24,5,0.08973113210314576,False,False
ev1_status,start2_observed,0.0,0.0,0.0,15,0,0.0305779531719441,0.13043945036387586,9,5,0.7593557628563115,0.13686144707833417,6,5,0.08910029914740335,False,False
ev1_status,start2,13.968885612487792,2763.290673828125,0.008892882009905364,7,5,0.0356095395577279,0.15190319448466236,7,5,0.5466950368780668,0.09853283206310968,7,5,0.08644296951922581,False,False
ev1_status,start1_observed,0.0,0.0,0.0,15,0,0.0403650413172849,0.17218921664687176,6,5,0.4820125219295393,0.08687486747056788,9,5,0.08635469470581321,False,False
ev1_status,steps_in_current_state,33.992278289794925,28080.769140625,0.09037014060088785,2,5,0.0183259999430097,0.07817506117864938,15,5,0.0214006257106665,0.0038571124977395395,27,5,0.0574674380924256,False,False
ev1_status,start1,0.6949290990829468,343.6402954101562,0.0011059106556813943,9,5,0.03177250905732,0.13553518755207755,8,5,0.094710163753433,0.0170699567954337,20,5,0.05123701833439754,False,False
ev1_status,end2,0.0,0.0,0.0,15,0,0.0126781956461614,0.054082654335683746,21,5,0.5048604588406617,0.09099283412252097,8,5,0.04835849615273491,False,False
ev1_status,observed_window_length_2,0.0,0.0,0.0,15,0,0.0138929350375833,0.05926449033567483,19,5,0.380947564812471,0.06865956318694308,10,5,0.04264135117420597,False,False
ev1_status,end2_observed,0.0,0.0,0.0,15,0,0.0150693218221216,0.06428272176299267,18,5,0.3385400834501375,0.06101630879934886,11,5,0.04176634352078051,False,False
ev1_status,window_length_slack_2,0.0,0.0,0.0,15,0,0.0179840447073617,0.07671634833622472,16,5,0.2338179892249157,0.042141865412198914,13,5,0.039619404582807875,False,False
ev1_status,time_cos,14.565130996704102,7092.52900390625,0.022825330748209593,5,5,0.0155355926212952,0.0662717400083582,17,5,0.0781049357829742,0.014077136249035007,23,5,0.03439140233520093,False,False
ev1_status,end1_observed,0.0,0.0,0.0,15,0,0.0114743909303438,0.04894746348122322,22,5,0.2289164343876774,0.04125844038170345,14,5,0.030068634620975556,False,False
ev1_status,observed_window_length_1,0.6627822279930115,78.34259643554688,0.000252123843882768,14,5,0.0089736980627468,0.03828000639722511,23,5,0.2177582711598047,0.0392473640973033,15,5,0.025926498112803727,False,False
ev1_status,end1,0.8032100915908813,341.5375366210937,0.0010991435117165796,10,5,0.0136490574015488,0.058224156974527264,20,5,0.1003227490171877,0.018081533422123965,19,5,0.025801611302789268,False,False
ev1_status,window_length_slack_1,1.2375468015670776,147.31067810058593,0.00047407842090417123,13,5,0.0058090554672602,0.02478027217916997,24,5,0.151432546290257,0.027293237812647142,17,5,0.017515862804240428,False,False
ev1_status,time_sin,0.720176887512207,239.526025390625,0.0007708478526254796,12,5,0.0026943965191294,0.011493758232975744,26,5,0.1207500611136422,0.02176322207215208,18,5,0.011342609385917768,False,False
ev1_status,status_lag_8,0.0,0.0,0.0,15,0,0.0029058163091878,0.01239563289594588,25,5,0.0294679600868214,0.005311117472472672,25,5,0.005902250122806184,False,True
ev1_status,status_lag_8_is_pad,0.0,0.0,0.0,15,0,2.3675767732269582e-05,0.00010099610371480223,27,5,0.0230573722767611,0.0041557139485599946,26,5,0.0014189033507582655,False,True
ev1_status,status_lag_4_is_pad,0.0,0.0,0.0,15,0,4.728696311330221e-07,2.0171675465627168e-06,29,5,0.01829316409039,0.003297043403785877,28,5,0.0010996868571108132,False,True
ev1_status,status_lag_2_is_pad,0.0,0.0,0.0,15,0,5.779949276178736e-07,2.46561109723847e-06,28,5,0.0091829951563996,0.0016550845691757784,29,5,0.0005525167267576722,False,True
ev1_status,status_lag_1_is_pad,0.0,0.0,0.0,15,0,2.848077954442672e-07,1.2149332588808937e-06,30,5,0.0083555020922106,0.0015059424888072893,30,5,0.0005023858073553901,False,True
ev1_status,end1_latest,0.0,0.0,0.0,15,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,True,True
ev1_status,end2_latest,0.0,0.0,0.0,15,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,True,True
ev1_status,max_commute_steps_1,0.0,0.0,0.0,15,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,True,True
ev1_status,max_commute_steps_2,0.0,0.0,0.0,15,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,True,True
ev1_status,start1_earliest,0.0,0.0,0.0,15,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,True,True
ev1_status,start2_earliest,0.0,0.0,0.0,15,0,0.0,0.0,31,0,0.0,0.0,31,0,0.0,True,True
