target,n_estimators,max_depth,min_samples_leaf,max_features,mean_score,fold_A,fold_B,fold_C,fold_D,fold_E
base_load,200,,1,sqrt,0.46490963878288644,0.44296917158203797,0.41212948530073307,0.4473855517298057,0.7430959786595345,0.278968006642321
base_load,200,,1,0.7,0.46965340992774635,0.4592697203419574,0.4092139590555263,0.4401835800879417,0.7587323020549412,0.2808674880983649
base_load,200,,3,sqrt,0.46141339954761584,0.44785393166993176,0.4106324717142365,0.4412139134265595,0.7327279095664667,0.2746387713608845
base_load,200,,3,0.7,0.46311815013641605,0.4537098941406655,0.40955448009979395,0.4395224929425737,0.7341010076333911,0.27870287586565606
base_load,200,12.0,1,sqrt,0.46643135012887893,0.4462599144687886,0.41753197315597657,0.4457389830376984,0.7457338800965005,0.2768919998854305
base_load,200,12.0,1,0.7,0.46663813340158544,0.457423737200956,0.40727299798354244,0.44089481969250205,0.7460451373243046,0.28155397480662236
base_load,200,12.0,3,sqrt,0.4629030216203347,0.4505834638652927,0.41086137615468227,0.44420802653035,0.7325109636654228,0.276351277885926
base_load,200,12.0,3,0.7,0.46270910511716473,0.45305112034716943,0.40910501705705904,0.44329737123741936,0.7314527549822194,0.27663926196195654
base_load,400,,1,sqrt,0.46383164865001236,0.4421308138301618,0.4130633124232654,0.44312847247365855,0.7407785377940145,0.28005710672896134
base_load,400,,1,0.7,0.46811566374383345,0.45916856073079454,0.41001769401780264,0.43887562456002377,0.7517410316453556,0.2807754077651906
base_load,400,,3,sqrt,0.46188860714180313,0.448423273035239,0.411762366657617,0.43942803640844713,0.7345901525059284,0.27523920710178423
base_load,400,,3,0.7,0.46124168358872686,0.45196401439508177,0.4069196100616251,0.4385750363790911,0.7326499620461162,0.2760997950617197
base_load,400,12.0,1,sqrt,0.4630203474596886,0.4428392817519992,0.4147235384080842,0.4453515674907165,0.7372039658747961,0.27498338377284726
base_load,400,12.0,1,0.7,0.4660285459439577,0.45679553590590605,0.4103779581672377,0.440457562129613,0.742502897593924,0.28000877592310813
base_load,400,12.0,3,sqrt,0.46209364143159604,0.44754063286142454,0.41202245397587606,0.4436396951145087,0.7321467650843759,0.2751186601217951
base_load,400,12.0,3,0.7,0.46301201044293416,0.45342744433081283,0.4081199330251379,0.4405795144493043,0.7360051874598728,0.27692797294954274
pv_gen,200,,1,sqrt,0.14727792627798503,0.1145556303489552,0.05659398715435022,0.06692300007169864,0.35103908753693597,
pv_gen,200,,1,0.7,0.14876780233968487,0.11680066770332004,0.05520387076098997,0.07136557504032691,0.35170109585410253,
pv_gen,200,,3,sqrt,0.1532388314360998,0.12146230230361933,0.05724773505455747,0.07509937736390909,0.35914591102231325,
pv_gen,200,,3,0.7,0.1514514551616091,0.11955183543574599,0.059192696978114696,0.0744926981900131,0.35256859004256264,
pv_gen,200,12.0,1,sqrt,0.1453040461727367,0.11387788150273731,0.05742537319411749,0.07074654232519048,0.3391663876689015,
pv_gen,200,12.0,1,0.7,0.15010038341999854,0.1170073842529732,0.05629235196803287,0.07479444033333575,0.3523073571256523,
pv_gen,200,12.0,3,sqrt,0.152925188405374,0.12798354911532853,0.061578992807206995,0.07398256441970268,0.34815564727925774,
pv_gen,200,12.0,3,0.7,0.15234068497053088,0.11892771124150257,0.05983717996631408,0.0758789989532278,0.3547188497210791,
pv_gen,400,,1,sqrt,0.14663511274081642,0.11225692107787606,0.05634023515541596,0.06688647385734188,0.35105682087263185,
pv_gen,400,,1,0.7,0.1487099512166332,0.11677371297054165,0.05532030666083037,0.07265973078772844,0.3500860544474323,
pv_gen,400,,3,sqrt,0.15338067056924892,0.12041347260621661,0.056379929387041144,0.07391222384470936,0.3628170564390286,
pv_gen,400,,3,0.7,0.1508359083357821,0.11951681299643722,0.05794901115199333,0.07607487222851526,0.34980293696618253,
pv_gen,400,12.0,1,sqrt,0.146326497276319,0.11293808315427464,0.05723465558381317,0.07066268059641392,0.3444705697707742,
pv_gen,400,12.0,1,0.7,0.14938152413205363,0.11649913045484848,0.05643553037297552,0.07264319310939572,0.3519482425909949,
pv_gen,400,12.0,3,sqrt,0.15382855063497033,0.1224721498190527,0.05913681237789249,0.07694998692554461,0.35675525341739156,
pv_gen,400,12.0,3,0.7,0.15251690711907362,0.12038941365723771,0.05874502863913133,0.07573130661493033,0.35520187956499516,
ev1_status,200,,1,sqrt,0.17513243616567137,0.2598340349143912,0.1695396508847005,0.18116762147246676,0.12732597328765918,0.13779490026913907
ev1_status,200,,1,0.7,0.17311059967086057,0.2591307566895698,0.16812010673912728,0.17540459840916048,0.12691345535255383,0.13598408116389146
ev1_status,200,,3,sqrt,0.10586549348457037,0.134132937588496,0.0863527093635414,0.13452833697601568,0.08668589317440396,0.08762759032039481
ev1_status,200,,3,0.7,0.1131819017094138,0.13620605023035853,0.08562711090041841,0.16992838542847485,0.08756576912897955,0.08658219285883766
ev1_status,200,12.0,1,sqrt,0.08390527166584183,0.08467363682610979,0.0818183133948235,0.08578396847741644,0.0819769328602578,0.08527350677060164
ev1_status,200,12.0,1,0.7,0.08475547925661986,0.08624486715036017,0.0820545702111322,0.08594536615988835,0.08369906590813336,0.08583352685358518
ev1_status,200,12.0,3,sqrt,0.08390547725678749,0.0842225948163151,0.0829745749972747,0.08581723904386818,0.08157094128388373,0.0849420361425957
ev1_status,200,12.0,3,0.7,0.0843332702763899,0.0853152801116968,0.08255077475757053,0.08626125402311668,0.08301951037141377,0.08451953211815177
ev1_status,400,,1,sqrt,0.16769646244690609,0.22217187431542781,0.16917554706878457,0.181369002742368,0.12793450374902074,0.13783138435892928
ev1_status,400,,1,0.7,0.16631854175718544,0.25921403517176494,0.1686634982595063,0.14068635475450358,0.12719852985649832,0.13583029074365394
ev1_status,400,,3,sqrt,0.0922919902363754,0.09964170631008525,0.0865366756608222,0.1005246640478273,0.08701070032705205,0.08774620483609018
ev1_status,400,,3,0.7,0.10675600789002834,0.13734262276144923,0.086940333454284,0.13438387646068498,0.08803324162258963,0.08707996515113396
ev1_status,400,12.0,1,sqrt,0.08413654255339409,0.08498238960418052,0.08215054503281134,0.08598120537442704,0.08230402049784445,0.08526455225770709
ev1_status,400,12.0,1,0.7,0.08486897710831799,0.08609462827749037,0.08258884352382995,0.08590604350116382,0.08370819859744354,0.08604717164166224
ev1_status,400,12.0,3,sqrt,0.0842936108698576,0.08449884763447309,0.08313879681586239,0.08652651313245852,0.08215036201904392,0.08515353474745006
