feature,importance,target,fold_id
max_commute_steps_2,0.0,ev1_status,C
steps_to_start1_earliest,0.02859977105087079,ev1_status,C
steps_to_end1_latest,0.029307304307021546,ev1_status,C
steps_to_start2_earliest,0.028706525410090424,ev1_status,C
steps_to_end2_latest,0.02376007133214783,ev1_status,C
start1,0.0318896697931926,ev1_status,C
end1,0.013398211106097072,ev1_status,C
start2,0.035625736925463225,ev1_status,C
end2,0.017072457507847878,ev1_status,C
start1_observed,0.041045198413771224,ev1_status,C
end1_observed,0.01235447217644814,ev1_status,C
start2_observed,0.030412348526977346,ev1_status,C
end2_observed,0.015214070221129094,ev1_status,C
observed_window_length_1,0.00875801009543603,ev1_status,C
observed_window_length_2,0.012979943816037495,ev1_status,C
window_length_slack_1,0.00515578539427603,ev1_status,C
window_length_slack_2,0.016887167766119718,ev1_status,C
timestep,0.027234005491324893,ev1_status,D
status,0.23052139230036073,ev1_status,D
time_sin,0.003181510590069072,ev1_status,D
time_cos,0.0131239947605304,ev1_status,D
steps_in_current_state,0.018523728912335023,ev1_status,D
phase_id,0.07065197305547871,ev1_status,D
status_lag_1,0.09971039330993871,ev1_status,D
status_lag_1_is_pad,3.1332359385919635e-07,ev1_status,D
status_lag_2,0.1266756497554293,ev1_status,D
status_lag_2_is_pad,5.715254071456597e-07,ev1_status,D
status_lag_4,0.060317589869744705,ev1_status,D
status_lag_4_is_pad,1.256218596871891e-06,ev1_status,D
status_lag_8,0.004282362002738363,ev1_status,D
status_lag_8_is_pad,4.5152322721882825e-05,ev1_status,D
start1_earliest,0.0,ev1_status,D
end1_latest,0.0,ev1_status,D
start2_earliest,0.0,ev1_status,D
end2_latest,0.0,ev1_status,D
max_commute_steps_1,0.0,ev1_status,D
max_commute_steps_2,0.0,ev1_status,D
steps_to_start1_earliest,0.031941492321418054,ev1_status,D
steps_to_end1_latest,0.0287965953168094,ev1_status,D
steps_to_start2_earliest,0.029601773767769735,ev1_status,D
steps_to_end2_latest,0.023129357054563603,ev1_status,D
start1,0.031901307482970945,ev1_status,D
end1,0.014484677915080454,ev1_status,D
start2,0.028603698192937677,ev1_status,D
end2,0.010897464232817308,ev1_status,D
start1_observed,0.04013981103320119,ev1_status,D
end1_observed,0.011324419165308389,ev1_status,D
start2_observed,0.03604758512163467,ev1_status,D
end2_observed,0.02023695980267723,ev1_status,D
observed_window_length_1,0.008167550516761761,ev1_status,D
observed_window_length_2,0.011259930813143687,ev1_status,D
window_length_slack_1,0.00570928249978112,ev1_status,D
window_length_slack_2,0.0134882013248552,ev1_status,D
timestep,0.02758444257613095,ev1_status,E
status,0.23303999248959428,ev1_status,E
time_sin,0.0026557535459609404,ev1_status,E
time_cos,0.016089951689851476,ev1_status,E
steps_in_current_state,0.01860280052659441,ev1_status,E
phase_id,0.06706865984196538,ev1_status,E
status_lag_1,0.10468591757836622,ev1_status,E
status_lag_1_is_pad,2.835279093931219e-07,ev1_status,E
status_lag_2,0.12318788552241322,ev1_status,E
status_lag_2_is_pad,5.59014589931084e-07,ev1_status,E
status_lag_4,0.059721114384041644,ev1_status,E
status_lag_4_is_pad,5.726599346606275e-07,ev1_status,E
status_lag_8,0.0026841660276644623,ev1_status,E
status_lag_8_is_pad,1.947123369858002e-05,ev1_status,E
start1_earliest,0.0,ev1_status,E
end1_latest,0.0,ev1_status,E
start2_earliest,0.0,ev1_status,E
end2_latest,0.0,ev1_status,E
max_commute_steps_1,0.0,ev1_status,E
max_commute_steps_2,0.0,ev1_status,E
steps_to_start1_earliest,0.03139083039117724,ev1_status,E
steps_to_end1_latest,0.025602328306104063,ev1_status,E
steps_to_start2_earliest,0.02698534672332238,ev1_status,E
steps_to_end2_latest,0.021265581502149872,ev1_status,E
start1,0.031167325751651372,ev1_status,E
end1,0.014149502000692808,ev1_status,E
start2,0.034511616500448095,ev1_status,E
end2,0.015300552782314857,ev1_status,E
start1_observed,0.040320290859606145,ev1_status,E
end1_observed,0.011428514413491193,ev1_status,E
start2_observed,0.027464781348069914,ev1_status,E
end2_observed,0.015248076468436685,ev1_status,E
observed_window_length_1,0.008869532388942825,ev1_status,E
observed_window_length_2,0.016610523164074707,ev1_status,E
window_length_slack_1,0.00582227876986948,ev1_status,E
window_length_slack_2,0.018521348010932734,ev1_status,E
timestep,0.023005058070561996,ev2_status,A
status,0.22370671390485883,ev2_status,A
time_sin,0.002842805146319972,ev2_status,A
time_cos,0.015008359284450025,ev2_status,A
steps_in_current_state,0.01804189349161859,ev2_status,A
phase_id,0.07103344147473632,ev2_status,A
status_lag_1,0.1039247848445534,ev2_status,A
status_lag_1_is_pad,3.341248980866931e-07,ev2_status,A
status_lag_2,0.12409880331384893,ev2_status,A
status_lag_2_is_pad,5.94368902174402e-07,ev2_status,A
status_lag_4,0.059502189881720374,ev2_status,A
status_lag_4_is_pad,6.523730664887242e-07,ev2_status,A
status_lag_8,0.003853147590371126,ev2_status,A
status_lag_8_is_pad,2.286265580577367e-05,ev2_status,A
start1_earliest,0.0,ev2_status,A
end1_latest,0.0,ev2_status,A
start2_earliest,0.0,ev2_status,A
end2_latest,0.0,ev2_status,A
max_commute_steps_1,0.0,ev2_status,A
max_commute_steps_2,0.0,ev2_status,A
steps_to_start1_earliest,0.025955491435274,ev2_status,A
steps_to_end1_latest,0.027421880929782694,ev2_status,A
steps_to_start2_earliest,0.026568707470321997,ev2_status,A
steps_to_end2_latest,0.025130932728166952,ev2_status,A
start1,0.031973139810164114,ev2_status,A
end1,0.012116365358574063,ev2_status,A
start2,0.0355307903330568,ev2_status,A
end2,0.01738455559326119,ev2_status,A
start1_observed,0.0407666728111701,ev2_status,A
end1_observed,0.013034674586238741,ev2_status,A
start2_observed,0.04389926655879121,ev2_status,A
end2_observed,0.012911081158922165,ev2_status,A
observed_window_length_1,0.008069523401346333,ev2_status,A
observed_window_length_2,0.014639964947441091,ev2_status,A
window_length_slack_1,0.007250788233983843,ev2_status,A
window_length_slack_2,0.012304524117792624,ev2_status,A
timestep,0.02843886157575011,ev2_status,B
status,0.23575445464445494,ev2_status,B
time_sin,0.0026471899827777163,ev2_status,B
time_cos,0.015878968131360003,ev2_status,B
steps_in_current_state,0.019167226390233716,ev2_status,B
phase_id,0.06223910614322127,ev2_status,B
status_lag_1,0.09699205554795977,ev2_status,B
status_lag_1_is_pad,3.184917632176222e-07,ev2_status,B
status_lag_2,0.1246734053292613,ev2_status,B
status_lag_2_is_pad,6.528742191411144e-07,ev2_status,B
status_lag_4,0.060088494456809194,ev2_status,B
status_lag_4_is_pad,5.675680934655256e-07,ev2_status,B
status_lag_8,0.0024212968966693944,ev2_status,B
status_lag_8_is_pad,1.8349743602960162e-05,ev2_status,B
start1_earliest,0.0,ev2_status,B
end1_latest,0.0,ev2_status,B
start2_earliest,0.0,ev2_status,B
end2_latest,0.0,ev2_status,B
max_commute_steps_1,0.0,ev2_status,B
max_commute_steps_2,0.0,ev2_status,B
steps_to_start1_earliest,0.024639771589217842,ev2_status,B
steps_to_end1_latest,0.031123160366839223,ev2_status,B
steps_to_start2_earliest,0.025818517695374483,ev2_status,B
steps_to_end2_latest,0.02532544772029015,ev2_status,B
start1,0.03144956800425651,ev2_status,B
end1,0.013389758922049546,ev2_status,B
start2,0.035717336602555355,ev2_status,B
end2,0.01373906678520091,ev2_status,B
start1_observed,0.03999601513160737,ev2_status,B
end1_observed,0.013262779829353406,ev2_status,B
start2_observed,0.039014391592382326,ev2_status,B
end2_observed,0.013279326197440754,ev2_status,B
observed_window_length_1,0.008570416863883353,ev2_status,B
