target,alpha,mean_score,fold_A,fold_B,fold_C,fold_D,fold_E
base_load,0.01,0.4536017230269137,0.4592802287117916,0.4093682627731668,0.4278833060811618,0.7090466020637465,0.26243021550470164
base_load,0.1,0.4535704482363334,0.4592505671018039,0.4093591453653638,0.4278195230105287,0.7089668498116191,0.26245615589235166
base_load,1.0,0.453352904421537,0.4590164978224409,0.40923963082653586,0.427458996223011,0.7083247839911001,0.2627246132445969
base_load,10.0,0.4525295757788716,0.4579932238795648,0.4073563390487979,0.42732345161528057,0.706264905076044,0.26370995927467067
base_load,100.0,0.4516124447264021,0.45853782576191826,0.4015424732813963,0.4294605881744816,0.7035085972624797,0.2650127391517347
pv_gen,0.01,0.1631156960731622,0.16336027949465642,0.07874541545671021,0.12260228156895706,0.2877548077723251,
pv_gen,0.1,0.1630021831756267,0.16342627905039,0.07823644721656671,0.12233631048591494,0.2880096959496351,
pv_gen,1.0,0.16322704158022572,0.16389996577726013,0.07845749994469077,0.12261010455162964,0.2879405960473223,
pv_gen,10.0,0.16303339323872446,0.16472074183655266,0.07844305085943583,0.12285050525953105,0.2861192749993782,
pv_gen,100.0,0.16194152569682524,0.16514660765425226,0.07796119736021707,0.12225710570324252,0.2824011920695892,
ev1_status,0.01,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663
ev1_status,0.1,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663
ev1_status,1.0,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663
ev1_status,10.0,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663
ev1_status,100.0,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663
ev2_status,0.01,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663
ev2_status,0.1,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663
ev2_status,1.0,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663
ev2_status,10.0,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663
ev2_status,100.0,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.04166666666666663
