params,score
"{""max_depth"": 15, ""max_features"": 0.4, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.29
"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.28403
"{""max_depth"": 15, ""max_features"": 0.2, ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.28612
"{""max_depth"": 15, ""max_features"": 0.3, ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.28782
"{""max_depth"": 15, ""max_features"": 0.4, ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.28587
"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.28449
"{""max_depth"": 15, ""max_features"": 0.2, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.28419
"{""max_depth"": 15, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.2887
"{""max_depth"": 15, ""max_features"": 0.4, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.2868
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.28522
"{""max_depth"": 20, ""max_features"": 0.2, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.28639
"{""max_depth"": 20, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.29067
"{""max_depth"": 20, ""max_features"": 0.4, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.29257
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.28561
"{""max_depth"": 20, ""max_features"": 0.2, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.28546
"{""max_depth"": 20, ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.28892
"{""max_depth"": 20, ""max_features"": 0.4, ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.29029
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.28449
"{""max_depth"": 20, ""max_features"": 0.2, ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.28135
"{""max_depth"": 20, ""max_features"": 0.3, ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.28532
"{""max_depth"": 20, ""max_features"": 0.4, ""min_samples_leaf"": 4, ""n_estimators"": 200}",0.28702
"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.28628
"{""max_depth"": 20, ""max_features"": 0.2, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.28554
"{""max_depth"": 20, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.285
"{""max_depth"": 20, ""max_features"": 0.4, ""min_samples_leaf"": 5, ""n_estimators"": 200}",0.28731
