params,score
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 300}",0.33544
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300}",0.32154
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300}",0.31826
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 300}",0.32944
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 300}",0.33029
"{""learning_rate"": 0.8, ""max_depth"": 5, ""n_estimators"": 300}",0.35129
"{""learning_rate"": 1.0, ""max_depth"": 5, ""n_estimators"": 300}",0.37736
"{""learning_rate"": 1.5, ""max_depth"": 5, ""n_estimators"": 300}",0.49948
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 300}",0.33503
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 300}",0.33088
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300}",0.33012
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 300}",0.33656
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 300}",0.34243
"{""learning_rate"": 0.8, ""max_depth"": 7, ""n_estimators"": 300}",0.34825
"{""learning_rate"": 1.0, ""max_depth"": 7, ""n_estimators"": 300}",0.38498
"{""learning_rate"": 1.5, ""max_depth"": 7, ""n_estimators"": 300}",0.47694
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 300}",0.33746
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 300}",0.33154
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 300}",0.33376
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 300}",0.33314
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 300}",0.32881
"{""learning_rate"": 0.8, ""max_depth"": 9, ""n_estimators"": 300}",0.37666
"{""learning_rate"": 1.0, ""max_depth"": 9, ""n_estimators"": 300}",0.39437
"{""learning_rate"": 1.5, ""max_depth"": 9, ""n_estimators"": 300}",0.50488
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 400}",0.30596
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 400}",0.31455
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400}",0.31687
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 400}",0.32095
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 400}",0.33365
"{""learning_rate"": 0.8, ""max_depth"": 3, ""n_estimators"": 400}",0.34627
"{""learning_rate"": 1.0, ""max_depth"": 3, ""n_estimators"": 400}",0.33552
"{""learning_rate"": 1.5, ""max_depth"": 3, ""n_estimators"": 400}",0.44609
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 400}",0.32679
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 400}",0.32062
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 400}",0.31825
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 400}",0.32935
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 400}",0.33027
"{""learning_rate"": 0.8, ""max_depth"": 5, ""n_estimators"": 400}",0.35129
"{""learning_rate"": 1.0, ""max_depth"": 5, ""n_estimators"": 400}",0.37736
"{""learning_rate"": 1.5, ""max_depth"": 5, ""n_estimators"": 400}",0.49948
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 400}",0.32865
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 400}",0.33073
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 400}",0.3301
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 400}",0.33654
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 400}",0.34243
"{""learning_rate"": 0.8, ""max_depth"": 7, ""n_estimators"": 400}",0.34825
"{""learning_rate"": 1.0, ""max_depth"": 7, ""n_estimators"": 400}",0.38498
"{""learning_rate"": 1.5, ""max_depth"": 7, ""n_estimators"": 400}",0.47694
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 400}",0.33133
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 400}",0.33154
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 400}",0.33376
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 400}",0.33314
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 400}",0.32881
"{""learning_rate"": 0.8, ""max_depth"": 9, ""n_estimators"": 400}",0.37666
"{""learning_rate"": 1.0, ""max_depth"": 9, ""n_estimators"": 400}",0.39437
"{""learning_rate"": 1.5, ""max_depth"": 9, ""n_estimators"": 400}",0.50488
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 500}",0.3072
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500}",0.31578
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500}",0.31677
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 500}",0.32142
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 500}",0.33385
