target,feature,mean_abs_coef,std_abs_coef,min_abs_coef,max_abs_coef,nonzero_fold_count
base_load,base_load,0.21827411027645552,0.01813822567491647,0.1876852102889772,0.234555279874602,5
base_load,base_load_ma_2,0.18211960636340058,0.015512540076195224,0.15623685134653123,0.19510532638276548,5
base_load,base_load_delta_1,0.1665915320591217,0.0141217042974509,0.1426403662522361,0.1801131538854119,5
base_load,base_load_lag_1,0.12103032803639564,0.01304775059596068,0.09955140324945212,0.1317153781077408,5
base_load,base_load_ma_4,0.08759356200702222,0.019628494123979778,0.0659044360765176,0.1169954301589639,5
base_load,base_load_lag_2,0.0813452650556984,0.008117567579645974,0.07180373599722073,0.09048201626574122,5
base_load,base_load_accel,0.06922922348271057,0.002450338297551557,0.06518868668803711,0.07176602376597689,5
base_load,base_load_delta_2,0.06725243142111773,0.013736115524473954,0.04461840361835757,0.0783530104481505,5
base_load,base_load_lag_8,0.05496521945632667,0.024994804660032,0.01141011223805893,0.07393224547013022,5
base_load,base_load_ma_16,0.049339389946818406,0.019117479928927022,0.023132544979679606,0.07658321494332325,5
base_load,time_cos,0.03478994511650004,0.005347416743744435,0.028996331107788095,0.041306195958176355,5
base_load,base_load_lag_4_is_pad,0.03287960876640207,0.009136603271499349,0.019779634147403892,0.04101307180912267,5
base_load,time_sin,0.03280160179035676,0.007098549720686504,0.025379545194643825,0.0421519113209048,5
base_load,base_load_ma_8,0.03244316219488841,0.020150453942714006,0.01243704924666569,0.06610711976457907,5
base_load,base_load_std_4,0.022660730261704433,0.015672913748943095,0.0001975031230387461,0.04398865285573896,5
base_load,timestep,0.021363447442932743,0.008255331908011575,0.011523591793001147,0.03405343647709795,5
base_load,base_load_std_8,0.017856574083488307,0.013506468784566001,0.0042575456646999086,0.03448837723335428,5
base_load,base_load_lag_1_is_pad,0.014494217671521325,0.005197179401598027,0.006791367394723959,0.021008509286409745,5
base_load,base_load_lag_4,0.01390340760676306,0.006987336224754346,0.00778368364144091,0.025286312041603205,5
base_load,base_load_lag_8_is_pad,0.01138954393473099,0.003200446531385822,0.007033767591347876,0.014868295315080264,5
base_load,n_evs_at_home,0.010368106089791912,0.005839385077446626,0.0015468229002261118,0.01644062066861491,5
base_load,base_load_lag_2_is_pad,0.008205481197840639,0.0045792489261233926,0.003508178355010487,0.013240576001084164,5
base_load,base_load_lag_12_is_pad,0.007520801613234198,0.004978352925433225,0.0035210960994536606,0.01475391790365917,5
base_load,base_load_lag_12,0.005698310088944132,0.009185232274804637,6.618272909641432e-05,0.02150916067365394,5
