target,feature,mean_abs_coef,std_abs_coef,min_abs_coef,max_abs_coef,nonzero_fold_count
ev1_status,timestep,5.548354040284885,0.050277154875256976,5.488172694618011,5.60805681505024,5
ev1_status,steps_to_start1_earliest,5.103717057829231,0.021206740189183025,5.068558141545915,5.1255826430911755,5
ev1_status,steps_to_end2_latest,2.7233718137048823,0.010072257230279895,2.7075666566101773,2.734497509560734,5
ev1_status,steps_to_start2_earliest,2.6827192201371,0.02510740302122024,2.6556118778395064,2.7194789948124742,5
ev1_status,steps_to_end1_latest,1.2348606328815048,0.005430179755154995,1.2294980128931208,1.2413355643843613,5
ev1_status,start2_observed,0.7593557628563115,0.0050336413564864456,0.7542583705506059,0.7670311793473471,5
ev1_status,start2,0.5466950368780668,0.005729520669648478,0.540449639797022,0.5551604142779284,5
ev1_status,end2,0.5048604588406617,0.005852629279443277,0.4993588033390864,0.5136659209875228,5
ev1_status,start1_observed,0.48201252192953936,0.0008378639473190746,0.4812935086876693,0.4834071524809515,5
ev1_status,observed_window_length_2,0.38094756481247105,0.002803855155618883,0.3784184562108594,0.38533323059296704,5
ev1_status,end2_observed,0.3385400834501375,0.0023728648113085656,0.33644278838645514,0.3423182453581508,5
ev1_status,status,0.300262946470867,0.00031695716751988515,0.29985399157250586,0.3006072481652852,5
ev1_status,window_length_slack_2,0.2338179892249157,0.0013852286478081024,0.2325161939379333,0.23566607124761219,5
ev1_status,end1_observed,0.22891643438767745,0.0009926018879332,0.22744250580055883,0.23012414947637794,5
ev1_status,observed_window_length_1,0.21775827115980478,0.0009715386720460874,0.21644349944550123,0.21910339144253352,5
ev1_status,phase_id,0.1830871233744504,0.0009948313667021635,0.1820048839914086,0.18472025363487823,5
ev1_status,window_length_slack_1,0.15143254629025707,0.0006870070296505558,0.15038441874582295,0.15206813842284636,5
ev1_status,time_sin,0.12075006111364228,0.00045102374491743687,0.12000240250327494,0.12112255106506771,5
ev1_status,end1,0.10032274901718778,0.000467485492835676,0.09958959417454823,0.10085098302505192,5
ev1_status,start1,0.09471016375343305,0.0006426183299307396,0.09393856284386166,0.09553929299014124,5
ev1_status,status_lag_1,0.08890126940272594,0.0006259768408426324,0.0881640995224391,0.08974817207508297,5
ev1_status,status_lag_2,0.0787470255725502,0.0009685949467040072,0.07762117201908003,0.08020798410390344,5
ev1_status,time_cos,0.0781049357829742,0.0003309643087069932,0.0775627822781414,0.07840494902315283,5
ev1_status,status_lag_4,0.05543154708433902,0.00044830688073714824,0.05475851339341838,0.05599246119446818,5
ev1_status,status_lag_8,0.029467960086821433,0.00036394986152678597,0.028970112476523674,0.029907626548187807,5
ev1_status,status_lag_8_is_pad,0.02305737227676114,8.432605938322698e-05,0.022909918186551387,0.023109013208883422,5
ev1_status,steps_in_current_state,0.021400625710666577,0.00013497693264971956,0.021277824718319998,0.021610579194424957,5
ev1_status,status_lag_4_is_pad,0.018293164090390023,8.061121690573243e-05,0.018155887628967467,0.018354221706596296,5
ev1_status,status_lag_2_is_pad,0.00918299515639968,0.0002718846227549177,0.008824423704669045,0.009452163109745795,5
ev1_status,status_lag_1_is_pad,0.008355502092210646,6.892853606688029e-05,0.008276344102532305,0.00844539988488451,5
ev1_status,end1_latest,0.0,0.0,0.0,0.0,0
ev1_status,start1_earliest,0.0,0.0,0.0,0.0,0
ev1_status,max_commute_steps_2,0.0,0.0,0.0,0.0,0
ev1_status,start2_earliest,0.0,0.0,0.0,0.0,0
ev1_status,end2_latest,0.0,0.0,0.0,0.0,0
ev1_status,max_commute_steps_1,0.0,0.0,0.0,0.0,0
