n_train_days,rmse
1,1.055933958711534
2,0.9301160275771431
3,0.8730733676221163
4,0.8724245942299383
5,0.8639614073565814
6,0.8384764816064506
7,0.8104104531996646
8,0.7702368038725216
9,0.7722458911490411
10,0.7630973057428049
11,0.754298789389993
12,0.7562252760581618
13,0.7540997731898819
14,0.7381213171994775
15,0.7390126859288477
16,0.7373133856833491
17,0.7503611130771122
18,0.74735025215586
19,0.7603740912698633
20,0.7598252928853377
21,0.7569445202892728
22,0.762382439912322
23,0.7411067977414779
24,0.741028966947669
25,0.728237179360459
26,0.7308626810510062
27,0.7274668517046746
28,0.7224939204374957
29,0.7207592988425718
30,0.7235296827214596
31,0.7228228418526813
32,0.7352103548232066
33,0.735601756896328
34,0.7482712619294626
35,0.7348463710744951
36,0.7350599612804871
37,0.7324122252810495
38,0.7292902266665546
39,0.7335311388019362
40,0.7316984431053556
41,0.7341461609716116
42,0.7316299067985994
43,0.7304035482820889
44,0.7369329718131149
45,0.7324348431912333
46,0.7263216015048485
47,0.7272525982279691
48,0.7282344782542092
49,0.7293490886520475
50,0.7315203987308718
51,0.7342633232193397
52,0.7354606560264041
53,0.7320260904434721
54,0.7295877326112057
55,0.7088145023417769
56,0.711316550184665
57,0.7128195562093579
58,0.7134614272036246
59,0.7123144352548536
60,0.7127252124057906
61,0.7200355343495497
62,0.7149997897595486
63,0.7151565126734432
64,0.7166724146926517
65,0.7168999580124776
66,0.7149478701010255
67,0.719717672723726
68,0.7185534148890123
69,0.7193100792230872
70,0.7188535284406534
71,0.7179202711889079
72,0.7211794876814038
73,0.7179646215125052
74,0.7157435315989334
75,0.7145558009468477
76,0.7140928046210092
77,0.7128983500414723
78,0.7172970843553729
79,0.7158269245876936
80,0.7156730492680488
81,0.6920097357159775
82,0.6956179579506477
83,0.6965647832800759
84,0.6956662254727517
85,0.6935013452824277
86,0.6920218319566698
87,0.6918066511978493
88,0.6914452851395682
89,0.6943244091790985
90,0.6954830615331085
91,0.6911744566931285
92,0.6893790322752621
93,0.690626661252246
94,0.6902048268396059
95,0.6888311820138031
96,0.6907240227706167
97,0.6908388062473969
98,0.6909271100337073
99,0.6947755600566945
100,0.6962886464409511
101,0.6959681562667863
102,0.6928507439657141
103,0.6965714707746924
104,0.6963429005163037
105,0.6950794812271316
106,0.6946874356192346
107,0.6947216274431627
108,0.6923299552625611
109,0.6921649673858984
110,0.6920435080807421
111,0.6918806788398261
112,0.6944772571063741
113,0.6939472431158997
114,0.6936442198008903
115,0.6925420536865249
116,0.6928708516193941
117,0.6942936483139971
118,0.6945332714107929
119,0.694798280966293
120,0.6933406539064144
