n_train_days,rmse,train_seed
1,1.0451276526988653,0
2,0.8548036943659476,0
3,0.8241976955940533,0
4,0.770765297088333,0
5,0.8021272463800365,0
6,0.757183409416853,0
7,0.7473114571718011,0
8,0.7403750398272007,0
9,0.7389755177844133,0
10,0.7617365187861427,0
11,0.7779795346163344,0
12,0.7736528393594341,0
13,0.7746849021119931,0
14,0.7624859157032492,0
15,0.7589277460193802,0
16,0.7603863374024805,0
17,0.7591719154134678,0
18,0.7587102613002166,0
19,0.7536011641055863,0
20,0.7620575456778949,0
21,0.760120803553437,0
22,0.7551013382563002,0
23,0.7539601536063713,0
24,0.7508467649288713,0
25,0.7510660273669355,0
26,0.7508309045277285,0
27,0.7468135032781099,0
28,0.7447037358802817,0
29,0.74509908929663,0
30,0.7455320671113291,0
31,0.7469598053247142,0
32,0.740620578590027,0
33,0.7438155946908814,0
34,0.7449454690848717,0
35,0.7447219242408993,0
36,0.7434811698587419,0
37,0.7416341585668512,0
38,0.7504292765899027,0
39,0.7504409435889741,0
40,0.7501577240254014,0
41,0.7452377465481892,0
42,0.7448615559350659,0
43,0.742585969516446,0
44,0.7427274195415762,0
45,0.7423683234008183,0
46,0.7448919714615414,0
47,0.7438093610338794,0
48,0.7444601228023874,0
49,0.7075232811247613,0
50,0.7104966317759251,0
51,0.7162352085232777,0
52,0.7127212399682213,0
53,0.7146203975189039,0
54,0.71200204867101,0
55,0.7099601428249992,0
56,0.7106168549555172,0
57,0.7086064680875404,0
58,0.7095486133755605,0
59,0.7124708335718899,0
60,0.707850388412629,0
61,0.7052544868349828,0
62,0.7079589271196203,0
63,0.7097981765737877,0
64,0.7063301271006461,0
65,0.7051321870652012,0
66,0.7054230616934316,0
67,0.7117953672666809,0
68,0.7067770942878966,0
69,0.7081497504476026,0
70,0.7002901143401912,0
71,0.7011294632047368,0
72,0.7007710255769467,0
73,0.7032052786642371,0
74,0.7051986043577583,0
75,0.7032705568128463,0
76,0.7042861888835316,0
77,0.6991736075781584,0
78,0.6978129702331856,0
79,0.6976604351275036,0
80,0.6964760323322107,0
81,0.6975327541475699,0
82,0.6969129438999422,0
83,0.6996077692874229,0
84,0.6991302634515997,0
85,0.6997947718395694,0
86,0.6998315219671284,0
87,0.6975662272733991,0
88,0.7005258807568385,0
89,0.6997304227554505,0
90,0.7003832234004154,0
91,0.7015137580092163,0
92,0.7020224420882385,0
93,0.7037972194525934,0
94,0.7043658727071679,0
95,0.7045866942884936,0
96,0.7052015799162595,0
97,0.7082208474283853,0
98,0.7069377916642711,0
99,0.7090479945374252,0
100,0.7097269331595819,0
101,0.709470984354534,0
102,0.706450051184986,0
103,0.7051780631293693,0
104,0.7050975642955534,0
105,0.7052226386807879,0
106,0.704268435935224,0
107,0.7022121997251649,0
108,0.7021277163027602,0
109,0.7080489207142078,0
110,0.7108126097256572,0
111,0.7078178345670065,0
112,0.7090511406558991,0
113,0.7066561180019273,0
114,0.7085736049669797,0
115,0.7067127403515577,0
116,0.7068943058720695,0
117,0.7014601285466991,0
118,0.7027529175343891,0
119,0.7015525366097154,0
120,0.7013062230559864,0
1,1.0606295393090304,1
2,1.0074948735965685,1
3,1.0056118001414085,1
4,0.9577087127247144,1
5,0.9601788579438818,1
6,0.9007953481433285,1
7,0.8444853790234202,1
8,0.8544904826596731,1
9,0.8234411061433946,1
10,0.8375542462738741,1
11,0.8376094250098508,1
12,0.8243624525992732,1
13,0.8416490937081047,1
14,0.832323210659391,1
