generation,best_rmse,avg_rmse,worst_rmse
1,0.5509037791896553,0.6266230952111544,0.6890635856158898
2,0.5509037791896553,0.6146030820285965,0.7294018799910635
3,0.5509037791896553,0.6110136167413854,0.6820789860816385
4,0.5509037791896553,0.6063830149920053,0.6789420402171281
5,0.5509037791896553,0.6054969288007531,0.6905190116271405
6,0.5509037791896553,0.6034852467337686,0.6851559937667997
7,0.5509037791896553,0.6031495833055912,0.6671617490028721
8,0.5509037791896553,0.604169777654163,0.6791242259782841
9,0.5444792836755039,0.6001578807204889,0.7518920259139277
10,0.5444792836755039,0.597652205096223,0.6695255425291178
11,0.5444792836755039,0.5950571200095658,0.6618749858235011
12,0.5444792836755039,0.5928479358681568,0.6617186222903452
13,0.5444792836755039,0.5966698366124363,0.6637121558275401
14,0.5444792836755039,0.594789760157396,0.7119369588983481
15,0.5444792836755039,0.5926704079547701,0.6726920138285174
16,0.5444792836755039,0.5897207771838207,0.6837609691774674
17,0.5444792836755039,0.5907264842438684,0.6658804104941143
18,0.5444792836755039,0.5876362475241028,0.6848509121767635
19,0.5444792836755039,0.5901511336606009,0.682995678465696
20,0.5406717106459727,0.5859284789866757,0.6866169539008447
21,0.5406717106459727,0.5926204508017808,0.687885707067419
22,0.5406717106459727,0.5882941428578045,0.6721706349853973
23,0.5406717106459727,0.5847498683756688,0.669822953843301
24,0.5406717106459727,0.5860532066251029,0.6928703715511514
25,0.5406717106459727,0.5872549790421192,0.6683550465804404
26,0.5406717106459727,0.5837335293348276,0.6721504564655532
27,0.5406717106459727,0.582716850868989,0.6799116739476411
28,0.5406717106459727,0.5833888089514038,0.670637500158992
29,0.5406717106459727,0.5851705974459503,0.6689485727616249
30,0.5406717106459727,0.5873728400097947,0.6806192856708253
31,0.5406717106459727,0.5795402944756175,0.6729908688288286
32,0.5406717106459727,0.5866271138861598,0.6789714703736569
33,0.5406717106459727,0.5813126764471069,0.6630387772072206
34,0.5406717106459727,0.5855804766122922,0.689288290082828
35,0.5406717106459727,0.5859725617706114,0.6872812087910823
36,0.5406717106459727,0.5808248506050133,0.6664113376671782
37,0.5406717106459727,0.5854536391131002,0.67427843501045
38,0.5406717106459727,0.5852092303854115,0.6711838193613683
39,0.5406717106459727,0.5825464773162055,0.6704535244322305
40,0.5406717106459727,0.5813912988536056,0.6727925659071426
41,0.5406717106459727,0.5846703305981782,0.6814688256158938
42,0.5406717106459727,0.5831852249923025,0.6742818263444393
