generation,best_rmse,avg_rmse,worst_rmse
1,0.5509037791896553,0.6266230952111544,0.6890635856158898
2,0.5509037791896553,0.611804372984587,0.6754843474467328
3,0.5505576323998504,0.6047030748281981,0.6868937890202598
4,0.5505576323998504,0.6001437241844898,0.668345871612894
5,0.5505576323998504,0.5965589063786253,0.6542195070032384
6,0.5411400874332856,0.5952406002297258,0.6750139843128138
7,0.5411400874332856,0.5927088559016437,0.6861441859423149
8,0.5409424231020552,0.5941344636369889,0.6840188925779598
9,0.5409424231020552,0.5950329281659289,0.6706696559159987
10,0.5409424231020552,0.6022144029385551,0.7133738564391737
11,0.5409424231020552,0.5952382281809039,0.685418036000008
12,0.5409424231020552,0.5969548262307323,0.6697846669323699
13,0.5409424231020552,0.5995488965922002,0.6892187022488271
14,0.5402898291461025,0.5918628281239174,0.6826937230594352
15,0.5402898291461025,0.600484810154162,0.721168055783274
16,0.5335904104010722,0.5915326011652858,0.6687805064305498
17,0.5335904104010722,0.5959046874611841,0.6782715972880616
18,0.5335904104010722,0.5997609190276216,0.6783998605400916
19,0.5335904104010722,0.6015501083443221,0.6842099182874827
20,0.5335904104010722,0.6005809627807711,0.6991109219941392
21,0.5335904104010722,0.5934140641961048,0.7795761421241488
22,0.5335904104010722,0.5883000812997827,0.668880344926216
23,0.5335904104010722,0.5954392230772434,0.690774034769583
24,0.5335904104010722,0.5983051506840724,0.6906187205813371
25,0.5335904104010722,0.5935355181409697,0.6965596688644504
26,0.5335904104010722,0.593629226652384,0.6926067318915206
27,0.5335904104010722,0.590598637120221,0.6726298787651052
28,0.5335904104010722,0.5957579755081355,0.6743772710564042
29,0.5335904104010722,0.5981490362292043,0.6872465164887674
30,0.5335904104010722,0.593968731629736,0.6798941659161343
31,0.5335904104010722,0.5905421653852475,0.6837463301063654
32,0.5335904104010722,0.595741577879488,0.6664109283125167
33,0.5335904104010722,0.5915135484724166,0.676995101696452
34,0.5333730764397348,0.597512787779807,0.6757861597050417
35,0.532241299398396,0.5947710338504807,0.6793118481877166
36,0.532241299398396,0.5918132846928666,0.6761048859881321
37,0.532241299398396,0.5944788246076246,0.6881057242744045
38,0.532241299398396,0.5925004546465874,0.6745862489012615
39,0.532241299398396,0.5929762334502413,0.666776909457932
40,0.5320708387347437,0.5906418464332942,0.6915994142790794
41,0.5320708387347437,0.5938714664215149,0.6709049527314624
42,0.5292927961485955,0.5906895878171144,0.6943155050902154
