generation,best_rmse,avg_rmse,worst_rmse
1,0.5784281913418776,0.626434905410196,0.6878805366331794
2,0.5784281913418776,0.6068098899041542,0.6609099550041577
3,0.5784281913418776,0.6000412041380212,0.6710104401326785
4,0.5784281913418776,0.5994270163860211,0.674809806086091
5,0.576138956837804,0.5964633652761497,0.6764751311688009
6,0.576138956837804,0.5991065560196135,0.6757243538621794
7,0.576138956837804,0.5954501277226445,0.6715620462216791
8,0.576138956837804,0.5994945548689522,0.6695392975588476
9,0.576138956837804,0.5977117095583305,0.659800141643379
10,0.576138956837804,0.6000474496128032,0.677098812053924
11,0.576138956837804,0.5969975461462279,0.6671598471236773
12,0.5758111465351837,0.594356083917517,0.6720869886805957
13,0.5729050205719456,0.59744179370212,0.6808439538951192
14,0.5729050205719456,0.596588121465386,0.6899653796998917
15,0.5729050205719456,0.5967510524118699,0.6698351837886508
16,0.57192695830854,0.5938584830416114,0.6767125576702021
17,0.5715970127981305,0.5967943214590716,0.6855993916069734
18,0.5715970127981305,0.5903750471464843,0.6804751789393346
19,0.5715970127981305,0.5919651495961912,0.6670975239276506
20,0.5715970127981305,0.5936037292597774,0.6751816741327936
21,0.5715970127981305,0.5906788703256622,0.657091909760342
22,0.5715970127981305,0.5928477484283013,0.6786803230616232
23,0.5715970127981305,0.5924742984085899,0.6667371832072504
24,0.5715970127981305,0.5922557971542287,0.6596497661363981
25,0.5715970127981305,0.5911385568395636,0.679975761521201
