family,target,fold_id,household_id,timestep,ev_key,y_true,y_pred
rf,base_load,fold_1,1,88,,0.89557493,1.510341804599405
rf,base_load,fold_1,1,89,,0.400056274,0.9646015316563691
rf,base_load,fold_1,1,90,,0.318741022,0.4120238359087879
rf,base_load,fold_1,1,91,,0.273962276,0.40486106967321434
rf,base_load,fold_1,1,92,,0.296228631,0.44860595957101185
rf,base_load,fold_1,1,93,,0.32144743,0.5457218213010713
rf,base_load,fold_1,1,94,,0.24591405,0.48282251869545634
rf,base_load,fold_1,1,95,,1.001124832,0.31763289316731963
rf,base_load,fold_1,1,96,,0.0,0.4527176731259722
rf,base_load,fold_1,2,1,,0.326013467,0.31642907696005956
rf,base_load,fold_1,2,2,,0.280118367,0.2803748772914484
rf,base_load,fold_1,2,3,,0.280118367,0.26738694553143316
rf,base_load,fold_1,2,4,,0.283283546,0.24415931000903318
rf,base_load,fold_1,2,5,,0.283283546,0.27048379260049604
rf,base_load,fold_1,2,6,,0.349752312,0.24587498261708335
rf,base_load,fold_1,2,7,,0.349752312,0.34100576455555554
rf,base_load,fold_1,2,8,,0.229475499,0.3055153172229564
rf,base_load,fold_1,2,9,,0.229475499,0.2462155418960335
rf,base_load,fold_1,2,10,,0.197823706,0.3353010419389286
rf,base_load,fold_1,2,11,,0.197823706,0.1994786322856547
rf,base_load,fold_1,2,12,,0.238971036,0.25064135534517856
rf,base_load,fold_1,2,13,,0.238971036,0.22704157847987555
rf,base_load,fold_1,2,14,,0.18041522,0.26491069387630956
rf,base_load,fold_1,2,15,,0.18041522,0.18862966358267858
rf,base_load,fold_1,2,16,,0.159841554,0.25479857549333335
rf,base_load,fold_1,2,17,,0.159841554,0.2183181369656945
rf,base_load,fold_1,2,18,,0.197823706,0.3034326440054365
rf,base_load,fold_1,2,19,,0.197823706,0.22581115711001978
rf,base_load,fold_1,2,20,,0.337091594,0.30816631579603176
rf,base_load,fold_1,2,21,,0.337091594,0.3332292238947601
rf,base_load,fold_1,2,22,,0.257962112,0.2937498554003373
