params,scenario,score
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.81103
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}",default_scenario,12.22032
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.81318
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",default_scenario,12.20663
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",00_baseline,3.80492
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.23047
"{""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.81634
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.23118
"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.81493
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.22805
"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.81276
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.22559
"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.81211
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300}",default_scenario,12.22241
"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300}",00_baseline,3.81262
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 300}",default_scenario,12.20135
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 300}",00_baseline,3.79425
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 300}",default_scenario,12.22424
"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 300}",00_baseline,3.81042
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",default_scenario,12.22091
"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",00_baseline,3.80976
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",default_scenario,12.21914
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",00_baseline,3.81401
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",default_scenario,12.2234
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",00_baseline,3.81442
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 300}",default_scenario,12.2171
"{""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 300}",00_baseline,3.80962
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 300}",default_scenario,12.21775
"{""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 300}",00_baseline,3.81011
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300}",default_scenario,12.21908
"{""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300}",00_baseline,3.81297
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300}",default_scenario,12.21656
"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300}",00_baseline,3.81195
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300}",default_scenario,12.19537
"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300}",00_baseline,3.79686
