0_meter_id;0_installation_type;0_object_type;0_object_id;0_object_id_manual;0_num_housing_units;0_num_data_points;0_max_net_injection;1_ewh;1_hp;1_hp-add;1_hp-wh;1_ev;1_storage_heating;1_direct_heating;1_change;2_energy_tariff;2_grid_tariff;2_tariff_from;2_tariff_to;2_wh_control;2_hp_control;2_ev_control
186327;Common areas;Apartment building;205457.0;False;8.0;70112;;False;False;False;False;False;False;False;False;;;;;False;False;False
144450;Common areas;Apartment building;205963.0;False;8.0;70129;;False;False;False;False;False;False;False;False;;;;;False;False;False
183000;Heat pump;Apartment building;205963.0;False;8.0;70135;;True;True;True;False;False;False;False;False;;;;;False;False;False
157285;Single-family house;Single-family house;206093.0;False;;70127;;True;False;False;False;False;False;False;False;;;;;False;False;False
109883;Heat pump;Single-family house;206093.0;False;1.0;70127;;False;True;False;False;False;False;False;False;;;;;False;False;False
114646;Common areas;Apartment building;206113.0;False;5.0;70004;;False;False;False;False;False;False;False;False;;;;;False;False;False
146742;Common areas;Apartment building;206310.0;False;0.0;70071;;False;False;False;False;False;False;False;False;;;;;False;False;False
147323;Common areas;Apartment building;206310.0;False;0.0;70063;;False;False;False;False;False;False;False;False;;;;;False;False;False
106605;Underground garage;Apartment building;206310.0;False;0.0;70063;;False;False;False;False;False;False;False;False;;;;;False;False;False
106905;Common areas;Apartment building;206334.0;False;5.0;70073;;False;False;False;False;False;False;False;False;;;;;False;False;False
127080;Heat pump;Apartment building;206334.0;False;5.0;70073;;False;True;False;False;False;False;False;False;;;;;False;False;False
135460;Underground garage;Apartment building;206334.0;False;5.0;70073;;False;False;False;False;False;False;False;False;UNIT_CN;DYN;2023-10-01;2025-01-01;False;False;False
116175;Common areas;Apartment building;206489.0;False;0.0;70065;;False;False;False;False;False;False;False;False;;;;;False;False;False
140962;Common areas;Apartment building;206489.0;False;0.0;70070;;False;False;False;False;False;False;False;False;;;;;False;False;False
143381;Common areas;Apartment building;206489.0;False;0.0;70069;;False;False;False;False;False;False;False;False;;;;;False;False;False
117119;Underground garage;Apartment building;206489.0;False;0.0;70068;;False;False;False;False;False;False;False;False;;;;;False;False;False
196104;Underground garage;Apartment building;206489.0;False;0.0;70073;;False;False;False;False;False;False;False;False;;;;;False;False;False
173673;Common areas;Apartment building;206672.0;False;4.0;70140;;False;False;False;False;False;False;False;False;;;;;False;False;False
148804;Common areas;Apartment building;206871.0;False;4.0;70163;;False;False;False;False;False;False;False;False;;;;;False;False;False
165199;Single-family house;Single-family house;206942.0;False;;70080;;True;True;False;False;False;False;False;False;;;;;False;False;False
170215;Single-family house;Single-family house;206985.0;False;;70150;9.528;True;False;False;False;False;True;False;False;UNIT_CN;TOU;2023-10-01;2024-10-01;False;False;False
161324;Common areas;Apartment building;207036.0;False;6.0;70141;;False;False;False;False;False;False;False;False;;;;;False;False;False
163198;Heat pump;Apartment building;207036.0;False;6.0;70141;;True;True;True;False;False;False;False;False;;;;;False;False;False
161879;Common areas;Apartment building;207117.0;False;4.0;70137;;False;False;False;False;False;False;False;False;;;;;False;False;False
146624;Single-family house;Single-family house;207149.0;False;;70176;;False;False;False;False;False;False;False;False;UNIT_CN;DYN;2023-10-01;2025-01-01;False;False;False
137250;Common areas;Apartment building;207189.0;False;11.0;70110;;False;False;False;False;False;False;False;False;;;;;False;False;False
167540;Heating system;Apartment building;207189.0;False;11.0;70119;;False;False;False;False;False;False;False;False;;;;;False;False;False
127474;Common areas;Apartment building;207252.0;False;9.0;70170;;True;False;False;False;False;False;False;False;;;;;False;False;False
195650;Common areas;Apartment building;207508.0;False;7.0;70137;;False;False;False;False;False;False;False;False;;;;;False;False;False
187422;Single-family house;Single-family house;207656.0;False;;70025;;False;False;False;False;False;False;False;False;;;;;False;False;False
194302;Single-family house;Single-family house;207949.0;False;;70156;;True;False;False;False;False;False;False;False;;;;;False;False;False
102538;Common areas;Apartment building;207961.0;False;5.0;57130;;False;False;False;False;False;False;False;False;;;;;False;False;False
181305;Common areas;Apartment building;207972.0;False;6.0;70141;;False;False;False;False;False;False;False;False;;;;;False;False;False
163163;Single-family house;Single-family house;208198.0;False;;70080;;True;False;False;False;False;True;False;False;UNIT_LOW;DYN;2023-10-01;2025-01-01;True;True;False
147441;Single-family house;Single-family house;208222.0;False;;70176;;True;True;False;False;False;False;False;False;UNIT_LOW;UNIT;2023-10-01;2025-01-01;True;True;False
198974;Single-family house;Single-family house;208345.0;False;;21176;;True;False;False;False;False;True;False;False;UNIT_LOW;DYN;2023-10-01;2025-01-01;False;False;False
181690;Common areas;Apartment building;208369.0;False;6.0;70134;;False;False;False;False;False;False;False;False;;;;;False;False;False
195641;Common areas;Apartment building;208369.0;False;6.0;70122;;False;False;False;False;False;False;False;False;;;;;False;False;False
129311;Heat pump;Apartment building;208369.0;False;6.0;70114;;False;False;False;False;False;False;False;False;;;;;False;False;False
155026;Common areas;Apartment building;208382.0;True;7.0;70110;;False;False;False;False;False;False;False;False;UNIT_CN;TOU;2023-10-01;2024-10-01;False;False;False
179913;Single-family house;Single-family house;208490.0;False;;70137;;False;True;False;False;True;False;False;False;;;;;False;False;False
153376;Single-family house;Single-family house;209306.0;False;;70163;;True;False;False;False;False;False;False;False;;;;;False;False;False
143399;Single-family house;Single-family house;209928.0;False;;70049;;False;True;True;False;False;False;False;False;;;;;False;False;False
175088;Common areas;Apartment building;210034.0;False;4.0;61600;;False;False;False;False;False;False;False;False;;;;;False;False;False
171048;Common areas;Single-family house;210126.0;False;2.0;70139;;False;False;False;False;False;False;False;False;;;;;False;False;False
174421;Heat pump;Single-family house;210126.0;False;2.0;70166;;False;True;False;False;False;False;False;False;;;;;False;False;False
176249;Single-family house;Single-family house;210158.0;False;;35100;9.592;False;False;False;False;False;False;False;False;UNIT_CN;TOU;2023-10-01;2024-10-01;False;False;False
193601;Heat pump;Single-family house;210158.0;False;1.0;70133;;False;True;False;False;False;False;False;False;UNIT_CN;TOU;2023-10-01;2024-10-01;False;False;False
111896;Single-family house;Single-family house;210243.0;False;;70080;13.292;True;True;False;False;False;False;False;False;UNIT_LOW;DYN;2023-10-01;2025-01-01;True;True;False
106298;Single-family house;Single-family house;210264.0;False;;70146;;False;False;False;False;False;False;False;False;;;;;False;False;False
112377;Single-family house;Single-family house;210752.0;False;;70080;;False;False;False;False;False;False;False;False;UNIT_CN;UNIT;2023-10-01;2025-01-01;False;False;False
168770;Single-family house;Single-family house;210831.0;False;;70147;;True;True;False;False;True;False;False;False;UNIT_CN;DYN;2023-10-01;2024-10-01;False;False;False
108543;Single-family house;Single-family house;210840.0;False;;70170;13.7;True;False;False;False;False;False;False;False;UNIT_CN;TOU;2023-10-01;2024-10-01;False;False;False
175170;Single-family house;Single-family house;211051.0;False;;70155;;True;True;True;False;False;False;False;False;;;;;False;False;False
162680;Single-family house;Single-family house;211060.0;False;;35035;;False;False;False;False;False;False;False;False;;;;;False;False;False
108517;Single-family house;Single-family house;211654.0;False;;70147;;False;False;False;False;False;False;False;False;;;;;False;False;False
159791;Common areas;Apartment building;211803.0;False;6.0;70145;;False;False;False;False;False;False;False;False;;;;;False;False;False
138839;Heating system;Apartment building;211803.0;False;6.0;70142;;False;True;False;False;False;False;False;False;;;;;False;False;False
120521;Single-family house;Single-family house;212066.0;False;;35040;;False;True;False;False;False;False;False;False;UNIT_CN;DYN;2023-10-01;2024-10-01;False;False;False
148550;Common areas;Apartment building;212133.0;False;9.0;70121;;False;False;False;False;False;False;False;False;;;;;False;False;False
144713;Heating system;Apartment building;212133.0;False;9.0;70123;;False;False;False;False;False;False;False;False;;;;;False;False;False
189528;Single-family house;Single-family house;212326.0;False;;70141;;False;False;False;False;True;False;False;False;UNIT_LOW;UNIT;2023-10-01;2025-01-01;False;False;False
115937;Single-family house;Single-family house;212361.0;False;;70080;;False;False;False;False;False;False;False;False;UNIT_CN;DYN;2023-10-01;2025-01-01;False;False;False
166467;Single-family house;Single-family house;212751.0;False;;70080;;True;True;False;False;False;False;False;False;UNIT_LOW;DYN;2023-10-01;2025-01-01;True;True;False
109730;Single-family house;Single-family house;212837.0;False;;70080;9.684;True;True;False;False;False;False;False;False;UNIT_LOW;DYN;2023-10-01;2025-01-01;True;True;False
133529;Single-family house;Single-family house;213078.0;False;;21692;;True;False;False;False;False;True;False;False;;;;;False;False;False
147011;Common areas;Apartment building;213331.0;False;12.0;70169;;False;False;False;False;False;False;False;False;;;;;False;False;False
141614;Heat pump;Apartment building;213331.0;False;12.0;70170;;True;True;False;False;False;False;False;False;;;;;False;False;False
124632;Single-family house;Single-family house;213507.0;False;;70170;;True;False;False;False;False;False;False;False;;;;;False;False;False
120749;Single-family house;Single-family house;213586.0;False;;70176;;True;True;False;False;False;False;False;False;UNIT_LOW;UNIT;2023-10-01;2025-01-01;False;False;False
188702;Single-family house;Single-family house;213844.0;False;;70151;;True;False;False;False;False;False;False;False;;;;;False;False;False
141044;Single-family house;Single-family house;213955.0;False;;70002;7.876;True;True;False;False;True;False;False;False;UNIT_CN;DYN;2023-10-01;2024-10-01;False;False;False
166786;Underground garage;Apartment building;213958.0;False;0.0;64157;;False;False;False;False;False;False;False;False;;;;;False;False;False
169211;Common areas;Apartment building;214120.0;False;6.0;70141;;False;False;False;False;False;False;False;False;;;;;False;False;False
105017;Heat pump;Apartment building;214120.0;False;6.0;70139;;True;True;True;False;False;False;False;False;;;;;False;False;False
112238;Single-family house;Single-family house;214155.0;False;;70170;;True;False;False;False;False;True;False;False;UNIT_LOW;DYN;2023-10-01;2025-01-01;False;False;True
110279;Underground garage;Underground garage;214467.0;False;0.0;70139;;False;False;False;False;False;False;False;False;;;;;False;False;False
184583;Underground garage;Underground garage;214467.0;False;0.0;70139;;False;False;False;False;False;False;False;False;;;;;False;False;False
199520;Single-family house;Single-family house;214523.0;False;;70170;;True;False;False;False;False;True;False;False;;;;;False;False;False
190390;Single-family house;Single-family house;214627.0;False;;70147;;True;False;False;False;False;False;False;False;;;;;False;False;False
147766;Single-family house;Single-family house;214859.0;False;;70135;;True;True;False;False;False;False;False;False;UNIT_CN;DYN;2023-10-01;2024-10-01;False;False;False
152265;Single-family house;Single-family house;215301.0;False;;70080;;True;False;False;False;False;True;False;False;UNIT_LOW;TOU;2023-10-01;2025-01-01;True;True;False
146693;Common areas;Apartment building;215441.0;False;5.0;70127;;False;False;False;False;False;False;False;False;;;;;False;False;False
140361;Heating system;Apartment building;215441.0;False;5.0;70138;;False;False;False;False;False;False;False;False;;;;;False;False;False
141698;Single-family house;Single-family house;215892.0;False;;70170;;True;True;True;False;False;False;False;False;;;;;False;False;False
160549;Single-family house;Single-family house;216016.0;False;;70148;;True;True;False;False;False;False;False;False;;;;;False;False;False
172510;Single-family house;Single-family house;216097.0;False;;70004;;False;False;False;False;False;False;False;False;;;;;False;False;False
185952;Single-family house;Single-family house;216127.0;False;;70073;;True;False;False;False;False;False;False;False;;;;;False;False;False
127723;Single-family house;Single-family house;216147.0;False;;70148;;True;True;False;False;False;False;False;False;UNIT_CN;DYN;2023-10-01;2024-10-01;False;False;False
152307;Common areas;Apartment building;216153.0;False;5.0;70141;;False;False;False;False;False;False;False;False;;;;;False;False;False
151740;Single-family house;Single-family house;216158.0;False;;70163;6.496;False;False;False;False;False;False;False;False;;;;;False;False;False
140577;Heat pump;Single-family house;216399.0;False;2.0;70080;;False;True;False;False;False;False;False;False;UNIT_LOW;DYN;2023-10-01;2025-01-01;False;True;False
167443;Single-family house;Single-family house;216412.0;False;;70176;;True;False;False;False;False;True;False;False;UNIT_LOW;TOU;2023-10-01;2025-01-01;True;False;False
159957;Common areas;Apartment building;216501.0;False;4.0;70172;;True;False;False;False;False;False;False;False;;;;;False;False;False
181989;Single-family house;Single-family house;216604.0;False;;70137;;False;True;False;False;False;False;False;False;;;;;False;False;False
180034;Common areas;Apartment building;216808.0;False;5.0;70164;;False;False;False;False;False;False;False;False;;;;;False;False;False
162018;Heat pump;Apartment building;216808.0;False;5.0;70167;;False;False;False;False;False;False;False;False;;;;;False;False;False
198511;EV charging station;Apartment building;216808.0;False;5.0;69580;;False;False;False;False;False;False;False;False;;;;;False;False;False
105624;Common areas;Apartment building;216823.0;False;5.0;66579;;False;False;False;False;False;False;False;False;;;;;False;False;False
147966;Common areas;Underground garage;216941.0;False;0.0;70159;;False;False;False;False;False;False;False;False;;;;;False;False;False
149942;Common areas;Apartment building;217126.0;False;4.0;70161;;False;False;False;False;False;False;False;False;;;;;False;False;False
160426;Heat pump;Apartment building;217126.0;False;4.0;70159;;True;True;False;False;False;False;False;False;;;;;False;False;False
118399;Heat pump;Apartment building;217179.0;True;13.0;70163;;True;False;True;False;False;False;False;False;;;;;False;False;False
170707;Common areas;Apartment building;217255.0;False;5.0;70122;;False;False;False;False;False;False;False;False;;;;;False;False;False
133830;Common areas;Apartment building;217553.0;False;4.0;64166;;False;False;False;False;False;False;False;False;;;;;False;False;False
121141;Heating system;Apartment building;217553.0;False;4.0;64165;;False;False;False;False;False;False;False;False;;;;;False;False;False
113119;Single-family house;Single-family house;217653.0;False;;35040;;True;False;False;False;False;True;True;False;;;;;False;False;False
194822;Single-family house;Single-family house;217889.0;False;;70139;;True;False;False;False;False;True;False;False;;;;;False;False;False
163595;Single-family house;Single-family house;217962.0;False;;70016;;False;False;False;False;False;False;False;False;;;;;False;False;False
148048;Common areas;Apartment building;218017.0;False;6.0;70115;;False;False;False;False;False;False;False;False;;;;;False;False;False
195967;Single-family house;Single-family house;218056.0;False;;70148;11.324;False;False;False;False;True;False;False;False;UNIT_CN;DYN;2023-10-01;2024-10-01;False;False;False
102894;Single-family house;Single-family house;218585.0;False;;70135;;True;False;False;False;False;False;False;False;UNIT_CN;TOU;2023-10-01;2024-10-01;False;False;False
194754;Heat pump;Single-family house;218585.0;False;1.0;70134;;False;True;False;False;False;False;False;False;UNIT_CN;TOU;2023-10-01;2024-10-01;False;False;False
198037;EV charging station;Apartment building;218728.0;False;0.0;70006;;False;False;False;False;True;False;False;False;;;;;False;False;False
118894;Underground garage;Apartment building;218728.0;False;0.0;70042;;False;False;False;False;False;False;False;False;;;;;False;False;False
150011;Single-family house;Single-family house;218882.0;False;;70138;;True;False;False;False;False;False;False;False;UNIT_CN;TOU;2023-10-01;2024-10-01;False;False;False
131176;Single-family house;Single-family house;219048.0;False;;35130;6.736;True;True;True;False;False;False;False;False;UNIT_LOW;DYN;2023-10-01;2025-01-01;False;False;True
144931;Single-family house;Single-family house;219063.0;False;;70125;;True;False;False;False;False;False;False;False;;;;;False;False;False
172225;Single-family house;Single-family house;219066.0;False;;35040;;False;False;False;False;True;False;False;False;;;;;False;False;False
176643;Underground garage;Underground garage;219076.0;False;0.0;70102;;False;False;False;False;False;False;False;False;;;;;False;False;False
152807;Single-family house;Single-family house;219102.0;False;;70170;;True;False;False;False;False;False;False;False;;;;;False;False;False
145653;Common areas;Apartment building;219224.0;False;6.0;60472;;False;False;False;False;False;False;False;False;;;;;False;False;False
168050;Single-family house;Single-family house;219391.0;False;;70145;;True;False;False;False;False;False;False;False;;;;;False;False;False
199027;Single-family house;Single-family house;219403.0;False;;35040;;True;True;False;False;False;False;False;False;;;;;False;False;False
189358;Single-family house;Single-family house;219479.0;False;;70150;;True;True;False;False;False;False;False;False;UNIT_LOW;UNIT;2023-10-01;2025-01-01;False;False;False
179481;Single-family house;Single-family house;219598.0;False;;35106;13.06;True;False;False;False;False;False;False;False;;;;;False;False;False
164344;EV charging station;Underground garage;219620.0;False;0.0;70170;;False;False;False;False;True;False;False;False;;;;;False;False;False
178046;Underground garage;Underground garage;219620.0;False;0.0;70052;;False;False;False;False;False;False;False;False;;;;;False;False;False
186180;Underground garage;Underground garage;219620.0;False;0.0;64352;;False;False;False;False;False;False;False;False;;;;;False;False;False
198650;Single-family house;Single-family house;219626.0;False;;70080;6.424;False;False;False;False;False;False;False;False;UNIT_CN;DYN;2023-10-01;2025-01-01;False;False;False
