target,params,score_next_value,score_sim_total_cost
base_load,"{""alpha"": 0.01}",0.9733438448011477,12.421278767995904
base_load,"{""alpha"": 0.1}",0.9731441657450218,12.420267830891978
base_load,"{""alpha"": 1.0}",0.9714934303952164,12.413712260973291
base_load,"{""alpha"": 10.0}",0.964355265077928,12.422288183251393
base_load,"{""alpha"": 100.0}",0.966652860079006,12.439976416676584
pv_gen,"{""alpha"": 0.01}",0.48782328717163936,10.478321901385424
pv_gen,"{""alpha"": 0.1}",0.4885283873281869,10.481240745951563
pv_gen,"{""alpha"": 1.0}",0.4865831752782461,10.48195536709505
pv_gen,"{""alpha"": 10.0}",0.4754813939911251,10.485558012687731
pv_gen,"{""alpha"": 100.0}",0.4459276908442634,10.515494415201873
ev1_status,"{""alpha"": 0.01}",0.04166666666666663,14.62385874091185
ev1_status,"{""alpha"": 0.1}",0.04166666666666663,14.303125059575185
ev1_status,"{""alpha"": 1.0}",0.04166666666666663,14.558685082598405
ev1_status,"{""alpha"": 10.0}",0.04166666666666663,14.558685082598405
ev1_status,"{""alpha"": 100.0}",0.04166666666666663,14.291129358350013
ev2_status,"{""alpha"": 0.01}",0.04166666666666663,13.632088351153989
ev2_status,"{""alpha"": 0.1}",0.04166666666666663,13.620953335489713
ev2_status,"{""alpha"": 1.0}",0.04166666666666663,13.621686567666591
ev2_status,"{""alpha"": 10.0}",0.04166666666666663,13.621686567666591
ev2_status,"{""alpha"": 100.0}",0.04166666666666663,13.6216865676665911
