target,params,score_next_value,score_sim_total_cost
base_load,"{""alpha"": 0.01}",0.688006024844213,12.676686095651766
base_load,"{""alpha"": 0.1}",0.6880080920159378,12.676682358782475
base_load,"{""alpha"": 1.0}",0.6880280149503681,12.676435788826307
base_load,"{""alpha"": 10.0}",0.688157730300035,12.675620289653803
base_load,"{""alpha"": 100.0}",0.6868976228528536,12.671891203642547
pv_gen,"{""alpha"": 0.01}",0.38004923561041576,12.284973731013922
pv_gen,"{""alpha"": 0.1}",0.3805071938164029,12.294079071806527
pv_gen,"{""alpha"": 1.0}",0.37998217750332636,12.304562413858742
pv_gen,"{""alpha"": 10.0}",0.37518041331515306,12.306789284597125
pv_gen,"{""alpha"": 100.0}",0.37312721441886526,12.308572527153812
ev1_status,"{""alpha"": 0.01}",0.04166666666666663,13.277417247767056
ev1_status,"{""alpha"": 0.1}",0.04166666666666663,13.277417247767056
ev1_status,"{""alpha"": 1.0}",0.04166666666666663,13.277417247767056
ev1_status,"{""alpha"": 10.0}",0.04166666666666663,13.269490054077547
ev1_status,"{""alpha"": 100.0}",0.04166666666666663,13.26688406967956
ev2_status,"{""alpha"": 0.01}",0.04166666666666663,13.890245105074287
ev2_status,"{""alpha"": 0.1}",0.04166666666666663,13.890245105074287
ev2_status,"{""alpha"": 1.0}",0.04166666666666663,13.890245105074287
ev2_status,"{""alpha"": 10.0}",0.04166666666666663,13.89468468275617
ev2_status,"{""alpha"": 100.0}",0.04166666666666663,13.89361036617482
