target,params,score_next_value,score_sim_total_cost
base_load,"{""alpha"": 0.01}",0.35549545527524223,9.08441239699488
base_load,"{""alpha"": 0.1}",0.3554711950004419,9.085106115712135
base_load,"{""alpha"": 1.0}",0.3558873238100008,9.086373631010831
base_load,"{""alpha"": 10.0}",0.3565626084653595,9.091092687710876
base_load,"{""alpha"": 100.0}",0.3683963658957729,9.134885667867016
pv_gen,"{""alpha"": 0.01}",0.7514663767173387,14.941929541078443
pv_gen,"{""alpha"": 0.1}",0.7510784101570629,14.942170737742938
pv_gen,"{""alpha"": 1.0}",0.7457652554253217,14.94216278979283
pv_gen,"{""alpha"": 10.0}",0.7196577519495226,14.942516620780909
pv_gen,"{""alpha"": 100.0}",0.7475540704134594,14.942516619913803
ev1_status,"{""alpha"": 0.01}",0.04166666666666663,14.099069055213862
ev1_status,"{""alpha"": 0.1}",0.04166666666666663,14.288267897966684
ev1_status,"{""alpha"": 1.0}",0.04166666666666663,14.28570892549098
ev1_status,"{""alpha"": 10.0}",0.04166666666666663,14.28570892549098
ev1_status,"{""alpha"": 100.0}",0.05729166666666663,14.987296346779674
ev2_status,"{""alpha"": 0.01}",0.04166666666666663,12.648935476126274
ev2_status,"{""alpha"": 0.1}",0.04166666666666663,12.648935476126274
ev2_status,"{""alpha"": 1.0}",0.04166666666666663,12.648935476126274
ev2_status,"{""alpha"": 10.0}",0.04166666666666663,12.648935476126274
ev2_status,"{""alpha"": 100.0}",0.0625,12.006158795606925
