candidate_set,rmse,net_cost
102016_2023-07-20;104481_2024-01-19;104481_2024-10-02;106298_2023-02-01;106298_2023-02-04;106298_2023-02-25;106298_2023-06-14;106298_2023-08-01;107448_2023-09-20;107448_2024-10-09;108517_2024-05-21;108517_2024-07-01;108795_2024-05-15;110260_2024-02-01;112377_2023-10-18;113377_2024-08-17;116320_2023-01-28;120517_2023-03-07;125463_2023-06-17;125463_2023-11-25;125463_2024-01-22;125463_2024-03-27;127225_2024-06-02;127524_2023-02-12;127524_2024-01-15;127524_2024-03-16;127524_2024-12-28;128843_2023-04-05;129071_2023-05-02;129071_2024-04-09;129071_2024-07-19;130253_2023-02-09;130253_2024-03-23;132967_2023-11-12;132967_2024-02-20;132967_2024-08-12;132967_2024-11-28;132967_2024-11-29;133165_2024-03-01;133165_2024-08-21;133165_2024-11-27;136407_2023-05-07;138414_2023-01-16;139410_2023-06-21;142975_2024-06-07;142999_2023-05-01;144492_2023-09-22;146624_2023-01-11;147049_2024-04-11;151683_2024-05-09;151683_2024-05-25;151740_2024-04-21;151740_2024-12-21;152601_2023-02-14;152601_2024-11-18;155209_2023-01-10;155209_2023-04-23;155209_2023-07-18;157904_2024-12-15;160216_2024-02-23;160216_2024-06-28;160216_2024-09-21;160431_2023-03-01;161573_2023-04-07;161573_2024-07-23;161573_2024-07-29;163329_2024-09-29;163817_2023-03-14;163817_2024-06-23;165786_2023-02-10;166084_2023-08-04;166084_2023-09-25;167494_2023-07-05;168165_2023-02-15;168165_2024-06-18;169310_2024-07-01;169310_2024-10-03;171530_2023-06-06;171530_2024-06-13;172510_2024-12-24,0.6187,10.81268
100354_2024-12-28;100707_2023-01-01;106298_2023-02-04;106298_2023-04-26;106298_2023-05-06;106298_2024-11-17;106793_2023-03-14;106793_2024-12-22;107448_2024-07-03;108517_2023-05-01;108517_2023-11-05;108517_2024-04-07;108517_2024-05-27;110260_2023-12-25;113377_2023-08-03;115937_2024-07-11;116320_2024-12-29;118984_2023-04-25;120517_2023-11-28;121500_2023-10-10;121500_2024-02-24;121555_2024-03-09;121555_2024-08-25;123129_2023-10-10;123129_2024-08-26;125463_2023-06-17;125463_2024-03-27;127225_2023-05-30;127225_2024-06-02;127225_2024-11-10;127524_2023-07-08;127524_2024-03-16;129071_2024-07-19;130253_2023-02-09;130253_2024-09-21;132256_2023-12-01;132967_2023-09-22;132967_2024-02-20;132967_2024-08-07;133165_2024-02-02;133996_2024-11-02;140211_2023-11-11;142975_2023-10-18;142975_2024-12-10;144492_2023-05-06;144492_2023-06-20;147049_2024-12-20;147147_2023-10-10;147147_2023-11-10;151683_2024-05-25;152601_2023-01-18;152601_2023-02-14;155209_2023-07-18;155209_2024-11-11;155209_2024-11-15;160216_2023-03-29;160216_2023-04-09;160216_2024-06-07;160431_2023-03-01;161573_2023-04-21;161573_2024-07-23;161573_2024-08-06;163817_2024-02-14;164897_2023-12-12;166084_2024-01-13;166084_2024-09-20;167494_2023-07-05;167494_2024-02-26;168165_2023-08-25;168165_2024-06-24;169310_2023-06-02;169310_2023-10-10;169310_2024-03-17;170013_2023-02-25;172262_2024-01-06;172510_2023-03-10;172510_2024-01-06;174968_2023-02-25;174968_2023-10-28;174968_2024-04-14,0.67643,10.81247
100354_2023-07-21;100707_2023-01-01;100707_2024-04-01;100707_2024-04-14;102016_2023-07-18;102016_2024-03-08;105366_2023-01-03;106298_2023-08-01;106298_2024-08-18;106793_2023-03-14;106793_2024-12-22;107448_2024-01-07;107448_2024-07-03;108517_2023-07-12;108517_2024-05-27;108795_2024-06-13;110260_2024-02-01;112377_2023-01-26;113377_2023-07-01;113377_2024-01-08;113377_2024-08-13;113377_2024-08-24;116320_2023-11-03;118984_2024-06-15;120517_2024-07-01;121500_2023-10-10;121500_2024-01-25;121500_2024-07-24;121555_2024-08-25;125463_2023-06-18;125463_2023-11-30;127524_2023-07-08;127524_2024-01-23;127524_2024-04-05;128843_2024-06-27;129071_2024-01-30;129071_2024-12-19;132967_2023-11-03;133165_2024-03-19;133996_2023-06-12;133996_2024-11-14;140211_2023-11-11;142975_2024-09-28;142999_2024-03-13;146624_2023-03-20;147147_2024-01-18;152601_2024-08-27;157904_2024-05-25;160216_2024-02-23;160216_2024-06-28;160216_2024-09-21;160431_2023-03-27;160431_2024-10-28;161573_2023-04-07;161573_2023-04-21;163817_2024-04-11;164897_2023-01-29;164897_2024-08-06;164897_2024-10-30;165786_2023-10-08;165786_2024-09-04;166084_2023-01-05;166084_2023-08-10;166084_2024-09-20;166084_2024-10-08;166206_2023-01-05;166206_2024-09-14;167494_2023-07-05;167494_2024-01-23;167494_2024-06-30;169310_2023-06-02;169310_2023-12-13;169310_2024-07-01;170013_2023-06-07;170013_2023-10-01;170013_2023-11-17;172262_2023-02-12;172510_2024-01-21;172510_2024-02-12;172510_2024-12-24,0.6666,10.81281
100354_2024-04-27;100707_2023-01-01;102016_2024-11-04;104481_2023-08-15;104481_2024-07-30;106793_2023-03-14;106793_2023-06-04;106793_2023-10-28;106793_2024-09-15;107448_2023-02-24;108517_2023-05-01;108517_2024-04-07;108517_2024-05-21;108795_2023-12-14;110260_2023-06-23;110260_2024-12-09;112377_2024-05-22;113377_2024-06-13;115937_2024-06-30;115937_2024-07-11;116320_2023-03-16;116320_2024-12-14;116320_2024-12-29;118984_2023-04-25;120517_2023-04-01;121500_2023-05-20;121555_2024-03-09;123129_2023-03-09;123129_2024-08-26;125463_2024-07-05;127225_2023-03-14;127524_2024-06-25;128843_2023-04-13;128843_2024-05-06;129071_2024-08-11;130253_2023-05-03;130253_2024-03-23;132967_2023-02-02;132967_2023-11-03;133165_2024-08-03;133996_2023-10-02;136407_2023-10-01;136407_2024-08-01;139410_2023-03-21;140211_2023-11-11;140211_2024-02-16;142975_2023-04-09;142975_2023-08-21;142999_2023-06-08;142999_2024-06-11;144492_2023-07-21;146624_2023-03-10;152601_2024-12-21;155209_2023-01-10;155209_2023-05-10;157904_2023-03-28;157904_2024-05-25;160431_2023-03-27;160431_2024-10-28;161573_2024-11-23;163595_2023-08-18;163595_2024-05-08;163817_2024-01-26;163817_2024-05-09;164897_2024-07-09;165786_2023-02-16;165786_2024-06-04;166084_2023-01-05;167494_2024-01-23;167494_2024-03-08;167494_2024-06-22;167494_2024-06-30;168165_2024-05-28;170013_2023-02-25;171530_2024-09-18;172262_2023-06-20;172262_2023-11-11;172510_2024-01-06;172510_2024-09-26;174968_2023-10-16,0.72791,10.82296
