candidate_set,rmse,rmse_20_loads,net_cost,horizon_pooled_avg,horizon_bucket_avg,timestep_pooled_avg,timestep_bucket_avg,horizon_bucket_1_avg,horizon_bucket_2_avg,horizon_bucket_3_avg,horizon_bucket_4_avg,horizon_bucket_5_avg,horizon_bucket_6_avg,horizon_bucket_7_avg,horizon_bucket_8_avg,horizon_bucket_9_avg,horizon_bucket_10_avg,horizon_bucket_12_avg,horizon_bucket_14_avg,horizon_bucket_16_avg,horizon_bucket_18_avg,horizon_bucket_20_avg,horizon_bucket_25_avg,horizon_bucket_32_avg,horizon_bucket_38_avg,horizon_bucket_42_avg,horizon_bucket_50_avg,horizon_bucket_58_avg,horizon_bucket_64_avg,horizon_bucket_72_avg,horizon_bucket_88_avg,horizon_bucket_96_avg,timestep_bucket_1_avg,timestep_bucket_2_avg,timestep_bucket_3_avg,timestep_bucket_4_avg,timestep_bucket_5_avg,timestep_bucket_6_avg,timestep_bucket_7_avg,timestep_bucket_8_avg,timestep_bucket_9_avg,timestep_bucket_10_avg,timestep_bucket_12_avg,timestep_bucket_14_avg,timestep_bucket_16_avg,timestep_bucket_18_avg,timestep_bucket_20_avg,timestep_bucket_25_avg,timestep_bucket_32_avg,timestep_bucket_38_avg,timestep_bucket_42_avg,timestep_bucket_50_avg,timestep_bucket_58_avg,timestep_bucket_64_avg,timestep_bucket_72_avg,timestep_bucket_88_avg,timestep_bucket_96_avg
102016_2023-07-20;104481_2024-01-19;104481_2024-10-02;106298_2023-02-01;106298_2023-02-04;106298_2023-02-25;106298_2023-06-14;106298_2023-08-01;107448_2023-09-20;107448_2024-10-09;108517_2024-05-21;108517_2024-07-01;108795_2024-05-15;110260_2024-02-01;112377_2023-10-18;113377_2024-08-17;116320_2023-01-28;120517_2023-03-07;125463_2023-06-17;125463_2023-11-25;125463_2024-01-22;125463_2024-03-27;127225_2024-06-02;127524_2023-02-12;127524_2024-01-15;127524_2024-03-16;127524_2024-12-28;128843_2023-04-05;129071_2023-05-02;129071_2024-04-09;129071_2024-07-19;130253_2023-02-09;130253_2024-03-23;132967_2023-11-12;132967_2024-02-20;132967_2024-08-12;132967_2024-11-28;132967_2024-11-29;133165_2024-03-01;133165_2024-08-21;133165_2024-11-27;136407_2023-05-07;138414_2023-01-16;139410_2023-06-21;142975_2024-06-07;142999_2023-05-01;144492_2023-09-22;146624_2023-01-11;147049_2024-04-11;151683_2024-05-09;151683_2024-05-25;151740_2024-04-21;151740_2024-12-21;152601_2023-02-14;152601_2024-11-18;155209_2023-01-10;155209_2023-04-23;155209_2023-07-18;157904_2024-12-15;160216_2024-02-23;160216_2024-06-28;160216_2024-09-21;160431_2023-03-01;161573_2023-04-07;161573_2024-07-23;161573_2024-07-29;163329_2024-09-29;163817_2023-03-14;163817_2024-06-23;165786_2023-02-10;166084_2023-08-04;166084_2023-09-25;167494_2023-07-05;168165_2023-02-15;168165_2024-06-18;169310_2024-07-01;169310_2024-10-03;171530_2023-06-06;171530_2024-06-13;172510_2024-12-24,0.6187,0.50882,10.81268,0.97752,1.03254,0.97752,0.91844,0.0,0.50247,0.63127,0.68519,0.73125,0.75783,0.77985,0.79972,0.81266,0.82609,0.856,0.88287,0.90171,0.93836,0.96771,0.99037,1.01354,1.04656,1.05362,1.08573,1.12222,1.12465,1.20063,1.2317,0.89834,0.94882,0.95409,0.95537,0.95603,1.01124,1.00457,1.00828,1.00973,0.95097,0.95411,0.95838,1.02112,0.96475,0.96851,0.97654,1.00035,1.01413,0.95996,0.96358,0.95145,0.94764,0.98643,0.97594,0.74794,0.0
100354_2024-12-28;100707_2023-01-01;106298_2023-02-04;106298_2023-04-26;106298_2023-05-06;106298_2024-11-17;106793_2023-03-14;106793_2024-12-22;107448_2024-07-03;108517_2023-05-01;108517_2023-11-05;108517_2024-04-07;108517_2024-05-27;110260_2023-12-25;113377_2023-08-03;115937_2024-07-11;116320_2024-12-29;118984_2023-04-25;120517_2023-11-28;121500_2023-10-10;121500_2024-02-24;121555_2024-03-09;121555_2024-08-25;123129_2023-10-10;123129_2024-08-26;125463_2023-06-17;125463_2024-03-27;127225_2023-05-30;127225_2024-06-02;127225_2024-11-10;127524_2023-07-08;127524_2024-03-16;129071_2024-07-19;130253_2023-02-09;130253_2024-09-21;132256_2023-12-01;132967_2023-09-22;132967_2024-02-20;132967_2024-08-07;133165_2024-02-02;133996_2024-11-02;140211_2023-11-11;142975_2023-10-18;142975_2024-12-10;144492_2023-05-06;144492_2023-06-20;147049_2024-12-20;147147_2023-10-10;147147_2023-11-10;151683_2024-05-25;152601_2023-01-18;152601_2023-02-14;155209_2023-07-18;155209_2024-11-11;155209_2024-11-15;160216_2023-03-29;160216_2023-04-09;160216_2024-06-07;160431_2023-03-01;161573_2023-04-21;161573_2024-07-23;161573_2024-08-06;163817_2024-02-14;164897_2023-12-12;166084_2024-01-13;166084_2024-09-20;167494_2023-07-05;167494_2024-02-26;168165_2023-08-25;168165_2024-06-24;169310_2023-06-02;169310_2023-10-10;169310_2024-03-17;170013_2023-02-25;172262_2024-01-06;172510_2023-03-10;172510_2024-01-06;174968_2023-02-25;174968_2023-10-28;174968_2024-04-14,0.67643,0.5087,10.81247,0.96541,1.02261,0.96541,0.90551,0.0,0.4961,0.63078,0.67883,0.71203,0.72978,0.74544,0.76376,0.77999,0.79484,0.8326,0.87358,0.90718,0.93347,0.94737,0.97472,1.00462,1.0312,1.04592,1.07142,1.1035,1.11891,1.20315,1.22548,0.86994,0.93194,0.9331,0.93404,0.94449,0.96845,0.96024,0.96542,0.96863,0.94159,0.9456,0.95108,0.98005,0.95361,0.96481,0.97658,1.00382,0.96552,0.98714,0.96877,0.98583,0.94991,0.99175,0.92355,0.71712,0.0
100354_2023-07-21;100707_2023-01-01;100707_2024-04-01;100707_2024-04-14;102016_2023-07-18;102016_2024-03-08;105366_2023-01-03;106298_2023-08-01;106298_2024-08-18;106793_2023-03-14;106793_2024-12-22;107448_2024-01-07;107448_2024-07-03;108517_2023-07-12;108517_2024-05-27;108795_2024-06-13;110260_2024-02-01;112377_2023-01-26;113377_2023-07-01;113377_2024-01-08;113377_2024-08-13;113377_2024-08-24;116320_2023-11-03;118984_2024-06-15;120517_2024-07-01;121500_2023-10-10;121500_2024-01-25;121500_2024-07-24;121555_2024-08-25;125463_2023-06-18;125463_2023-11-30;127524_2023-07-08;127524_2024-01-23;127524_2024-04-05;128843_2024-06-27;129071_2024-01-30;129071_2024-12-19;132967_2023-11-03;133165_2024-03-19;133996_2023-06-12;133996_2024-11-14;140211_2023-11-11;142975_2024-09-28;142999_2024-03-13;146624_2023-03-20;147147_2024-01-18;152601_2024-08-27;157904_2024-05-25;160216_2024-02-23;160216_2024-06-28;160216_2024-09-21;160431_2023-03-27;160431_2024-10-28;161573_2023-04-07;161573_2023-04-21;163817_2024-04-11;164897_2023-01-29;164897_2024-08-06;164897_2024-10-30;165786_2023-10-08;165786_2024-09-04;166084_2023-01-05;166084_2023-08-10;166084_2024-09-20;166084_2024-10-08;166206_2023-01-05;166206_2024-09-14;167494_2023-07-05;167494_2024-01-23;167494_2024-06-30;169310_2023-06-02;169310_2023-12-13;169310_2024-07-01;170013_2023-06-07;170013_2023-10-01;170013_2023-11-17;172262_2023-02-12;172510_2024-01-21;172510_2024-02-12;172510_2024-12-24,0.6666,0.49376,10.81281,0.95769,1.01608,0.95769,0.901,0.0,0.50477,0.64454,0.70523,0.74303,0.76254,0.7795,0.80183,0.823,0.83192,0.84804,0.86776,0.88053,0.8996,0.91515,0.94447,0.98915,1.0109,1.02765,1.05672,1.0967,1.11727,1.20668,1.2244,0.84391,0.90838,0.90628,0.92244,0.92575,0.95118,0.9386,0.9507,0.95708,0.93961,0.93943,0.94757,0.97605,0.96054,0.95766,0.97601,1.02177,0.99274,0.96002,0.95141,0.9806,0.91881,0.97571,0.9251,0.72226,0.0
100354_2024-04-27;100707_2023-01-01;102016_2024-11-04;104481_2023-08-15;104481_2024-07-30;106793_2023-03-14;106793_2023-06-04;106793_2023-10-28;106793_2024-09-15;107448_2023-02-24;108517_2023-05-01;108517_2024-04-07;108517_2024-05-21;108795_2023-12-14;110260_2023-06-23;110260_2024-12-09;112377_2024-05-22;113377_2024-06-13;115937_2024-06-30;115937_2024-07-11;116320_2023-03-16;116320_2024-12-14;116320_2024-12-29;118984_2023-04-25;120517_2023-04-01;121500_2023-05-20;121555_2024-03-09;123129_2023-03-09;123129_2024-08-26;125463_2024-07-05;127225_2023-03-14;127524_2024-06-25;128843_2023-04-13;128843_2024-05-06;129071_2024-08-11;130253_2023-05-03;130253_2024-03-23;132967_2023-02-02;132967_2023-11-03;133165_2024-08-03;133996_2023-10-02;136407_2023-10-01;136407_2024-08-01;139410_2023-03-21;140211_2023-11-11;140211_2024-02-16;142975_2023-04-09;142975_2023-08-21;142999_2023-06-08;142999_2024-06-11;144492_2023-07-21;146624_2023-03-10;152601_2024-12-21;155209_2023-01-10;155209_2023-05-10;157904_2023-03-28;157904_2024-05-25;160431_2023-03-27;160431_2024-10-28;161573_2024-11-23;163595_2023-08-18;163595_2024-05-08;163817_2024-01-26;163817_2024-05-09;164897_2024-07-09;165786_2023-02-16;165786_2024-06-04;166084_2023-01-05;167494_2024-01-23;167494_2024-03-08;167494_2024-06-22;167494_2024-06-30;168165_2024-05-28;170013_2023-02-25;171530_2024-09-18;172262_2023-06-20;172262_2023-11-11;172510_2024-01-06;172510_2024-09-26;174968_2023-10-16,0.72791,0.54506,10.82296,0.95816,1.01756,0.95816,0.9185,0.0,0.53435,0.67786,0.70978,0.73276,0.74666,0.76434,0.77845,0.7941,0.81315,0.83847,0.86251,0.87835,0.89772,0.91645,0.95335,0.99856,1.01718,1.02848,1.05326,1.09306,1.1157,1.20591,1.23092,0.84931,0.90914,0.91208,0.92691,0.92743,0.94008,0.93301,0.95411,0.95909,0.94369,0.93086,0.93542,0.98095,0.94948,0.95022,0.97102,1.01557,0.95348,0.95256,0.93487,0.9783,0.90997,0.97276,0.95446,0.86184,0.0
100354_2023-08-02;100707_2024-04-14;102016_2024-06-29;105366_2023-01-03;106298_2023-04-26;106298_2024-03-13;106298_2024-11-17;107448_2024-05-30;107448_2024-08-12;107448_2024-10-09;108795_2024-01-21;108795_2024-05-15;108795_2024-11-23;110260_2024-12-09;112377_2023-02-13;113377_2024-06-13;116320_2024-11-01;120517_2023-03-07;120517_2023-11-28;121555_2023-02-14;128843_2023-11-19;129071_2024-08-11;130253_2024-05-06;130253_2024-05-14;132256_2024-11-19;132967_2024-11-29;133165_2024-08-03;133165_2024-10-17;133996_2023-04-02;133996_2024-11-14;136407_2023-04-23;136407_2023-12-20;138414_2024-04-18;140649_2023-01-20;140649_2023-04-24;142975_2023-01-19;142975_2024-09-28;142975_2024-12-10;142999_2023-06-08;144492_2023-06-20;144492_2023-07-28;144492_2023-12-08;146624_2023-01-11;146624_2024-05-25;151683_2023-03-15;152601_2024-08-27;155209_2023-01-10;155209_2023-04-23;155209_2023-05-10;155209_2023-09-05;157904_2023-03-28;157904_2024-02-10;160216_2024-08-22;160431_2023-03-01;161573_2024-02-04;161573_2024-05-27;161573_2024-08-06;163329_2023-03-29;163329_2023-06-28;163329_2023-11-20;163817_2024-02-14;163817_2024-11-27;164897_2023-03-26;165786_2024-04-08;166084_2024-01-13;166084_2024-09-20;167494_2024-06-30;167494_2024-10-26;168165_2024-06-24;169310_2023-06-10;169310_2023-12-13;169310_2024-06-28;170013_2023-02-25;172262_2023-02-12;172262_2023-06-20;172262_2024-02-24;172510_2023-01-25;172510_2023-11-29;172510_2024-12-24;174968_2023-03-21,0.70095,0.52577,10.82477,0.97159,1.03043,0.97159,0.91378,0.0,0.52494,0.64108,0.67513,0.70767,0.72849,0.74524,0.76268,0.77572,0.798,0.8316,0.85819,0.88439,0.91274,0.93809,0.97422,1.02296,1.05089,1.06418,1.08664,1.11852,1.12453,1.21648,1.24784,0.86299,0.9097,0.89341,0.90191,0.91335,0.92252,0.97055,0.98057,0.99862,0.93459,0.92529,0.95117,0.96783,0.95474,0.97595,0.97813,1.0365,1.00719,1.02208,0.99497,0.96112,0.8897,0.98594,0.97627,0.69216,0.0
100354_2023-07-21;100354_2023-09-22;100354_2024-03-09;100707_2023-01-07;100707_2023-07-28;100707_2024-06-02;100707_2024-12-18;102016_2024-06-29;104481_2023-09-01;106298_2023-06-14;106793_2023-04-10;106793_2023-06-04;107448_2023-08-23;107448_2023-11-02;107448_2024-07-03;107448_2024-11-26;108517_2024-05-21;112377_2023-10-18;113377_2024-01-04;115937_2024-09-25;116320_2023-03-16;116320_2023-04-19;116320_2024-05-09;118984_2024-06-15;118984_2024-12-11;120517_2024-08-07;121500_2023-05-20;121500_2023-08-12;121500_2023-10-23;127225_2024-06-02;128843_2023-11-19;129071_2023-05-02;130253_2024-03-23;132967_2023-02-03;132967_2024-04-06;133996_2023-04-20;142999_2023-06-08;144492_2023-06-20;146624_2023-03-20;146624_2024-05-28;147049_2023-08-22;147049_2024-04-11;147049_2024-11-03;147147_2023-06-07;151740_2023-10-14;155209_2024-11-15;157904_2023-03-31;157904_2024-01-23;157904_2024-05-25;160431_2023-03-27;161573_2024-07-29;161573_2024-08-23;163595_2023-02-04;163595_2024-09-22;163817_2023-03-14;163817_2023-10-03;163817_2024-06-23;164897_2023-09-05;165786_2023-02-16;165786_2023-10-16;165786_2024-04-08;165786_2024-09-04;166084_2023-08-10;166206_2023-01-05;166206_2024-09-14;168165_2023-08-25;169310_2023-08-02;169310_2023-12-13;170013_2024-06-23;171530_2023-03-22;171530_2024-05-02;172262_2023-02-12;172262_2023-11-11;172510_2024-01-06;172510_2024-05-07;172510_2024-09-26;172510_2024-12-24;174968_2023-08-16;174968_2023-10-16;174968_2024-04-14,0.68219,0.48581,10.80791,0.97635,1.03182,0.97635,0.93573,0.0,0.4784,0.63018,0.71327,0.77491,0.80195,0.82056,0.83516,0.84931,0.86241,0.88605,0.89939,0.91458,0.92485,0.93749,0.96446,1.00876,1.02716,1.04557,1.07618,1.11431,1.12725,1.21166,1.23421,0.84954,0.91754,0.91833,0.9246,0.9286,0.94017,0.9419,0.93455,0.94414,0.94326,0.94555,0.95562,0.97843,0.96295,0.97932,0.9845,1.01931,0.99305,0.9628,0.96352,0.97753,0.96731,1.01047,0.9807,0.87028,0.0
100707_2024-04-14;102016_2023-07-18;104481_2023-08-15;105366_2024-01-02;106298_2023-02-04;106298_2023-11-11;107448_2023-08-23;107448_2024-05-30;107448_2024-11-26;107448_2024-12-04;110260_2023-09-02;112377_2023-01-26;113377_2023-02-13;113377_2024-06-13;116320_2023-03-16;116320_2024-05-09;120517_2023-03-07;120517_2024-10-01;121500_2023-10-23;121500_2024-02-02;121555_2023-02-20;123129_2023-07-13;123129_2024-08-11;125463_2023-06-17;125463_2023-12-21;127225_2023-05-02;127225_2024-06-27;127524_2023-08-27;127524_2023-11-09;127524_2024-09-05;127524_2024-10-18;129071_2024-01-30;130253_2024-05-17;130253_2024-08-31;133996_2023-04-09;133996_2023-04-20;133996_2023-06-12;136407_2023-03-14;136407_2023-04-22;136407_2023-09-24;136407_2023-10-01;136407_2024-09-22;138414_2023-11-03;138414_2024-04-18;139410_2023-03-06;139410_2024-07-16;140211_2023-03-09;140211_2023-04-23;140211_2023-06-14;140211_2023-11-11;140649_2024-06-14;142975_2023-10-18;142975_2024-12-10;144492_2023-12-08;146624_2023-03-12;146624_2023-08-26;151683_2024-05-09;155209_2023-09-05;157904_2024-01-23;157904_2024-12-15;160431_2024-05-11;161573_2023-04-21;163329_2023-11-20;163595_2023-02-04;164897_2023-09-05;164897_2024-03-01;165786_2023-02-10;165786_2023-10-16;166084_2023-08-04;166084_2023-08-10;166084_2024-08-23;166084_2024-09-20;167494_2024-06-22;169310_2023-10-10;170013_2024-06-23;172262_2024-05-27;172510_2023-11-29;172510_2024-01-06;172510_2024-12-24;174968_2024-04-14,0.62777,0.49529,10.8132,0.96145,1.01799,0.96145,0.90847,0.0,0.50565,0.63898,0.68853,0.72246,0.74238,0.76815,0.79485,0.81665,0.82818,0.85404,0.87705,0.89639,0.91385,0.92839,0.95712,0.99873,1.02087,1.0319,1.05768,1.09689,1.11816,1.20346,1.21851,0.85179,0.90333,0.90156,0.90939,0.91872,0.96412,0.94661,0.95508,0.97451,0.9513,0.9532,0.96566,0.99017,0.96471,0.97732,0.97533,1.01603,0.95904,0.96265,0.9506,0.96303,0.91941,0.97038,0.96074,0.77563,0.0
100354_2023-08-02;100354_2023-12-02;100707_2023-01-01;100707_2023-07-04;102016_2024-11-04;106298_2023-02-01;106793_2023-09-21;107448_2023-08-23;108517_2023-07-12;110260_2023-01-06;110260_2023-06-23;112377_2023-10-18;115937_2024-05-17;116320_2024-05-09;118984_2023-08-29;121500_2023-10-23;121500_2024-09-09;123129_2023-07-13;123129_2023-10-10;123129_2024-02-01;125463_2023-06-28;125463_2023-11-30;125463_2024-01-22;127225_2023-08-28;127524_2024-01-15;127524_2024-01-23;127524_2024-12-28;128843_2023-04-02;129071_2023-10-25;130253_2023-05-03;130253_2024-05-17;132256_2024-01-07;132967_2023-02-03;132967_2023-11-03;133165_2024-08-03;133165_2024-08-21;133996_2024-11-02;133996_2024-11-14;136407_2023-03-14;136407_2023-04-23;136407_2023-10-16;138414_2023-10-18;140649_2023-12-03;140649_2024-03-22;142975_2023-01-19;142975_2024-06-07;142975_2024-12-10;144492_2023-06-20;146624_2023-03-12;146624_2023-03-20;146624_2024-05-25;147049_2023-04-04;147049_2023-11-20;147147_2024-01-18;151683_2023-10-20;151740_2024-12-21;155209_2023-04-23;155209_2023-05-10;155209_2024-11-15;160216_2024-02-23;160216_2024-06-07;161573_2023-10-14;161573_2024-02-04;163329_2023-03-29;163595_2023-11-21;163817_2024-01-26;164897_2023-01-28;164897_2023-07-03;166084_2024-08-23;166084_2024-09-23;167494_2023-11-16;167494_2024-11-16;169310_2024-06-28;172262_2023-07-08;172262_2024-03-18;172510_2024-02-12;174968_2023-02-25;174968_2023-10-28;174968_2023-11-13;174968_2024-05-19,0.64023,0.49418,10.81615,0.98499,1.04068,0.98499,0.91961,0.0,0.48918,0.61703,0.67245,0.71017,0.73414,0.75371,0.76905,0.79152,0.8089,0.84579,0.87357,0.89719,0.92356,0.95147,0.98874,1.02972,1.08474,1.10717,1.12839,1.14347,1.13568,1.1956,1.21181,0.98627,0.97914,0.97876,0.97573,0.97682,0.97861,0.97372,0.97538,0.97687,0.96618,0.96621,0.96801,0.97373,0.97555,0.98337,0.99188,1.01643,1.02692,1.03377,1.03112,1.00575,0.92682,0.95773,0.94617,0.68032,0.0
100354_2023-06-07;100354_2023-08-02;100707_2023-07-28;102016_2024-03-08;104481_2024-05-05;106298_2023-05-06;106298_2024-08-18;106793_2024-12-22;107448_2023-11-02;107448_2024-12-04;110260_2024-06-10;112377_2023-02-13;113377_2024-08-17;115937_2024-07-11;116320_2024-04-04;116320_2024-06-12;120517_2023-11-28;121500_2024-02-02;121555_2023-02-14;125463_2023-10-09;125463_2023-11-30;127225_2023-05-02;127225_2024-06-02;127524_2024-04-05;127524_2024-10-26;128843_2023-04-13;128843_2024-06-27;129071_2023-05-02;129071_2024-12-19;130253_2024-05-14;132256_2024-03-31;133165_2024-03-01;133996_2023-04-20;133996_2024-08-30;138414_2024-04-18;139410_2023-03-21;139410_2023-06-21;142975_2023-04-09;142975_2024-06-07;142975_2024-10-10;142999_2024-03-13;144492_2023-12-08;146624_2023-03-12;147049_2024-04-22;147049_2024-11-03;147049_2024-12-20;147147_2023-04-24;151683_2024-05-21;151740_2023-03-12;151740_2023-08-22;151740_2023-10-14;151740_2024-04-21;152601_2024-03-10;152601_2024-08-27;155209_2023-05-10;157904_2023-11-11;157904_2024-01-01;157904_2024-01-23;160216_2024-02-23;160431_2023-09-29;160431_2024-05-11;161573_2024-11-23;163329_2023-06-28;163595_2023-02-25;163817_2023-03-14;163817_2024-02-14;163817_2024-11-27;164897_2023-09-05;165786_2023-09-07;165786_2023-10-16;166084_2023-09-25;166084_2024-01-13;166084_2024-04-26;166206_2024-09-14;168165_2024-01-17;169310_2023-01-03;171530_2024-06-13;172510_2024-01-06;172510_2024-05-21;174968_2023-02-25,0.65819,0.48685,10.81221,0.96144,1.01872,0.96144,0.90887,0.0,0.48386,0.63254,0.69008,0.72978,0.75436,0.7763,0.79643,0.80577,0.81659,0.83974,0.8624,0.89262,0.91091,0.92908,0.95673,1.0048,1.02856,1.04053,1.06667,1.10603,1.11807,1.19215,1.21865,0.90135,0.93405,0.93605,0.94161,0.94918,0.97286,0.96675,0.97034,0.97492,0.95581,0.94832,0.95278,0.97193,0.96136,0.96765,0.97403,1.00191,0.98596,0.96437,0.96426,0.95218,0.92839,0.97503,0.95381,0.76469,0.0
100354_2023-03-02;100707_2023-07-28;100707_2024-04-14;100707_2024-12-03;102016_2024-03-08;102016_2024-03-27;102016_2024-04-10;104481_2023-09-01;104481_2024-01-19;106298_2024-08-12;106298_2024-11-17;106793_2023-10-28;106793_2024-09-15;107448_2024-07-03;108517_2023-11-05;108517_2024-05-21;108517_2024-07-13;108795_2024-01-21;113377_2023-02-27;115937_2024-06-30;115937_2024-09-25;116320_2023-01-28;116320_2024-06-14;118984_2024-12-11;120517_2024-08-07;120517_2024-08-08;121500_2023-10-10;121500_2024-01-25;121500_2024-02-02;121500_2024-07-24;121500_2024-09-09;125463_2023-06-17;125463_2023-09-25;125463_2024-01-22;127524_2023-02-12;127524_2024-09-05;127524_2024-10-18;128843_2023-04-13;129071_2023-02-19;129071_2023-03-16;129071_2023-05-02;130253_2023-05-03;130253_2024-03-03;130253_2024-03-23;132967_2024-04-06;132967_2024-08-12;133165_2023-08-22;133165_2024-08-16;133165_2024-08-21;133165_2024-11-27;133996_2024-11-02;138414_2024-04-18;139410_2023-03-06;140211_2023-11-11;142999_2023-06-29;144492_2024-06-12;146624_2023-03-10;151740_2023-10-14;152601_2023-10-21;155209_2023-09-05;157904_2023-02-24;160431_2023-03-01;163329_2023-11-20;163817_2023-10-03;165786_2023-10-08;165786_2023-10-16;165786_2024-04-08;166084_2023-01-05;166084_2023-08-10;166206_2023-07-12;166206_2024-09-14;168165_2024-06-24;169310_2023-12-13;170013_2023-02-25;170013_2024-11-10;171530_2023-03-22;172262_2024-09-18;172262_2024-11-20;172510_2023-01-25;174968_2023-08-16,0.67669,0.4911,10.82266,0.95539,1.01548,0.95539,0.89875,0.0,0.47847,0.61991,0.67719,0.71395,0.73473,0.75395,0.76905,0.78904,0.8115,0.83909,0.86074,0.87779,0.89691,0.91437,0.9461,0.99707,1.0198,1.03567,1.0608,1.09555,1.11952,1.20366,1.22441,0.87917,0.8995,0.89667,0.9104,0.92924,0.93736,0.93549,0.94863,0.96117,0.93995,0.9468,0.95569,0.98064,0.9619,0.96361,0.98256,1.01749,0.96447,0.96204,0.954,0.95279,0.91273,0.94941,0.94403,0.74625,0.0
