106298_2023-02-04;130253_2023-05-03;130253_2023-07-26;146624_2023-08-08;163595_2023-02-25,0.82496,0.60669,10.86136
106298_2023-02-25;133996_2023-04-20;160431_2023-04-18;161573_2024-11-23;172510_2024-09-26,0.95444,0.73423,10.83916
