candidate_set,rmse,rmse_20_loads,net_cost,horizon_pooled_avg,horizon_bucket_avg,timestep_pooled_avg,timestep_bucket_avg,horizon_bucket_1_avg,horizon_bucket_2_avg,horizon_bucket_3_avg,horizon_bucket_4_avg,horizon_bucket_5_avg,horizon_bucket_6_avg,horizon_bucket_7_avg,horizon_bucket_8_avg,horizon_bucket_9_avg,horizon_bucket_10_avg,horizon_bucket_12_avg,horizon_bucket_14_avg,horizon_bucket_16_avg,horizon_bucket_18_avg,horizon_bucket_20_avg,horizon_bucket_25_avg,horizon_bucket_32_avg,horizon_bucket_38_avg,horizon_bucket_42_avg,horizon_bucket_50_avg,horizon_bucket_58_avg,horizon_bucket_64_avg,horizon_bucket_72_avg,horizon_bucket_88_avg,horizon_bucket_96_avg,timestep_bucket_1_avg,timestep_bucket_2_avg,timestep_bucket_3_avg,timestep_bucket_4_avg,timestep_bucket_5_avg,timestep_bucket_6_avg,timestep_bucket_7_avg,timestep_bucket_8_avg,timestep_bucket_9_avg,timestep_bucket_10_avg,timestep_bucket_12_avg,timestep_bucket_14_avg,timestep_bucket_16_avg,timestep_bucket_18_avg,timestep_bucket_20_avg,timestep_bucket_25_avg,timestep_bucket_32_avg,timestep_bucket_38_avg,timestep_bucket_42_avg,timestep_bucket_50_avg,timestep_bucket_58_avg,timestep_bucket_64_avg,timestep_bucket_72_avg,timestep_bucket_88_avg,timestep_bucket_96_avg
102016_2023-07-20;104481_2024-01-19;104481_2024-10-02;106298_2023-02-01;106298_2023-02-04;106298_2023-02-25;106298_2023-06-14;106298_2023-08-01;107448_2023-09-20;107448_2024-10-09;108517_2024-05-21;108517_2024-07-01;108795_2024-05-15;110260_2024-02-01;112377_2023-10-18;113377_2024-08-17;116320_2023-01-28;120517_2023-03-07;125463_2023-06-17;125463_2023-11-25;125463_2024-01-22;125463_2024-03-27;127225_2024-06-02;127524_2023-02-12;127524_2024-01-15;127524_2024-03-16;127524_2024-12-28;128843_2023-04-05;129071_2023-05-02;129071_2024-04-09;129071_2024-07-19;130253_2023-02-09;130253_2024-03-23;132967_2023-11-12;132967_2024-02-20;132967_2024-08-12;132967_2024-11-28;132967_2024-11-29;133165_2024-03-01;133165_2024-08-21;133165_2024-11-27;136407_2023-05-07;138414_2023-01-16;139410_2023-06-21;142975_2024-06-07;142999_2023-05-01;144492_2023-09-22;146624_2023-01-11;147049_2024-04-11;151683_2024-05-09;151683_2024-05-25;151740_2024-04-21;151740_2024-12-21;152601_2023-02-14;152601_2024-11-18;155209_2023-01-10;155209_2023-04-23;155209_2023-07-18;157904_2024-12-15;160216_2024-02-23;160216_2024-06-28;160216_2024-09-21;160431_2023-03-01;161573_2023-04-07;161573_2024-07-23;161573_2024-07-29;163329_2024-09-29;163817_2023-03-14;163817_2024-06-23;165786_2023-02-10;166084_2023-08-04;166084_2023-09-25;167494_2023-07-05;168165_2023-02-15;168165_2024-06-18;169310_2024-07-01;169310_2024-10-03;171530_2023-06-06;171530_2024-06-13;172510_2024-12-24,0.6187,0.50882,10.81268,0.70196,0.77381,0.70196,0.6424,0.0,0.20952,0.30944,0.37478,0.42578,0.46624,0.50022,0.52786,0.55094,0.57064,0.60312,0.63136,0.65675,0.68105,0.7048,0.7492,0.7833,0.80697,0.82097,0.84214,0.85411,0.85794,0.86685,0.89567,0.88813,0.72156,0.71228,0.71327,0.74245,0.71836,0.71975,0.7187,0.66477,0.66932,0.67108,0.71116,0.65859,0.65587,0.66554,0.6765,0.71771,0.76919,0.79664,0.79186,0.72967,0.61941,0.66045,0.66753,0.43631,
100354_2024-12-28;100707_2023-01-01;106298_2023-02-04;106298_2023-04-26;106298_2023-05-06;106298_2024-11-17;106793_2023-03-14;106793_2024-12-22;107448_2024-07-03;108517_2023-05-01;108517_2023-11-05;108517_2024-04-07;108517_2024-05-27;110260_2023-12-25;113377_2023-08-03;115937_2024-07-11;116320_2024-12-29;118984_2023-04-25;120517_2023-11-28;121500_2023-10-10;121500_2024-02-24;121555_2024-03-09;121555_2024-08-25;123129_2023-10-10;123129_2024-08-26;125463_2023-06-17;125463_2024-03-27;127225_2023-05-30;127225_2024-06-02;127225_2024-11-10;127524_2023-07-08;127524_2024-03-16;129071_2024-07-19;130253_2023-02-09;130253_2024-09-21;132256_2023-12-01;132967_2023-09-22;132967_2024-02-20;132967_2024-08-07;133165_2024-02-02;133996_2024-11-02;140211_2023-11-11;142975_2023-10-18;142975_2024-12-10;144492_2023-05-06;144492_2023-06-20;147049_2024-12-20;147147_2023-10-10;147147_2023-11-10;151683_2024-05-25;152601_2023-01-18;152601_2023-02-14;155209_2023-07-18;155209_2024-11-11;155209_2024-11-15;160216_2023-03-29;160216_2023-04-09;160216_2024-06-07;160431_2023-03-01;161573_2023-04-21;161573_2024-07-23;161573_2024-08-06;163817_2024-02-14;164897_2023-12-12;166084_2024-01-13;166084_2024-09-20;167494_2023-07-05;167494_2024-02-26;168165_2023-08-25;168165_2024-06-24;169310_2023-06-02;169310_2023-10-10;169310_2024-03-17;170013_2023-02-25;172262_2024-01-06;172510_2023-03-10;172510_2024-01-06;174968_2023-02-25;174968_2023-10-28;174968_2024-04-14,0.67643,0.5087,10.81247,0.67001,0.74029,0.67001,0.61323,0.0,0.19968,0.29571,0.35486,0.39858,0.43198,0.45957,0.48306,0.50442,0.52401,0.55995,0.59488,0.62756,0.65506,0.6766,0.71683,0.75238,0.77579,0.78895,0.80804,0.82035,0.82514,0.83229,0.85421,0.853,0.67678,0.67118,0.67867,0.68861,0.66041,0.66457,0.66503,0.62338,0.63141,0.63284,0.65123,0.62239,0.62369,0.63006,0.64869,0.69954,0.7456,0.76209,0.75995,0.69001,0.6034,0.62956,0.6787,0.40352,
100354_2023-07-21;100707_2023-01-01;100707_2024-04-01;100707_2024-04-14;102016_2023-07-18;102016_2024-03-08;105366_2023-01-03;106298_2023-08-01;106298_2024-08-18;106793_2023-03-14;106793_2024-12-22;107448_2024-01-07;107448_2024-07-03;108517_2023-07-12;108517_2024-05-27;108795_2024-06-13;110260_2024-02-01;112377_2023-01-26;113377_2023-07-01;113377_2024-01-08;113377_2024-08-13;113377_2024-08-24;116320_2023-11-03;118984_2024-06-15;120517_2024-07-01;121500_2023-10-10;121500_2024-01-25;121500_2024-07-24;121555_2024-08-25;125463_2023-06-18;125463_2023-11-30;127524_2023-07-08;127524_2024-01-23;127524_2024-04-05;128843_2024-06-27;129071_2024-01-30;129071_2024-12-19;132967_2023-11-03;133165_2024-03-19;133996_2023-06-12;133996_2024-11-14;140211_2023-11-11;142975_2024-09-28;142999_2024-03-13;146624_2023-03-20;147147_2024-01-18;152601_2024-08-27;157904_2024-05-25;160216_2024-02-23;160216_2024-06-28;160216_2024-09-21;160431_2023-03-27;160431_2024-10-28;161573_2023-04-07;161573_2023-04-21;163817_2024-04-11;164897_2023-01-29;164897_2024-08-06;164897_2024-10-30;165786_2023-10-08;165786_2024-09-04;166084_2023-01-05;166084_2023-08-10;166084_2024-09-20;166084_2024-10-08;166206_2023-01-05;166206_2024-09-14;167494_2023-07-05;167494_2024-01-23;167494_2024-06-30;169310_2023-06-02;169310_2023-12-13;169310_2024-07-01;170013_2023-06-07;170013_2023-10-01;170013_2023-11-17;172262_2023-02-12;172510_2024-01-21;172510_2024-02-12;172510_2024-12-24,0.6666,0.49376,10.81281,0.66764,0.72879,0.66764,0.61657,0.0,0.20101,0.30243,0.36866,0.41818,0.45738,0.49057,0.51846,0.54268,0.56392,0.59755,0.62448,0.6471,0.66539,0.68059,0.70852,0.73658,0.75674,0.76874,0.78788,0.80166,0.80741,0.81382,0.8234,0.81153,0.64544,0.65391,0.65843,0.66693,0.64289,0.64247,0.65151,0.62142,0.62828,0.63642,0.65481,0.64756,0.63794,0.64011,0.65198,0.69947,0.74425,0.7335,0.7274,0.71549,0.62806,0.63605,0.87021,0.41884,
100354_2024-04-27;100707_2023-01-01;102016_2024-11-04;104481_2023-08-15;104481_2024-07-30;106793_2023-03-14;106793_2023-06-04;106793_2023-10-28;106793_2024-09-15;107448_2023-02-24;108517_2023-05-01;108517_2024-04-07;108517_2024-05-21;108795_2023-12-14;110260_2023-06-23;110260_2024-12-09;112377_2024-05-22;113377_2024-06-13;115937_2024-06-30;115937_2024-07-11;116320_2023-03-16;116320_2024-12-14;116320_2024-12-29;118984_2023-04-25;120517_2023-04-01;121500_2023-05-20;121555_2024-03-09;123129_2023-03-09;123129_2024-08-26;125463_2024-07-05;127225_2023-03-14;127524_2024-06-25;128843_2023-04-13;128843_2024-05-06;129071_2024-08-11;130253_2023-05-03;130253_2024-03-23;132967_2023-02-02;132967_2023-11-03;133165_2024-08-03;133996_2023-10-02;136407_2023-10-01;136407_2024-08-01;139410_2023-03-21;140211_2023-11-11;140211_2024-02-16;142975_2023-04-09;142975_2023-08-21;142999_2023-06-08;142999_2024-06-11;144492_2023-07-21;146624_2023-03-10;152601_2024-12-21;155209_2023-01-10;155209_2023-05-10;157904_2023-03-28;157904_2024-05-25;160431_2023-03-27;160431_2024-10-28;161573_2024-11-23;163595_2023-08-18;163595_2024-05-08;163817_2024-01-26;163817_2024-05-09;164897_2024-07-09;165786_2023-02-16;165786_2024-06-04;166084_2023-01-05;167494_2024-01-23;167494_2024-03-08;167494_2024-06-22;167494_2024-06-30;168165_2024-05-28;170013_2023-02-25;171530_2024-09-18;172262_2023-06-20;172262_2023-11-11;172510_2024-01-06;172510_2024-09-26;174968_2023-10-16,0.72791,0.54506,10.82296,0.64499,0.7122,0.64499,0.60331,0.0,0.20627,0.30704,0.36326,0.40362,0.43472,0.46076,0.48247,0.50164,0.51927,0.54831,0.57383,0.59676,0.61632,0.63423,0.67451,0.7152,0.74241,0.75796,0.78081,0.79172,0.79651,0.80446,0.82153,0.81073,0.64699,0.64024,0.64259,0.6322,0.6125,0.61988,0.62196,0.59638,0.58814,0.58985,0.6231,0.58708,0.59046,0.60826,0.62602,0.69427,0.72462,0.73016,0.71401,0.65206,0.59328,0.60787,0.61093,0.48241,
100354_2023-08-02;100707_2024-04-14;102016_2024-06-29;105366_2023-01-03;106298_2023-04-26;106298_2024-03-13;106298_2024-11-17;107448_2024-05-30;107448_2024-08-12;107448_2024-10-09;108795_2024-01-21;108795_2024-05-15;108795_2024-11-23;110260_2024-12-09;112377_2023-02-13;113377_2024-06-13;116320_2024-11-01;120517_2023-03-07;120517_2023-11-28;121555_2023-02-14;128843_2023-11-19;129071_2024-08-11;130253_2024-05-06;130253_2024-05-14;132256_2024-11-19;132967_2024-11-29;133165_2024-08-03;133165_2024-10-17;133996_2023-04-02;133996_2024-11-14;136407_2023-04-23;136407_2023-12-20;138414_2024-04-18;140649_2023-01-20;140649_2023-04-24;142975_2023-01-19;142975_2024-09-28;142975_2024-12-10;142999_2023-06-08;144492_2023-06-20;144492_2023-07-28;144492_2023-12-08;146624_2023-01-11;146624_2024-05-25;151683_2023-03-15;152601_2024-08-27;155209_2023-01-10;155209_2023-04-23;155209_2023-05-10;155209_2023-09-05;157904_2023-03-28;157904_2024-02-10;160216_2024-08-22;160431_2023-03-01;161573_2024-02-04;161573_2024-05-27;161573_2024-08-06;163329_2023-03-29;163329_2023-06-28;163329_2023-11-20;163817_2024-02-14;163817_2024-11-27;164897_2023-03-26;165786_2024-04-08;166084_2024-01-13;166084_2024-09-20;167494_2024-06-30;167494_2024-10-26;168165_2024-06-24;169310_2023-06-10;169310_2023-12-13;169310_2024-06-28;170013_2023-02-25;172262_2023-02-12;172262_2023-06-20;172262_2024-02-24;172510_2023-01-25;172510_2023-11-29;172510_2024-12-24;174968_2023-03-21,0.70095,0.52577,10.82477,0.63866,0.70204,0.63866,0.5959,0.0,0.20507,0.29998,0.35677,0.3979,0.43002,0.45621,0.47837,0.4979,0.51593,0.54612,0.57187,0.5951,0.61482,0.63273,0.67137,0.70759,0.73383,0.75102,0.77361,0.78552,0.78717,0.79101,0.7998,0.78953,0.58849,0.58808,0.59331,0.5791,0.60362,0.60746,0.61678,0.55854,0.55849,0.57095,0.58441,0.5858,0.59084,0.60639,0.62276,0.69779,0.7386,0.74939,0.73526,0.66903,0.57225,0.625,0.61719,0.40763,
100354_2023-07-21;100354_2023-09-22;100354_2024-03-09;100707_2023-01-07;100707_2023-07-28;100707_2024-06-02;100707_2024-12-18;102016_2024-06-29;104481_2023-09-01;106298_2023-06-14;106793_2023-04-10;106793_2023-06-04;107448_2023-08-23;107448_2023-11-02;107448_2024-07-03;107448_2024-11-26;108517_2024-05-21;112377_2023-10-18;113377_2024-01-04;115937_2024-09-25;116320_2023-03-16;116320_2023-04-19;116320_2024-05-09;118984_2024-06-15;118984_2024-12-11;120517_2024-08-07;121500_2023-05-20;121500_2023-08-12;121500_2023-10-23;127225_2024-06-02;128843_2023-11-19;129071_2023-05-02;130253_2024-03-23;132967_2023-02-03;132967_2024-04-06;133996_2023-04-20;142999_2023-06-08;144492_2023-06-20;146624_2023-03-20;146624_2024-05-28;147049_2023-08-22;147049_2024-04-11;147049_2024-11-03;147147_2023-06-07;151740_2023-10-14;155209_2024-11-15;157904_2023-03-31;157904_2024-01-23;157904_2024-05-25;160431_2023-03-27;161573_2024-07-29;161573_2024-08-23;163595_2023-02-04;163595_2024-09-22;163817_2023-03-14;163817_2023-10-03;163817_2024-06-23;164897_2023-09-05;165786_2023-02-16;165786_2023-10-16;165786_2024-04-08;165786_2024-09-04;166084_2023-08-10;166206_2023-01-05;166206_2024-09-14;168165_2023-08-25;169310_2023-08-02;169310_2023-12-13;170013_2024-06-23;171530_2023-03-22;171530_2024-05-02;172262_2023-02-12;172262_2023-11-11;172510_2024-01-06;172510_2024-05-07;172510_2024-09-26;172510_2024-12-24;174968_2023-08-16;174968_2023-10-16;174968_2024-04-14,0.68219,0.48581,10.80791,0.66621,0.7272,0.66621,0.62006,0.0,0.19251,0.29316,0.35983,0.41347,0.45555,0.49017,0.51858,0.5435,0.56457,0.59863,0.62458,0.64618,0.66368,0.67866,0.70727,0.73653,0.75671,0.76902,0.78967,0.79942,0.80476,0.81026,0.81736,0.81696,0.64199,0.6436,0.65039,0.6414,0.63048,0.62802,0.63209,0.62248,0.63106,0.63321,0.64088,0.6291,0.63426,0.63587,0.6446,0.69288,0.73429,0.7418,0.76135,0.67887,0.63861,0.63835,0.64412,0.41296,
100707_2024-04-14;102016_2023-07-18;104481_2023-08-15;105366_2024-01-02;106298_2023-02-04;106298_2023-11-11;107448_2023-08-23;107448_2024-05-30;107448_2024-11-26;107448_2024-12-04;110260_2023-09-02;112377_2023-01-26;113377_2023-02-13;113377_2024-06-13;116320_2023-03-16;116320_2024-05-09;120517_2023-03-07;120517_2024-10-01;121500_2023-10-23;121500_2024-02-02;121555_2023-02-20;123129_2023-07-13;123129_2024-08-11;125463_2023-06-17;125463_2023-12-21;127225_2023-05-02;127225_2024-06-27;127524_2023-08-27;127524_2023-11-09;127524_2024-09-05;127524_2024-10-18;129071_2024-01-30;130253_2024-05-17;130253_2024-08-31;133996_2023-04-09;133996_2023-04-20;133996_2023-06-12;136407_2023-03-14;136407_2023-04-22;136407_2023-09-24;136407_2023-10-01;136407_2024-09-22;138414_2023-11-03;138414_2024-04-18;139410_2023-03-06;139410_2024-07-16;140211_2023-03-09;140211_2023-04-23;140211_2023-06-14;140211_2023-11-11;140649_2024-06-14;142975_2023-10-18;142975_2024-12-10;144492_2023-12-08;146624_2023-03-12;146624_2023-08-26;151683_2024-05-09;155209_2023-09-05;157904_2024-01-23;157904_2024-12-15;160431_2024-05-11;161573_2023-04-21;163329_2023-11-20;163595_2023-02-04;164897_2023-09-05;164897_2024-03-01;165786_2023-02-10;165786_2023-10-16;166084_2023-08-04;166084_2023-08-10;166084_2024-08-23;166084_2024-09-20;167494_2024-06-22;169310_2023-10-10;170013_2024-06-23;172262_2024-05-27;172510_2023-11-29;172510_2024-01-06;172510_2024-12-24;174968_2024-04-14,0.62777,0.49529,10.8132,0.675,0.73749,0.675,0.62318,0.0,0.20535,0.30671,0.36991,0.41722,0.45461,0.4875,0.51731,0.54327,0.56498,0.59924,0.62705,0.65114,0.67019,0.68598,0.71812,0.74773,0.76873,0.78138,0.80024,0.81103,0.81676,0.82491,0.83359,0.819,0.66743,0.66486,0.67703,0.68575,0.66016,0.66154,0.67102,0.65289,0.64615,0.64476,0.66665,0.64671,0.65167,0.64516,0.65948,0.69994,0.74475,0.74555,0.73987,0.68739,0.63062,0.6352,0.63605,0.44191,
100354_2023-08-02;100354_2023-12-02;100707_2023-01-01;100707_2023-07-04;102016_2024-11-04;106298_2023-02-01;106793_2023-09-21;107448_2023-08-23;108517_2023-07-12;110260_2023-01-06;110260_2023-06-23;112377_2023-10-18;115937_2024-05-17;116320_2024-05-09;118984_2023-08-29;121500_2023-10-23;121500_2024-09-09;123129_2023-07-13;123129_2023-10-10;123129_2024-02-01;125463_2023-06-28;125463_2023-11-30;125463_2024-01-22;127225_2023-08-28;127524_2024-01-15;127524_2024-01-23;127524_2024-12-28;128843_2023-04-02;129071_2023-10-25;130253_2023-05-03;130253_2024-05-17;132256_2024-01-07;132967_2023-02-03;132967_2023-11-03;133165_2024-08-03;133165_2024-08-21;133996_2024-11-02;133996_2024-11-14;136407_2023-03-14;136407_2023-04-23;136407_2023-10-16;138414_2023-10-18;140649_2023-12-03;140649_2024-03-22;142975_2023-01-19;142975_2024-06-07;142975_2024-12-10;144492_2023-06-20;146624_2023-03-12;146624_2023-03-20;146624_2024-05-25;147049_2023-04-04;147049_2023-11-20;147147_2024-01-18;151683_2023-10-20;151740_2024-12-21;155209_2023-04-23;155209_2023-05-10;155209_2024-11-15;160216_2024-02-23;160216_2024-06-07;161573_2023-10-14;161573_2024-02-04;163329_2023-03-29;163595_2023-11-21;163817_2024-01-26;164897_2023-01-28;164897_2023-07-03;166084_2024-08-23;166084_2024-09-23;167494_2023-11-16;167494_2024-11-16;169310_2024-06-28;172262_2023-07-08;172262_2024-03-18;172510_2024-02-12;174968_2023-02-25;174968_2023-10-28;174968_2023-11-13;174968_2024-05-19,0.64023,0.49418,10.81615,0.70143,0.78363,0.70143,0.63687,0.0,0.20238,0.3011,0.36352,0.41027,0.44773,0.47947,0.50586,0.53002,0.55159,0.5892,0.61977,0.64634,0.66882,0.68886,0.73151,0.77271,0.80701,0.83043,0.86362,0.87993,0.88567,0.89451,0.91997,0.93688,0.741,0.73238,0.73558,0.7304,0.71221,0.71154,0.70736,0.67757,0.67595,0.67441,0.68415,0.66968,0.67405,0.68226,0.69022,0.72984,0.79569,0.79159,0.78785,0.70809,0.61035,0.61913,0.62449,0.41486,
100354_2023-06-07;100354_2023-08-02;100707_2023-07-28;102016_2024-03-08;104481_2024-05-05;106298_2023-05-06;106298_2024-08-18;106793_2024-12-22;107448_2023-11-02;107448_2024-12-04;110260_2024-06-10;112377_2023-02-13;113377_2024-08-17;115937_2024-07-11;116320_2024-04-04;116320_2024-06-12;120517_2023-11-28;121500_2024-02-02;121555_2023-02-14;125463_2023-10-09;125463_2023-11-30;127225_2023-05-02;127225_2024-06-02;127524_2024-04-05;127524_2024-10-26;128843_2023-04-13;128843_2024-06-27;129071_2023-05-02;129071_2024-12-19;130253_2024-05-14;132256_2024-03-31;133165_2024-03-01;133996_2023-04-20;133996_2024-08-30;138414_2024-04-18;139410_2023-03-21;139410_2023-06-21;142975_2023-04-09;142975_2024-06-07;142975_2024-10-10;142999_2024-03-13;144492_2023-12-08;146624_2023-03-12;147049_2024-04-22;147049_2024-11-03;147049_2024-12-20;147147_2023-04-24;151683_2024-05-21;151740_2023-03-12;151740_2023-08-22;151740_2023-10-14;151740_2024-04-21;152601_2024-03-10;152601_2024-08-27;155209_2023-05-10;157904_2023-11-11;157904_2024-01-01;157904_2024-01-23;160216_2024-02-23;160431_2023-09-29;160431_2024-05-11;161573_2024-11-23;163329_2023-06-28;163595_2023-02-25;163817_2023-03-14;163817_2024-02-14;163817_2024-11-27;164897_2023-09-05;165786_2023-09-07;165786_2023-10-16;166084_2023-09-25;166084_2024-01-13;166084_2024-04-26;166206_2024-09-14;168165_2024-01-17;169310_2023-01-03;171530_2024-06-13;172510_2024-01-06;172510_2024-05-21;174968_2023-02-25,0.65819,0.48685,10.81221,0.68343,0.75402,0.68343,0.62855,0.0,0.20656,0.31198,0.37948,0.42879,0.4665,0.4978,0.52328,0.54392,0.56184,0.59089,0.61613,0.64038,0.66141,0.6802,0.71799,0.75392,0.78108,0.79666,0.82006,0.83455,0.84094,0.84919,0.87245,0.87171,0.70026,0.69583,0.69858,0.70274,0.68217,0.68117,0.68596,0.66285,0.6536,0.654,0.66979,0.64907,0.64823,0.65695,0.66672,0.71083,0.74145,0.76151,0.76345,0.69411,0.6201,0.62841,0.6358,0.46256,
