TRIPID,PERSID,HHID,STOPS,TRIPNO,STARTHOUR,STARTIME,ARRHOUR,ARRTIME,TRAVTIME,TRIPTIME,WAITIME,CUMDIST,ORIGPLACE2,ORIGPURP2,DESTPLACE2,DESTPURP2,TRIPPURP,LINKMODE,DIST_GRP,Time_Grp,TIME1
Y13H0550337P01T02,Y13H0550337P01,Y13H0550337,1,2,20,1200,20,1210,10,10,0,7.63,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,7 - 7.9,10. - 14.,10
Y13H0570202P01T01,Y13H0570202P01,Y13H0570202,2,1,9,540,9,585,45,45,0,13.77,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,13 - 13.9,45 - 49,35
Y13H0570202P01T02,Y13H0570202P01,Y13H0570202,2,2,18,1115,19,1160,45,45,0,13.77,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,13 - 13.9,45 - 49,10
Y13H0580424P01T01,Y13H0580424P01,Y13H0580424,1,1,8,510,8,511,1,1,0,0.73,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,0 - 0.9,0 - 4,1
Y13H0580424P01T02,Y13H0580424P01,Y13H0580424,1,2,17,1050,17,1052,2,2,0,0.73,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,0 - 0.9,0 - 4,2
Y13H0581038P01T01,Y13H0581038P01,Y13H0581038,1,1,8,495,8,510,15,15,0,4.19,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,4 - 4.9,15 - 19,15
Y13H0581038P01T02,Y13H0581038P01,Y13H0581038,1,2,18,1080,18,1095,15,15,0,4.19,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,4 - 4.9,15 - 19,15
Y13H0590140P01T01,Y13H0590140P01,Y13H0590140,1,1,8,480,8,510,30,30,0,29.35,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,25 - 29.9,30 - 34,30
Y13H0590140P01T02,Y13H0590140P01,Y13H0590140,1,2,18,1110,19,1140,30,30,0,29.35,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,25 - 29.9,30 - 34,30
Y13H0600236P02T01,Y13H0600236P02,Y13H0600236,1,1,8,480,8,500,20,20,0,16.96,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,16 - 16.9,20 - 24,20
Y13H0600236P02T02,Y13H0600236P02,Y13H0600236,1,2,17,1050,18,1080,30,30,0,16.96,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,16 - 16.9,30 - 34,30
Y13H0600303P01T01,Y13H0600303P01,Y13H0600303,1,1,8,510,9,540,30,30,0,17.45,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,17 - 17.9,30 - 34,30
Y13H0600303P01T02,Y13H0600303P01,Y13H0600303,1,2,17,1050,18,1095,45,45,0,17.45,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,17 - 17.9,45 - 49,45
Y13H0600303P02T01,Y13H0600303P02,Y13H0600303,1,1,11,710,12,750,40,40,0,16.68,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,16 - 16.9,40 - 44,40
Y13H0600303P02T02,Y13H0600303P02,Y13H0600303,1,2,18,1085,18,1115,30,30,0,16.68,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,16 - 16.9,30 - 34,30
Y13H0610205P01T01,Y13H0610205P01,Y13H0610205,1,1,10,600,10,645,45,45,0,22.73,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,45 - 49,45
Y13H0610205P01T02,Y13H0610205P01,Y13H0610205,1,2,18,1080,19,1170,90,90,0,22.73,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,90 - 99,90
Y13H0620104P01T01,Y13H0620104P01,Y13H0620104,1,1,8,480,9,555,75,75,0,21.33,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,70 - 79,75
Y13H0620104P01T02,Y13H0620104P01,Y13H0620104,1,2,17,1050,18,1110,60,60,0,21.33,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,60 - 69,60
Y13H0620110P03T01,Y13H0620110P03,Y13H0620110,1,1,9,540,9,580,40,40,0,23.85,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,20 - 24.9,40 - 44,40
Y13H0620110P03T02,Y13H0620110P03,Y13H0620110,1,2,18,1080,18,1120,40,40,0,23.85,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,20 - 24.9,40 - 44,40
Y13H0620115P01T01,Y13H0620115P01,Y13H0620115,1,1,8,480,8,510,30,30,0,13.06,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,13 - 13.9,30 - 34,30
Y13H0620115P01T02,Y13H0620115P01,Y13H0620115,1,2,17,1050,18,1080,30,30,0,13.06,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,13 - 13.9,30 - 34,30
Y13H0620217P01T01,Y13H0620217P01,Y13H0620217,1,1,8,480,8,510,30,30,0,13.74,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,13 - 13.9,30 - 34,30
Y13H0620217P01T02,Y13H0620217P01,Y13H0620217,1,2,18,1080,18,1110,30,30,0,13.74,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,13 - 13.9,30 - 34,30
Y13H0630336P01T01,Y13H0630336P01,Y13H0630336,1,1,9,570,10,600,30,30,0,16.87,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,16 - 16.9,30 - 34,30
Y13H0630336P01T02,Y13H0630336P01,Y13H0630336,1,2,18,1080,18,1115,35,35,0,16.87,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,16 - 16.9,35 - 39,35
Y13H0640202P02T01,Y13H0640202P02,Y13H0640202,1,1,8,510,9,570,60,60,0,10.48,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,10 - 10.9,60 - 69,60
Y13H0640202P02T02,Y13H0640202P02,Y13H0640202,1,2,18,1110,19,1140,30,30,0,10.48,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,10 - 10.9,30 - 34,30
Y13H0640510P03T01,Y13H0640510P03,Y13H0640510,1,1,8,510,9,550,40,40,0,16.72,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,16 - 16.9,40 - 44,40
Y13H0640510P03T02,Y13H0640510P03,Y13H0640510,1,2,17,1050,18,1090,40,40,0,16.72,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,16 - 16.9,40 - 44,40
Y13H0650433P03T01,Y13H0650433P03,Y13H0650433,1,1,8,480,9,570,90,90,0,58.72,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,50 - 59.9,90 - 99,90
Y13H0650433P03T02,Y13H0650433P03,Y13H0650433,1,2,18,1110,19,1170,60,60,0,58.72,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,50 - 59.9,60 - 69,60
Y13H0660203P03T01,Y13H0660203P03,Y13H0660203,1,1,8,493,9,540,47,47,0,13.25,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,13 - 13.9,45 - 49,47
Y13H0660203P03T02,Y13H0660203P03,Y13H0660203,1,2,17,1050,18,1095,45,45,0,13.25,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,13 - 13.9,45 - 49,45
Y13H0660432P03T01,Y13H0660432P03,Y13H0660432,1,1,9,570,9,595,25,25,0,26.21,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,25 - 29.9,25 - 29,25
Y13H0660432P03T02,Y13H0660432P03,Y13H0660432,1,2,18,1080,18,1130,50,50,0,26.21,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,25 - 29.9,50 - 54,50
Y13H0660441P01T01,Y13H0660441P01,Y13H0660441,1,1,10,600,10,625,25,25,0,12.26,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,12 - 12.9,25 - 29,25
Y13H0660441P01T02,Y13H0660441P01,Y13H0660441,1,2,18,1105,18,1130,25,25,0,12.26,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,12 - 12.9,25 - 29,25
Y13H0670401P01T01,Y13H0670401P01,Y13H0670401,1,1,9,585,10,615,30,30,0,28.51,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,25 - 29.9,30 - 34,30
Y13H0670401P01T02,Y13H0670401P01,Y13H0670401,1,2,19,1140,19,1170,30,30,0,28.51,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,25 - 29.9,30 - 34,30
Y13H0680136P02T01,Y13H0680136P02,Y13H0680136,1,1,8,530,9,550,20,20,0,6.77,Survey Home,At or Go Home,My Workplace,Own Workplace,Work Related,Vehicle Driver,6 - 6.9,20 - 24,20
Y13H0680136P02T02,Y13H0680136P02,Y13H0680136,1,2,17,1050,17,1070,20,20,0,6.77,My Workplace,Own Workplace,Survey Home,At or Go Home,Work Related,Vehicle Driver,6 - 6.9,20 - 24,20
