target,feature,mean_abs_coef,std_abs_coef,min_abs_coef,max_abs_coef,nonzero_fold_count
pv_gen,pv_gen,0.22521507364623758,0.005423198171083855,0.2176420190897878,0.2302376221042435,4
pv_gen,pv_ma_2,0.21051854661370806,0.004952791649943531,0.20359248556499973,0.21508809821963037,4
pv_gen,pv_lag_1,0.18886107752444845,0.004594595969571694,0.182409733864149,0.19307001239478183,4
pv_gen,pv_lag_2,0.1631934960058103,0.003796541956877641,0.15785785011773126,0.16668674896687394,4
pv_gen,pv_delta_1,0.1336176221275109,0.004862231638770975,0.1268531188972148,0.13832048567441452,4
pv_gen,pv_ma_4,0.13029009211973042,0.006126935345858959,0.1212138607436196,0.13464443148479419,4
pv_gen,pv_delta_2,0.09460380611020235,0.004290362539151017,0.0885264019528418,0.09848877675561844,4
pv_gen,pv_std_8,0.09381148972963421,0.002433269873368399,0.09108651030670549,0.09699288927419526,4
pv_gen,pv_lag_8,0.06334432204036058,0.007337615449112108,0.05269466496237082,0.06948137910066692,4
pv_gen,pv_lag_4,0.056079191338276164,0.0028832653395996725,0.052985461097640275,0.05969667275834367,4
pv_gen,time_cos,0.0499974167110085,0.0006736588102802887,0.04924057705209375,0.05086669383640215,4
pv_gen,pv_std_4,0.03896632439269189,0.0013057877223706423,0.03742570383580165,0.04026398672491179,4
pv_gen,time_sin,0.03742262272489992,0.0006730631122009891,0.036619069190988285,0.03820519325201909,4
pv_gen,pv_accel,0.03156964372435836,0.0005384051870890633,0.031091481259015417,0.0323376872507068,4
pv_gen,pv_ma_16,0.028972003173751662,0.0020745455077892127,0.02748306914183908,0.032043430997702904,4
pv_gen,pv_lag_2_is_pad,0.0230730410477743,0.0002028336329885897,0.022937780073502737,0.02337480422274228,4
pv_gen,pv_lag_12_is_pad,0.022722553999571134,0.0008036830946890821,0.021894594265995156,0.02382275990319383,4
pv_gen,pv_lag_1_is_pad,0.01943589861024057,0.00018866886011987622,0.01930143946338067,0.019714814834319923,4
pv_gen,steps_to_daylight_start,0.01564803927238032,0.00024028592229241304,0.015371221889890855,0.01585208935990527,4
pv_gen,steps_to_daylight_end,0.014974153868596136,0.00023698088606870246,0.014696176389972358,0.015211259375845545,4
pv_gen,pv_lag_12,0.011582516273545361,0.002268410735889894,0.009860324427711705,0.014906457584719542,4
pv_gen,timestep,0.011127291888093017,0.0001508360348390849,0.010975618994730632,0.011267278242307305,4
pv_gen,pv_ma_8,0.010256150643569311,0.004238167474125849,0.00407952297354902,0.01338907031613279,4
pv_gen,pv_lag_8_is_pad,0.007259026884836001,0.0012670325264099468,0.005414215393158018,0.00821296107714199,4
pv_gen,pv_lag_4_is_pad,0.006206482309127358,0.0008548270076814989,0.005335053197147335,0.0073749438411209725,4
